開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
撰文	jan6 mant4	
撰寫	jan6 se2	
撰書	jan6 seu1	
撰述	jan6 sot6	
撰擬	jan6 yi5	
爭	jang1	欠，差，缺
踭	jang1	肘，跟，踵
爭…錢	jang1 cin2	欠了…的錢
爭啲	jang1 di1	差點，幾乎
爭啲唔記得咗	jang1 di1 m4 gey3 dak1 jo2	差點忘了
爭交	jang1 gau1	吵架
爭住	jang1 jeu6	搶著
爭住食	jang1 jeu6 sek6	搶著吃
爭佢兩蚊	jang1 koy5 leong5 mant1	欠他兩塊錢
爭兩個人	jang1 leong5 go3 yant4	缺兩個人
爭論	jang1 lont6	
爭議	jang1 yi5	
掙	jang6	塞，擠
掙滿晒	jang6 mun5 sai3	塞滿了
憎	jank1	恨
增壓	jank1 ad3	
增兵	jank1 benk1	
爭辯	jank1 bin6	
增補	jank1 bow2	
增產	jank1 can2	
增設	jank1 cid3	
增大	jank1 dai6	
增訂	jank1 denk3	
增訂本	jank1 denk3 bun2	
爭奪	jank1 deud6	
增多	jank1 do1	
僧多粥少	jank1 do1 jok1 siu2	
僧服	jank1 fok1	
增加	jank1 ga1	
增減	jank1 gam2	
增高	jank1 gow1	
增光	jank1 guong1	
增廣	jank1 guong2	
增廣見聞	jank1 guong2 gin3 mant4	
憎恨	jank1 hant6	
掙扎	jank1 jad3	
爭執	jank1 jap1	
增值	jank1 jek6	
增值稅	jank1 jek6 soy3	
增長	jank1 jeong2	
增長速度	jank1 jeong2 cok1 dow6	
增長率	jank1 jeong2 lot6	
增至	jank1 ji3	
僧寺	jank1 ji6	
增強	jank1 keong4	
增量	jank1 leong6	
僧侶	jank1 loy5	
猙獰	jank1 nenk4	
僧尼	jank1 ney4	
睜眼	jank1 ngan5	
憎惡	jank1 og3	
僧袍	jank1 pow4	
增刪	jank1 san1	
憎死	jank1 sey2	恨透
增添	jank1 tim1	
僧堂	jank1 tong4	
僧徒	jank1 tow4	
崢嶸	jank1 wenk4	
增援	jank1 wun4	
增音機	jank1 yamp1 gey1	
僧人	jank1 yant4	
僧院	jank1 yeun6	
贈品	jank6 bant2	
贈慶	jank6 henk3	湊熱鬧，道賀
贈券	jank6 heun3	
真品	jant1 bant2	
珍品	jant1 bant2	
珍寶	jant1 bow2	
珍本	jant1 bun2	
真情	jant1 cenk4	
真情流露	jant1 cenk4 law4 low6	
真槍實彈	jant1 ceong1 sat6 dan6	
真傳	jant1 ceun4	
真才實學	jant1 coi4 sat6 hog6	
珍藏	jant1 cong4	
珍藏品	jant1 cong4 bant2	
珍藏本	jant1 cong4 bun2	
真抵	jant1 day2	真便宜
真諦	jant1 day3	
真鯛	jant1 diu1	
真刀真槍	jant1 dow1 jant1 ceong1	
真分數	jant1 fant1 sow3	
真火滾	jant1 fo2 guant2	真生氣，很生氣，很惱火
真假	jant1 ga2	
真金	jant1 gamp1	
真金不怕火煉	jant1 gamp1 bat1 pa3 fo2 lin6	
珍貴	jant1 guay3	
真係	jant1 hay6	真的
真系火滾	jant1 hay6 fo2 guant2	真的很生氣
真係盞	jant1 hay6 jan2	真好
真係甩鬚	jant1 hay6 lat1 sow1	真丟臉
真係唔似樣	jant1 hay6 m4 ci5 yeong6	真不像樣
真係衰嘅啫	jant1 hay6 soy1 ge3 je1	次透了，糟透了，壞透了
真係有心	jant1 hay6 yaw5 samp1	您真的很關心我
真空	jant1 honk1	
真空泵	jant1 honk1 bamp1	
真空地帶	jant1 honk1 dey6 dai3	
真空管	jant1 honk1 gun2	
真真假假	jant1 jant1 ga2 ga2	
真真正正	jant1 jant1 jenk3 jenk3	
真正	jant1 jenk3	
珍珠	jant1 jeu1	
珍珠貝	jant1 jeu1 bui3	
珍珠都冇咁真	jant1 jeu1 dow1 mow5 gamp3 jant1	真的不能再真，千真萬確
真主	jant1 jeu2	
真知	jant1 ji1	
真知灼見	jant1 ji1 jeog3 gin3	
真摯	jant1 ji3	
珍重	jant1 jonk6	
珍禽	jant1 kamp4	
珍禽異獸	jant1 kamp4 yi6 saw3	
珍奇	jant1 key4	
真蹺	jant1 kiu2	真巧
真確	jant1 kog3	
真菌	jant1 kuant2	
真菌類	jant1 kuant2 loy6	
真理	jant1 ley5	
珍聞	jant1 mant4	
真名	jant1 menk4	
真名實姓	jant1 menk4 sat6 senk3	
真命天子	jant1 menk6 tin1 ji2	
真面目	jant1 min6 mok6	
真冇修	jant1 mow5 saw1	真沒轍，真沒轍兒
真偽	jant1 ngay6	
真偽莫辨	jant1 ngay6 mog6 bin6	
真我	jant1 ngo5	
真愛	jant1 oi3	
珍愛	jant1 oi3	
真憑實據	jant1 pank4 sat6 goy3	
真皮	jant1 pey4	
真皮組織	jant1 pey4 jow2 jek1	
真心	jant1 samp1	
真心真意	jant1 samp1 jant1 yi3	
真心實意	jant1 samp1 sat6 yi3	
真心話	jant1 samp1 wa2	
真神	jant1 sant4	
真實	jant1 sat6	
真實感	jant1 sat6 gamp2	
真實性	jant1 sat6 senk3	
珍惜	jant1 sek1	
真誠	jant1 senk4	
真誠待人	jant1 senk4 doi6 yant4	
珍賞	jant1 seong2	
真相	jant1 seong3	
真相露	jant1 seong3 bat1 low6	
真相大白	jant1 seong3 dai6 bag6	
真絲	jant1 si1	
珍視	jant1 si6	
真善美	jant1 sin6 mey5	
真嗍氣	jant1 sog3 hey3	真費勁，真吃力，真辛苦
真衰	jant1 soy1	真倒霉！
真話	jant1 wa2	
珍玩	jant1 wun2	
真人	jant1 yant4	
真人不露相	jant1 yant4 bat1 low6 seong3	
真人不露相，露相非真人	jant1 yant4 bat1 low6 seong3 low6 seong3 fey1 jant1 yant4	
真人真事	jant1 yant4 jant1 si6	
真有心	jant1 yaw5 samp1	真謝謝您關心
真意	jant1 yi3	
珍異	jant1 yi6	
軫宿	jant2 saw3	
診所	jant2 so2	
軫懷	jant2 wai4	
震	jant3	發抖，哆嗦，顫動
鎮定	jant3 denk6	
賑款	jant3 fun2	
震撼	jant3 hamp6	
振興	jant3 henk1	
賑濟	jant3 jay3	
鎮靜	jant3 jenk6	
震顫	jant3 jin3	
賑災	jant3 joi1	
振聾發聵	jant3 lonk4 fad3 kui2	
震懾	jant3 sib3	
陣間	jant6 gan1	一會，一會兒，等一會兒
陣間先講	jant6 gan1 sin1 gong2	一會再說吧
陣間會講	jant6 gan1 wui5 gong2	等一會兒會說
陣雨	jant6 yeu5	
執	jap1	倒閉
執	jap1	撿，拾，收拾
執包袱	jap1 bau1 fok6	打包袱，離開
執茶	jap1 ca4	抓藥，配藥，取藥，買藥
執籌	jap1 caw2	抓鬮，抽籖
執齊	jap1 cay4	收拾好，收集好
執齊啲嘢	jap1 cay4 di1 ye5	把東西收拾好
執齊行李	jap1 cay4 hank4 ley5	收拾好行李
執床	jap1 cong4	收拾床鋪
執定	jap1 denk6	收拾好
執碟	jap1 dib6	收拾碗筷，收拾碗碟
汁都撈埋	jap1 dow1 low1 mai4	有什麼好處就自己全吞了，據為已有
執到	jap1 dow2	撿到
執翻條命	jap1 fan1 tiu4 meng6	僥幸逃生
執吓張床	jap1 ha5 jeong1 cong4	收拾一下床鋪
執行李	jap1 hank4 ley5	收拾行李
執起	jap1 hey2	撿起
執起嚟	jap1 hey2 ley4	撿起來
執仔	jap1 jay2	接生
執仔婆	jap1 jay2 po2	接生婆，助產士
執滯	jap1 jay6	死板，不靈活
執政黨	jap1 jenk3 dong2	
執字粒	jap1 ji6 lap1	排字
執照	jap1 jiu3	
執笠	jap1 lap1	倒閉，停業，破產，停止營業
執漏	jap1 law6	補漏，檢漏，修理瓦漏
執迷不悟	jap1 may4 bat1 ng6	
執屋	jap1 ngok1	打掃房子
執平嘢	jap1 peng4 ye5	買便宜貨
執山草藥	jap1 san1 cow2 yeog6	抓草藥
執生	jap1 sang1	看著辦，隨機應變；補救，彌補缺陷
執拾	jap1 sap6	收拾
執拾乾淨	jap1 sap6 gon1 jeng6	收拾乾淨
執拾好行李	jap1 sap6 how2 hank4 ley5	收拾好行李
執手尾	jap1 saw2 mey5	善後，收拾殘局
執輸	jap1 seu1	佔下風，吃虧
執輸過人	jap1 seu1 guo3 yant4	比人差，比人差一等
執死雞	jap1 sey2 gay1	揀到便宜
執死雞仔	jap1 sey2 gay1 jay2	揀到便宜
執私	jap1 si1	緝私，沒收私貨
執屍	jap1 si1	收屍，收拾死屍
執枱	jap1 toi2	收拾桌子
執人口水溦	jap1 yant4 haw2 soy2 mey1	學舌，拾人牙慧
汁液	jap1 yek6	
執贏	jap1 yeng4	佔上風，佔便宜
執藥	jap1 yeog6	抓藥，配藥，取藥，買藥
執二攤	jap1 yi6 tan1	買舊貨，撿人家的剩貨，用別人用過的東西，撿人家破爛
枳	jat1	隨便放
枳	jat1	塞，塞進；塞子
質地	jat1 dey2	質料
質量	jat1 leong6	
質量不滅定律	jat1 leong6 bat1 mid6 denk6 lot6	
質料	jat1 liu6	
質問	jat1 mant6	
枳入	jat1 yap6	塞進
質疑	jat1 yi4	
窒	jat6	害怕，恐慌
姪	jat6	姪子，姪兒
疾病	jat6 beng6	
疾馳	jat6 ci4	
蟄蟲	jat6 conk4	
嫉妒	jat6 dow3	
蟄伏	jat6 fok6	
疾風	jat6 fonk1	
疾風知勁草	jat6 fonk1 ji1 genk6 cow2	
疾風迅雷	jat6 fonk1 sont3 loy4	
疾呼	jat6 fu1	
窒腳	jat6 geog3	走路時突然停一下
桎梏	jat6 gok1	
蟄居	jat6 goy1	
窒口窒舌	jat6 haw2 jat6 sid6	結結巴巴，語無倫次
疾走	jat6 jaw2	
姪仔	jat6 jay2	姪子，姪兒
窒住	jat6 jeu6	停住，突然停止
疾雷	jat6 loy4	
嫉惡如仇	jat6 og3 yeu4 saw4	
姪心抱	jat6 samp1 pow5	姪媳婦
窒手	jat6 saw2	縮手，突然停手
窒息	jat6 sek1	
疾書	jat6 seu1	
窒人	jat6 yant4	損人
疾言厲色	jat6 yin4 lay6 sek1	
嘲諷	jau1 fonk3	
嘲笑	jau1 siu3	
抓	jau2	纏繞，捆扎，捆綁
找茬	jau2 ca4	
找碴	jau2 ca4	
找錢	jau2 cin4	
抓住	jau2 jeu6	捆著
找贖	jau2 jok6	找錢，找換
抓實	jau2 sat6	捆好
找數	jau2 sow3	找錢
找換	jau2 wun6	兌換
找換外幣	jau2 wun6 ngoi6 bay6	兌換外幣
罩袍	jau3 pow4	
罩衣	jau3 yi1	
棹忌	jau6 gey6	忌，忌諱
週邊	jaw1 bin1	
週邊設備	jaw1 bin1 cid3 bey6	
週報	jaw1 bow3	
週詳	jaw1 ceong4	
週長	jaw1 ceong4	
周朝	jaw1 ciu4	
揪出	jaw1 cot1	
週到	jaw1 dow3	
周街	jaw1 gai1	滿街
周街係人	jaw1 gai1 hay6 yant4	滿街都是人
周街走	jaw1 gai1 jaw2	滿街跑
週刊	jaw1 hon2	
洲際	jaw1 jay3	
洲際飛彈	jaw1 jay3 fey1 dan6	
週轉	jaw1 jeun2	
舟楫	jaw1 jib3	
週遭	jaw1 jow1	
週期	jaw1 key4	
周期表	jaw1 key4 biu2	
週期表	jaw1 key4 biu2	
週期律	jaw1 key4 lot6	
週期性	jaw1 key4 senk3	
週六	jaw1 lok6	
週率	jaw1 lot6	
週末	jaw1 mud6	
週五	jaw1 ng5	
週年	jaw1 nin4	
週年紀念	jaw1 nin4 gey2 nim6	
周年慶	jaw1 nin4 henk3	
週三	jaw1 sam1	
週薪	jaw1 sant1	
週身	jaw1 sant1	
周身	jaw1 sant1	全身，渾身
周身刀冇張利	jaw1 sant1 dow1 mow5 jeong1 ley6	什麼都會一點但沒有專長
週身冇力	jaw1 sant1 mow5 lek6	渾身軟綿綿的，一點力氣也沒有
周身蟻	jaw1 sant1 ngay5	惹了很多麻煩
週身酸痛	jaw1 sant1 seun1 tonk3	渾身酸疼
周處	jaw1 seu3	到處
週四	jaw1 sey3	
周時	jaw1 si4	常，時常，經常，常常，隨時
周時無日	jaw1 si4 mow4 yat6	經常，時常，沒有一天不
週歲	jaw1 soy3	
週圍	jaw1 way4	
周圍	jaw1 way4	到處，四處，四周
週一	jaw1 yat1	
週日	jaw1 yat6	
週休	jaw1 yaw1	
週遊	jaw1 yaw4	
週遊世界	jaw1 yaw4 say3 gai3	
週而復始	jaw1 yi4 fok6 ci5	
週二	jaw1 yi6	
走	jaw2	跑
走	jaw2	不加
酒吧	jaw2 ba1	
走筆疾書	jaw2 bat1 jat6 seu1	
酒保	jaw2 bow2	
走寶	jaw2 bow2	吃虧
酒杯	jaw2 bui1	
酒埕	jaw2 cenk4	酒罈
酒池肉林	jaw2 ci4 yok6 lamp4	
酒錢	jaw2 cin4	
酒菜	jaw2 coi3	
走出去	jaw2 cot1 hoy3	跑出去
走出嚟	jaw2 cot1 ley4	跑出來
走得	jaw2 dak1	可以走
走得幾快吖	jaw2 dak1 gey2 fai3 a3	能跑多快呀？
走蛋	jaw2 dan2	不加雞蛋，不加蛋
走趯	jaw2 deg3	走動，跑腿，奔波
酒店	jaw2 dim3	
走電	jaw2 din6	跑電，漏電
走都走唔切	jaw2 dow1 jaw2 m4 cid3	逃跑也來不及了
走法律罅	jaw2 fad3 lot6 la3	鑽法律空子
走粉	jaw2 fant2	走私白粉，走私海洛因
走埠	jaw2 faw6	走江湖
走火入魔	jaw2 fo2 yap6 mo1	
酒逢知己千杯少	jaw2 fonk4 ji1 gey2 cin1 bui1 siu2	
走雞	jaw2 gay1	吃虧，錯過機會
酒鬼	jaw2 guay2	
酒館	jaw2 gun2	
走過嚟	jaw2 guo3 ley4	跑過來
酒過三巡	jaw2 guo3 sam3 cont4	
酒酣耳熱	jaw2 hamp4 yi5 yid6	
酒後	jaw2 haw6	
走後門	jaw2 haw6 mun4	
酒後失態	jaw2 haw6 sat1 tai3	
酒後失言	jaw2 haw6 sat1 yin4	
酒後吐真言	jaw2 haw6 tow3 jant1 yin4	
酒興	jaw2 henk3	
酒氣	jaw2 hey3	
酒氣熏人	jaw2 hey3 fant1 yant4	
走開	jaw2 hoi1	
走好運	jaw2 how2 want6	
走去	jaw2 hoy3	跑去
走趲	jaw2 jan2	迴旋，周轉，鬆動
酒精	jaw2 jenk1	
酒精中毒	jaw2 jenk1 jonk3 dok6	
走資派	jaw2 ji1 pai3	
酒足飯飽	jaw2 jok1 fan6 bau2	
酒盅	jaw2 jonk1	
酒醉	jaw2 joy3	
走禽	jaw2 kamp4	
走甩	jaw2 lat1	逃脫
走甩咗	jaw2 lat1 jo2	逃脫了，跑掉了
酒樓	jaw2 law4	
走漏	jaw2 law6	
走漏風聲	jaw2 law6 fonk1 senk1	
走漏消息	jaw2 law6 siu1 sek1	
酒令	jaw2 lenk6	
酒量	jaw2 leong6	
酒簾	jaw2 lim4	
走廊	jaw2 long4	
走路	jaw2 low2	逃亡，逃跑
走唔切	jaw2 m4 cid3	跑不掉，走不掉
走唔起	jaw2 m4 hey2	跑不動，跑不快
走唔甩	jaw2 m4 lat1	逃不掉，跑不掉
走馬燈	jaw2 ma5 dank1	
走馬看花	jaw2 ma5 hon3 fa1	
走埋嚟	jaw2 mai4 ley4	撞過來
走難	jaw2 nan6	逃難
酒凹	jaw2 nap1	酒窩，笑靨
酒牌	jaw2 pai4	經營酒類生意的執照
走散	jaw2 san2	
酒神	jaw2 sant4	
走獸	jaw2 saw3	
酒色	jaw2 sek1	
酒色財氣	jaw2 sek1 coi4 hey3	
酒色之徒	jaw2 sek1 ji1 tow4	
走私	jaw2 si1	
走先	jaw2 sin1	告辭，先走
走投無路	jaw2 taw4 mow4 low6	
走糖	jaw2 tong4	不加糖
走堂	jaw2 tong4	翹課，曠課，逃學，缺課
酒暈	jaw2 want6	
酒窩	jaw2 wo1	
走人	jaw2 yant4	走，溜
走入去	jaw2 yap6 hoy3	跑進去
走入嚟	jaw2 yap6 ley4	跑進來
走樣	jaw2 yeong6	
走肉	jaw2 yok6	不加肉，素的
酒肉朋友	jaw2 yok6 pank4 yaw5	
奏效	jaw3 hau6	
奏捷	jaw3 jid6	
皺眉	jaw3 mey4	
奏樂	jaw3 ngog6	
晝夜	jaw3 ye6	
咒語	jaw3 yeu5	
就	jaw6	將要
就	jaw6	遷就
就寢	jaw6 camp2	
就假嘅	jaw6 ga2 ge3	才怪呢
就噉啦	jaw6 gamp2 la1	就這樣吧
就腳	jaw6 geog3	方便
就吓佢	jaw6 ha5 koy5	遷就他一下
袖口	jaw6 haw2	
就係	jaw6 hay6	就是
就係講	jaw6 hay6 gong2	就是說
就嚟	jaw6 ley4	快，快要，就快
就手	jaw6 saw2	順利
就算	jaw6 seun3	即使，就算
驟雨	jaw6 yeu5	
就業	jaw6 yib6	
驟然	jaw6 yin4	
擠	jay1	放
擠逼	jay1 bek1	擁擠
齏粉	jay1 fant2	
擠喺	jay1 hay2	放在
擠喺枱面	jay1 hay2 toi2 min6	放在桌面
擠住	jay1 jeu6	放著
擠塞	jay1 sak1	堵塞
躋身	jay1 sant1	
擠擁	jay1 yonk2	擁擠
仔	jay2	男孩
仔大仔世界	jay2 dai6 jay2 say3 gai3	兒大不由娘，兒女自有兒女福
仔大仔世界	jay2 dai6 jay2 say3 gai3	兒孫自有兒孫福
仔乸	jay2 na2	母子
仔女	jay2 noy2	兒女
制	jay3	限制
掣	jay3	電鈕，開關
制	jay3	願意
制得過	jay3 dak1 guo3	划得來
制度	jay3 dow6	
掣住架車	jay3 jeu6 ga3 ce1	把車剎住
祭祀	jay3 ji6	
製作	jay3 jog3	
祭祖	jay3 jow2	
製造	jay3 jow6	
制唔過	jay3 m4 guo3	划不來
制唔制	jay3 m4 jay3	願不願意
濟貧	jay3 pant4	
制水	jay3 soy2	自來水定時供應，限制供水，定量供水
際遇	jay3 yeu6	
滯	jay6	難消化
制裁	jay6 coi4	
滯口	jay6 haw2	胃口不好
滯留	jay6 law4	
…姐	je1	姐
啫	je1	而已
遮	je1	擋
遮	je1	雨傘
遮蔽	je1 bay3	
遮柄	je1 beng3	傘桿兒；傘桿兒的尖端
遮骨	je1 guat1	傘枝，傘的骨架，傘的金屬條
啫喱	je1 ley2	果凍
遮掩	je1 yim2	
…姐	je2	姐
姐姐	je2 je2	
蔗	je3	甘蔗
借畀	je3 bey2	借給
借錢	je3 cin2	
借啲意	je3 di1 yi2	趁機
借讀	je3 dok6	
借刀殺人	je3 dow1 sad3 yant4	
借花獻佛	je3 fa1 hin3 fat1	
借火	je3 fo2	
借鑑	je3 gam3	
借鏡	je3 geng3	
借債	je3 jai3	
蔗汁	je3 jap1	甘蔗汁
借借	je3 je3	借光，勞鴐，請讓一讓，請讓路
借作	je3 jog3	
借力打力	je3 lek6 da2 lek6	順勢而為
借力打力	je3 lek6 da2 lek6	順勢而為
蔗纈	je3 lid3	甘蔗節
借問聲	je3 mant6 seng1	請問一下，請問
借問一聲	je3 mant6 yat1 seng1	請問一下
借歪	je3 me2	借光，借過一下，請讓一讓
借歪啲	je3 me2 di1	借光，借過一下，請讓一讓
借書	je3 seu1	
借書證	je3 seu1 jenk3	
蔗水	je3 soy2	甘蔗湯
借貸	je3 tai3	
借題	je3 tay4	
借題發揮	je3 tay4 fad3 fay1	
蔗糖	je3 tong4	
借一借	je3 yat1 je3	借光，借過一下，請讓一讓
借閱	je3 yeud6	
借用	je3 yonk6	
這般	je5 bun1	
這個	je5 go3	
這裡	je5 loy5	
這麼	je5 mo1	
這廝	je5 si1	
這樣	je5 yeong6	
謝謝	je6 je6	
謝絕	je6 jeud6	
jacket	jeg1 keg6	夾克
隻抽	jeg3 caw1	單挑，一個對一個，單打獨鬥
隻抽隻	jeg3 caw1 jeg3	單打獨鬥
隻眼開隻眼閉	jeg3 ngan5 hoi1 jeg3 ngan5 bay3	睜一隻眼閉一隻眼
隻身	jeg3 sant1	
積	jek1	疳積，疳積病
織	jek1	編，織
漬	jek1	污垢
積	jek1	勾，丁
即便	jek1 bin6	
織布	jek1 bow3	
積錢	jek1 cin4	攢錢
積蓄	jek1 cok1	
積極	jek1 gek6	
積極份子	jek1 gek6 fant6 ji2	
即管	jek1 gun2	儘管
即刻	jek1 hak1	馬上，立刻
即係	jek1 hay6	就是
即係話	jek1 hay6 wa6	就是說
即興	jek1 henk3	
即可	jek1 ho2	
積滯	jek1 jay6	消化不良
即席	jek1 jek6	
織蓆	jek1 jek6	編席子
即將	jek1 jeong1	
跡象	jek1 jeong6	
織蟀	jek1 jot1	蟋蟀
職權	jek1 keun4	
織冷衫	jek1 lang1 sam1	打毛衣
織籮	jek1 lo4	編籮筐
積埋啲錢	jek1 mai4 di1 cin4	把錢攢下來
積木	jek1 mok6	
即食麵	jek1 sek6 min6	方便麵，泡麵
即使	jek1 si2	
即時	jek1 si4	
積少成多	jek1 siu2 senk4 do1	
即位	jek1 way6	
積陰功	jek1 yamp1 gonk1	積德，積福，積陰德
即日	jek1 yat6	
即日起	jek1 yat6 hey2	
即映即有	jek1 yenk2 jek1 yaw5	現拍現看
鯽魚	jek1 yeu4	
職員	jek1 yeun4	
職業	jek1 yib6	
脊梁	jek3 leong4	
炙手可熱	jek3 saw2 ho2 yid6	
炙熱	jek3 yid6	
席不暇暖	jek6 bat1 ha6 neun5	
直筆甩	jek6 bat1 lat1	筆直的，直挺挺
直播	jek6 bo3	
直尺	jek6 ceg3	
值情	jek6 cenk4	簡直
值情唔記得咗	jek6 cenk4 m4 gey3 dak1 jo2	完全忘了
直腸	jek6 ceong4	
直腸癌	jek6 ceong4 ngam4	
席次	jek6 ci3	
直達	jek6 dad6	
值得	jek6 dak1	
值得嘅	jek6 dak1 ge3	值得的
直笛	jek6 deg6	
席地	jek6 dey6	
席豐履厚	jek6 fonk1 ley5 haw5	
直呼	jek6 fu1	
直呼其名	jek6 fu1 key4 menk4	
席間	jek6 gan1	
直諫	jek6 gan3	
直徑	jek6 genk3	
席捲	jek6 geun2	
席捲天下	jek6 geun2 tin1 ha6	
席捲一空	jek6 geun2 yat1 honk1	
直覺	jek6 gog3	
直角	jek6 gog3	
直角座標	jek6 gog3 jo6 biu1	
直角三角形	jek6 gog3 sam1 gog3 yenk4	
藉故	jek6 gu3	
籍貫	jek6 gun3	
直行	jek6 hang4	直走
直轄	jek6 hat6	
直轄市	jek6 hat6 si5	
藉口	jek6 haw2	
直系	jek6 hay6	
直系親屬	jek6 hay6 cant1 sok6	
直航	jek6 hong4	
直至	jek6 ji3	
直接	jek6 jib3	
直截了當	jek6 jid6 liu5 dong3	
夕照	jek6 jiu3	
值勤	jek6 kant4	
直立	jek6 lab6	
直流	jek6 law4	
直流電	jek6 law4 din6	
直流發電	jek6 law4 fad3 din6	
寂寥	jek6 liu4	
直落	jek6 log6	
直來直往	jek6 loi4 jek6 wong5	
殖民	jek6 mant4	
殖民地	jek6 mant4 dey6	
殖民者	jek6 mant4 je2	
殖民主義	jek6 mant4 jeu2 yi6	
植物	jek6 mat6	
寂寞	jek6 mog6	
直脾氣	jek6 pey4 hey3	
直升機	jek6 senk1 gey1	
直性子	jek6 senk3 ji2	
直選	jek6 seun2	
直視	jek6 si6	
直線	jek6 sin3	
直銷	jek6 siu1	
直爽	jek6 song2	
直頭	jek6 taw4	簡直，一直，直接
席位	jek6 way6	
直譯	jek6 yek6	
夕陽	jek6 yeong4	
夕陽工業	jek6 yeong4 gonk1 yib6	
夕陽西下	jek6 yeong4 say1 ha6	
直言	jek6 yin4	
直言不諱	jek6 yin4 bat1 way5	
占	jem1	果醬
精	jeng1	機靈，聰明
精	jeng1	自私，取巧，狡猾，愛耍小聰明
精出骨	jeng1 cot1 guat1	自私，狡猾
精仔	jeng1 jay2	投機取巧的人，精明能幹的人，精於計算的人
精叻	jeng1 leg1	聰明能幹，精明
精埋一便	jeng1 mai4 yat1 bin6	專把聰明用在做壞事或為自己打算上
正	jeng3	棒
正斗	jeng3 daw2	正牌，地道，好，美
正斗貨	jeng3 daw2 fo3	正牌貨，地道貨
正斗嘢	jeng3 daw2 ye5	正牌貨，地道貨
正牌	jeng3 pai4	正宗的，真正的
正晒	jeng3 sai3	正好，再好不過，很棒
正嘢	jeng3 ye5	正牌貨，好東西
鄭重	jeng6 jonk6	
偵辦	jenk1 ban6	
精品	jenk1 bant2	
偵查	jenk1 ca4	
偵察	jenk1 cad3	
偵察兵	jenk1 cad3 benk1	
偵察機	jenk1 cad3 gey1	
偵測	jenk1 cak1	
偵緝	jenk1 cap1	
禎祥	jenk1 ceong4	
貞操	jenk1 cow1	
蒸發	jenk1 fad3	
征伐	jenk1 fat6	
征服	jenk1 fok6	
蒸氣	jenk1 hey3	
精湛	jenk1 jam3	
怔住	jenk1 jeu6	
精子	jenk1 ji2	
旌旗	jenk1 key4	
蒸餾水	jenk1 law6 soy2	
徵糧	jenk1 leong4	
蒸籠	jenk1 lonk4	
偵問	jenk1 mant6	
徵募	jenk1 mow6	
精辟	jenk1 pek1	
偵破	jenk1 po3	
精神	jenk1 sant4	
精神病	jenk1 sant4 beng6	
精神分裂	jenk1 sant4 fant1 lid6	
精神爽利	jenk1 sant4 song2 ley6	精神飽滿，心情舒暢，精神奕奕
精神為之一振	jenk1 sant4 way4 ji1 yat1 jant3	
精神煥發	jenk1 sant4 wun6 fad3	
晶石	jenk1 seg6	
精選	jenk1 seun2	
精选	jenk1 seun2	
徵兆	jenk1 siu6	
偵訊	jenk1 sont3	
精髓	jenk1 soy5	
精邃	jenk1 soy6	
精粹	jenk1 soy6	
偵探	jenk1 tam3	
偵探小說	jenk1 tam3 siu2 seud3	
偵聽	jenk1 tenk1	
偵聽器	jenk1 tenk1 hey3	
偵聽台	jenk1 tenk1 toi4	
偵聽員	jenk1 tenk1 yeun4	
精華	jenk1 wa4	
晶瑩	jenk1 yenk4	
正月	jenk1 yeud6	
正月初三	jenk1 yeud6 co1 sam1	
正月初一	jenk1 yeud6 co1 yat1	
正月初二	jenk1 yeud6 co1 yi6	
整	jenk2	弄，修
整親	jenk2 cant1	弄傷，受傷
整齊	jenk2 cay4	
整車	jenk2 ce1	修理汽車
整出嚟	jenk2 cot1 ley4	弄出來
井底之蛙	jenk2 day2 ji1 wa1	
整定	jenk2 denk6	註定
整翻	jenk2 fan1	修理
整翻幾味	jenk2 fan1 gey2 mey6	弄幾道菜，弄幾個菜
整翻好	jenk2 fan1 how2	修理好，修好
整飯	jenk2 fan6	煮飯
整潔	jenk2 gid3	
整古	jenk2 gu2	作弄，捉弄，陷害
整古做怪	jenk2 gu2 jow6 guai3	裝神弄鬼
整古弄怪	jenk2 gu2 lonk6 guai3	做鬼臉，故意出洋相，做小動作
整鬼	jenk2 guay2	搞鬼
整鬼整怪	jenk2 guay2 jenk2 guai3	做鬼臉，故意出洋相，做小動作
整鬼整馬	jenk2 guay2 jenk2 ma5	搞什麼鬼
整整吓	jenk2 jenk2 ha5	慢慢地
井井有條	jenk2 jenk2 yaw5 tiu4	
整資料	jenk2 ji1 liu6	整理資料，整理數據
整治	jenk2 ji6	
整爛	jenk2 lan6	弄壞，弄破
整爛咗	jenk2 lan6 jo2	弄壞了
整亂	jenk2 leun6	弄亂
整理	jenk2 ley5	
整路	jenk2 low6	補路
整唔切	jenk2 m4 cid3	來不及做，來不及弄
整乜嘢鬼	jenk2 mat1 ye5 guay2	搞什麼鬼
整成…嘅習慣	jenk2 senk4 ge3 jab6 guan3	養成…的習慣
整傷	jenk2 seong1	弄傷
整損	jenk2 seun2	弄破，弄傷
整損手	jenk2 seun2 saw2	把手弄破了
整餸	jenk2 sonk3	做菜
整衰	jenk2 soy1	搞砸，搞糟
整衰晒	jenk2 soy1 sai3	越弄越糟，搞砸了
