開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
百貨商場	bag3 fo3 seong1 ceong4	
百貨商店	bag3 fo3 seong1 dim3	
百貨業	bag3 fo3 yib6	
伯父	bag3 fu6	
百感交集	bag3 gamp2 gau1 jab6	
白鴿	bag3 gap2	
百香果	bag3 heong1 guo2	
百香果汁	bag3 heong1 guo2 jap1	
百看不厭	bag3 hon3 bat1 yim3	
百褶裙	bag3 jib3 kuant4	
百折不撓	bag3 jid3 bat1 nau4	
百足	bag3 jok1	蜈蚣
百靈	bag3 lenk4	
百靈鳥	bag3 lenk4 niu5	
百里香	bag3 ley5 heong1	
百煉成鋼	bag3 lin6 senk4 gong3	
百萬	bag3 man6	
百萬富翁	bag3 man6 fu3 yonk1	
百萬雄師	bag3 man6 honk4 si1	
百聞不如一見	bag3 mant4 bat1 yeu4 yat1 gin3	
百物	bag3 mat6	
百米	bag3 may5	
百米賽跑	bag3 may5 coi3 pau2	
百無禁忌	bag3 mow4 gamp3 gey6	
百無聊賴	bag3 mow4 liu4 lai6	
百無一長	bag3 mow4 yat1 ceong4	
百無一失	bag3 mow4 yat1 sat1	
百衲本	bag3 nab6 bun2	
百衲衣	bag3 nab6 yi1	
百身莫贖	bag3 sant1 mog6 sok6	
百獸之王	bag3 saw3 ji1 wong4	
百思不得其解	bag3 si1 bat1 dak1 key4 gai2	
伯爺	bag3 ye1	父親
伯爺公	bag3 ye1 gonk1	老大爺，老頭兒
伯爺婆	bag3 ye1 po2	老婆婆，老太婆
百葉窗	bag3 yib6 ceong1	
百厭	bag3 yim3	調皮，淘氣
百厭仔	bag3 yim3 jay2	淘氣鬼
白矮星	bag6 ay2 senk1	
白布	bag6 bow3	
白車	bag6 ce1	救護車
白灼	bag6 ceog3	水煮，清煮，涮
白灼蝦	bag6 ceog3 ha1	清煮蝦
白癡	bag6 ci1	
白菜	bag6 coi3	
白醋	bag6 cow3	
白花	bag6 fa1	
白化	bag6 fa3	
白髮	bag6 fad3	
白飯	bag6 fan6	
白粉	bag6 fant2	海洛因，白麵兒
白粉檔	bag6 fant2 dong3	販賣毒品的場所
白費	bag6 fay3	
白費力氣	bag6 fay3 lek6 hey3	
白費心機	bag6 fay3 samp1 gey1	
白霍	bag6 fog3	輕浮，囂張，浮誇
白霍友	bag6 fog3 yaw2	好出風頭的人，愛吹噓自己的人，傲慢的人
白灰	bag6 fui1	
帛金	bag6 gamp1	
白金	bag6 gamp1	
白鍵	bag6 gin6	
白果	bag6 guo2	
白光	bag6 guong1	
白血病	bag6 heud3 beng6	
白血球	bag6 heud3 kaw4	
白鶴	bag6 hog6	
白開水	bag6 hoi1 soy2	
白熊	bag6 honk4	
白斬雞	bag6 jam2 gay1	白切雞
白酒	bag6 jaw2	
白晝	bag6 jaw3	
