开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
百无聊赖	bag3 mow4 liu4 lai6	
百无一长	bag3 mow4 yat1 ceong4	
百无一失	bag3 mow4 yat1 sat1	
百衲本	bag3 nab6 bun2	
百衲衣	bag3 nab6 yi1	
百身莫赎	bag3 sant1 mog6 sok6	
百兽之王	bag3 saw3 ji1 wong4	
百思不得其解	bag3 si1 bat1 dak1 key4 gai2	
伯爷	bag3 ye1	父亲
伯爷公	bag3 ye1 gonk1	老大爷，老头儿
伯爷婆	bag3 ye1 po2	老婆婆，老太婆
百叶窗	bag3 yib6 ceong1	
百厌	bag3 yim3	调皮，淘气
百厌仔	bag3 yim3 jay2	淘气鬼
白矮星	bag6 ay2 senk1	
白布	bag6 bow3	
白车	bag6 ce1	救护车
白灼	bag6 ceog3	水煮，清煮，涮
白灼虾	bag6 ceog3 ha1	清煮虾
白痴	bag6 ci1	
白菜	bag6 coi3	
白醋	bag6 cow3	
白花	bag6 fa1	
白化	bag6 fa3	
白发	bag6 fad3	
白饭	bag6 fan6	
白粉	bag6 fant2	海洛因，白面儿
白粉档	bag6 fant2 dong3	贩卖毒品的场所
白费	bag6 fay3	
白费力气	bag6 fay3 lek6 hey3	
白费心机	bag6 fay3 samp1 gey1	
白霍	bag6 fog3	轻浮，嚣张，浮夸
白霍友	bag6 fog3 yaw2	好出风头的人，爱吹嘘自己的人，傲慢的人
白灰	bag6 fui1	
帛金	bag6 gamp1	
白金	bag6 gamp1	
白键	bag6 gin6	
白果	bag6 guo2	
白光	bag6 guong1	
白血病	bag6 heud3 beng6	
白血球	bag6 heud3 kaw4	
白鹤	bag6 hog6	
白开水	bag6 hoi1 soy2	
白熊	bag6 honk4	
白斩鸡	bag6 jam2 gay1	白切鸡
白酒	bag6 jaw2	
白昼	bag6 jaw3	
白净	bag6 jenk6	白嫩
白纸	bag6 ji2	
白纸黑字	bag6 ji2 hak1 ji6	
白粥	bag6 jok1	稀饭，稀粥
白撞雨	bag6 jong6 yeu5	过云雨
白做	bag6 jow6	白干一场
白鲸	bag6 kenk4	
白旗	bag6 key4	
白兰	bag6 lan4	
白兰地	bag6 lan4 dey6	
白兰花	bag6 lan4 fa1	
白领	bag6 lenk5	
白领阶级	bag6 lenk5 gai1 kap1	
白莲教	bag6 lin4 gau3	
白鹭	bag6 low6	
白马王子	bag6 ma5 wong4 ji2	
白猫	bag6 mau1	
白米	bag6 may5	
白面	bag6 min6	
白面书生	bag6 min6 seu1 sank1	
白木耳	bag6 mok6 yi5	
白蒙蒙	bag6 monk1 monk1	雪白雪白的
白眼	bag6 ngan5	
白银	bag6 ngant4	
白蚁	bag6 ngay5	
白垩纪	bag6 og3 gey2	
白皮书	bag6 pey4 seu1	
白纱	bag6 sa1	
白沙	bag6 sa1	
白嘥	bag6 sai1	白费
白首	bag6 saw2	
白手	bag6 saw2	
白手起家	bag6 saw2 hey2 ga1	
白色	bag6 sek1	
白皙	bag6 sek1	
白蚀	bag6 sek6	汗斑
白鼠	bag6 seu2	
白薯	bag6 seu4	
白雪雪	bag6 seud1 seud1	白白的，雪白
白雪	bag6 seud3	
白水	bag6 soy2	
白头到老	bag6 taw4 dow3 low5	
白头偕老	bag6 taw4 gai1 low5	
白头翁	bag6 taw4 yonk1	
白糖	bag6 tong4	
白话	bag6 wa2	
白话	bag6 wa2	本地话，广州话，广府话，广东话
白话文	bag6 wa2 mant4	
