开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
海扇	hoi2 sin3	
海啸	hoi2 siu3	
海水	hoi2 soy2	
海水不可斗量	hoi2 soy2 bat1 ho2 daw2 leong4	
海水浴	hoi2 soy2 yok6	
海水浴场	hoi2 soy2 yok6 ceong4	
海滩	hoi2 tan1	
海堤	hoi2 tay4	
海豚	hoi2 teun4	
海苔	hoi2 toi4	
海棠	hoi2 tong4	
海涛	hoi2 tow4	
海湾	hoi2 wan1	
海运	hoi2 want6	
海运公司	hoi2 want6 gonk1 si1	
海域	hoi2 wek6	
海王星	hoi2 wong4 senk1	
海洋	hoi2 yeong4	
海洋学	hoi2 yeong4 hog6	
海鱼	hoi2 yeu4	
海碗	hoi2 yeun2	
海盐	hoi2 yim4	
海燕	hoi2 yin3	
害怕	hoi6 pa3	
哭泣	hok1 yap1	
酷热	hok6 yid6	
看更	hon1 gang1	守夜，门卫，管理员，护卫员
看护	hon1 wu6	护士
刊登	hon2 dank1	
刊登广告	hon2 dank1 guong2 gow3	
罕见	hon2 gin3	
侃侃而谈	hon2 hon2 yi4 tam4	
刊载	hon2 joi3	
汉朝	hon3 ciu4	
汉奸	hon3 gan1	
看见	hon3 gin3	
汉人	hon3 yant4	
邯郸学步	hon4 dan1 hog6 bow6	
寒假	hon4 ga3	
寒噤	hon4 gamp3	
韩国菜	hon4 guog3 coi3	
韩国货	hon4 guog3 fo3	
韩国泡菜	hon4 guog3 pau3 coi3	
韩国话	hon4 guog3 wa2	
韩国人	hon4 guog3 yant4	
寒暄	hon4 heun1	
寒冷	hon4 lang5	
鼾声	hon4 seng1	
鼾声如雷	hon4 senk1 yeu4 loy4	
寒暑表	hon4 seu2 biu2	温度计
韩裔	hon4 yoy6	
旱灾	hon5 joi1	
汗臭	hon6 caw3	
汗迹	hon6 jek1	
汗渍	hon6 jek1	
悍将	hon6 jeong3	
汗珠	hon6 jeu1	
翰林	hon6 lamp4	
汗流浃背	hon6 law4 jib3 bui6	
汗马功劳	hon6 ma5 gonk1 low4	
汗毛	hon6 mow4	
汗颜	hon6 ngan4	
汗牛充栋	hon6 ngaw4 conk1 donk3	
汗衫	hon6 sam1	
汗腺	hon6 sin3	
汗宿	hon6 sok1	汗臭，汗馊味
汗水	hon6 soy2	
捍卫	hon6 way6	
汗如雨下	hon6 yeu4 yeu5 ha6	
腔调	hong1 diu6	
康复	hong1 fok6	
康乃馨	hong1 nai5 henk1	
糠	hong2	发霉变质，陈米的气味
糠	hong2	干燥
糠	hong2	钱少
慷慨	hong2 koi3	
慷慨陈词	hong2 koi3 cant4 ci4	
慷慨解囊	hong2 koi3 gai2 nong4	
慷慨激昂	hong2 koi3 gek1 ngong4	
慷慨就义	hong2 koi3 jaw6 yi6	
糠米	hong2 may5	发霉的米
慷他人之慨	hong2 ta1 yant4 ji1 koi3	
行情	hong4 cenk4	
行货	hong4 fo3	大路货，普通产品，一般产品
降服	hong4 fok6	
行家	hong4 ga1	
行行出状元	hong4 hong4 cot1 jong6 yeun4	
航空公司	hong4 honk1 gonk1 si1	
行列	hong4 lid6	
行伍	hong4 ng5	
吭声	hong4 senk1	
行市	hong4 si5	
行话	hong4 wa2	
航运	hong4 want6	
行业	hong4 yib6	
巷笃	hong6 dok1	街巷的尽头
项链	hong6 lin4	
项目	hong6 mok6	
空白	honk1 bag6	
胸部	honk1 bow6	
凶残	honk1 can4	
烘底	honk1 day2	先在烤箱里烘过的三明治
胸甲	honk1 gab3	
空格	honk1 gag3	
空格键	honk1 gag3 gin6	
空间	honk1 gan1	
胸肌	honk1 gey1	
空军	honk1 guant1	
胸骨	honk1 guat1	
空闲	honk1 han4	
胸口	honk1 haw2	
箜篌	honk1 haw4	
空气	honk1 hey3	
胸腔	honk1 hong1	
空虚	honk1 hoy1	
胸罩	honk1 jau3	
空载	honk1 joi3	
胸襟	honk1 kamp1	
胸鳍	honk1 key4	
空旷	honk1 kuong3	
胸无大志	honk1 mow4 dai6 ji3	
空无一物	honk1 mow4 yat1 mat6	
空无一人	honk1 mow4 yat1 yant4	
胸脯	honk1 pow4	
空心菜	honk1 samp1 coi3	
凶神恶	honk1 sant4 ngog3	很凶
凶神恶杀	honk1 sant4 ngog3 sad1	很凶
凶手	honk1 saw2	
空手掉空臂	honk1 saw2 diu6 honk1 bey3	无事可做，手中无东西，无所事事
空调	honk1 tiu4	
胸膛	honk1 tong4	
崆峒	honk1 tonk4	
凶徒	honk1 tow4	
胸怀	honk1 wai4	
胸怀大志	honk1 wai4 dai6 ji3	
胸围	honk1 way4	胸罩，乳罩
胸有成竹	honk1 yaw5 senk4 jok1	
汹涌	honk1 yonk2	
汹涌澎湃	honk1 yonk2 pang1 pai3	
恐怖	honk2 bow3	
恐怖电影	honk2 bow3 din6 yenk2	
恐怖分子	honk2 bow3 fant6 ji2	
恐怖症	honk2 bow3 jenk3	
恐怖主义	honk2 bow3 jeu2 yi6	
恐怖片	honk2 bow3 pin2	
恐慌	honk2 fong1	
恐惧	honk2 goy6	
恐惧	honk2 goy6	
恐惧感	honk2 goy6 gamp2	
恐吓	honk2 hag3	
恐吓罪	honk2 hag3 joy6	
恐吓性	honk2 hag3 senk3	
恐吓信	honk2 hag3 sont3	
孔雀	honk2 jeog3	
孔雀开屏	honk2 jeog3 hoi1 penk2	
恐龙	honk2 lonk4	
恐龙蛋	honk2 lonk4 dan6	
恐龙骨	honk2 lonk4 guat1	
孔孟	honk2 mang6	
孔孟之道	honk2 mang6 ji1 dow6	
孔庙	honk2 miu6	
恐怕	honk2 pa3	
恐水病	honk2 soy2 benk6	
孔融让梨	honk2 yonk4 yeong6 ley4	
烘焙	honk3 bui6	
控告	honk3 gow3	
控告人	honk3 gow3 yant4	
控股	honk3 gu2	
控管	honk3 gun2	
控制	honk3 jay3	
控制板	honk3 jay3 ban2	
控制键	honk3 jay3 gin6	
控制站	honk3 jay3 jam6	
控制住	honk3 jay3 jeu6	
控制权	honk3 jay3 keun4	
控制力	honk3 jay3 lek6	
控制室	honk3 jay3 sat1	
控制塔	honk3 jay3 tab3	
控罪	honk3 joy6	
控诉	honk3 sow3	
控诉状	honk3 sow3 jong6	
红	honk4	血
雄兵	honk4 benk1	
雄辩	honk4 bin6	
红卜卜	honk4 bog1 bog1	红红的
红宝石	honk4 bow2 seg6	
红尘	honk4 cant4	
雄才	honk4 coi4	
雄才大略	honk4 coi4 dai6 leog6	
红地毯	honk4 dey6 tam2	
鸿飞冥冥	honk4 fey1 menk4 menk4	
鸿福	honk4 fok1	
鸿福齐天	honk4 fok1 cay4 tin1	
雄健	honk4 gin6	
鸿鹄	honk4 gok1	
鸿鹄之志	honk4 gok1 ji1 ji3	
雄厚	honk4 haw5	
红血球	honk4 heud3 kaw4	
红鹤	honk4 hog6	
熊仔	honk4 jay2	小熊
雄姿	honk4 ji1	
雄壮	honk4 jong3	
鸿沟	honk4 kaw1	
红楼梦	honk4 law4 monk6	
红萝卜	honk4 lo4 bag6	
红绿灯	honk4 lok6 dank1	
洪涝	honk4 low6	
熊猫	honk4 mau1	
熊猫噉嘅眼	honk4 mau1 gamp2 ge3 ngan5	有黑眼袋
鸿毛	honk4 mow4	
鸿门宴	honk4 mun4 yin3	
鸿雁传书	honk4 ngan6 ceun4 seu1	
鸿雁哀鸣	honk4 ngan6 oi1 menk4	
鸿雁	honk4 ngang6	
红外线	honk4 ngoi6 sin3	
雄心	honk4 samp1	
红心	honk4 samp1	红心
雄心勃勃	honk4 samp1 bud6 bud6	
雄心壮志	honk4 samp1 jong3 ji3	
红色	honk4 sek1	
雄性	honk4 senk3	
雄性不育	honk4 senk3 bat1 yok6	
雄师	honk4 si1	
红须绿眼	honk4 sow1 lok6 ngan5	洋人，外国人，老外
洪水	honk4 soy2	
红糖	honk4 tong4	
红彤彤	honk4 tonk4 tonk4	
雄图	honk4 tow4	
鸿图	honk4 tow4	
鸿图大展	honk4 tow4 dai6 jin2	
雄浑	honk4 want4	
鸿运	honk4 want6	
红晕	honk4 want6	
雄伟	honk4 way5	
红卫兵	honk4 way6 benk1	
红缨枪	honk4 yenk1 ceong1	
鸿儒	honk4 yeu4	
雄蕊	honk4 yoy5	
薅草	how1 cow2	
好	how2	很
好吖！	how2 a1	好的！
好呀	how2 a3	好吧
好逼人	how2 bek1 yant4	很拥挤
好波	how2 bo1	好球
好榜样	how2 bong2 yeong6	
好斜	how2 ce3	很陡
好处	how2 ceu3	
好似	how2 ci5	好像
好似…噉	how2 ci5 gamp2	像…似的，好像…一样
好似系	how2 ci5 hay6	好像是，似乎是
好彩	how2 coi2	幸亏，幸好
好彩数	how2 coi2 sow3	运气好
好彩数	how2 coi2 sow3	运气好
好歹	how2 dai2	
好大数	how2 dai6 sow3	数目很大
好抵	how2 day2	很合算，很划算，很便宜
好地地	how2 dey6 dey6	好好的，好端端的死
好啲	how2 di1	好一点，比较好
好多潺	how2 do1 san4	黏液很多
好翻	how2 fan1	好起来，康复，痊癒，和好
好瞓	how2 fant3	睡得香
好friend	how2 fen1	很要好
好合	how2 gab3	合得来
好计仔	how2 gay2 jay2	好主意
好劲	how2 genk6	很厉害，很了不起，很棒，很不错
好焗	how2 gok6	很闷
好鬼死	how2 guay2 sey2	非常
好鬼死难顶	how2 guay2 sey2 lan4 denk2	真受不了
好癐	how2 gui6	很累
好high	how2 hai1	很兴奋
毫克	how2 hak1	
好闲	how2 han4	很平常的，很容易办，没什么
好闲噶啫	how2 han4 ga3 je1	没什么，没关系
好行	how2 hang4	慢走，好走
好口码	how2 haw2 ma5	好口才
好气	how2 hey3	罗嗦，健谈
好看	how2 hon3	
好汉	how2 hon3	
好汉不吃眼前亏	how2 hon3 bat1 heg3 ngan5 cin4 kuay1	
好好	how2 how2	很好
好好味	how2 how2 mey6	很好吃，很美味，味道好极了
好好睇睇	how2 how2 tay2 tay2	体面，有声有色，很像样
好盏	how2 jan2	很好，很棒，很妙
好在	how2 joi6	幸好，幸亏，还好
好做得	how2 jow6 dak1	很能干
好近	how2 kant5	很近
好逑	how2 kaw4	
好叻	how2 leg1	很聪明
好靓	how2 leng3	很漂亮
好唔掂	how2 m4 dim6	真不顺当，真不好
好唔好	how2 m4 how2	好不好
好命	how2 meng6	命好
好味	how2 mey6	好吃，可口，美味
好冇心机	how2 mow5 samp1 gey1	很不专心
好啱key	how2 ngam1 ki1	很投机
好眼	how2 ngan5	眼力好
好耐	how2 noi6	很久
好耐好耐之前	how2 noi6 how2 noi6 ji1 cin4	很久很久以前
好耐冇见	how2 noi6 mow5 gin3	好久不见
好朋友	how2 pank4 yaw5	
好晒	how2 sai3	很曝晒
好心情	how2 samp1 cenk4	
好心着雷劈	how2 samp1 jeog6 loy4 peg3	冤枉，好心不得好报
好心着雷劈	how2 samp1 jeog6 loy4 peg3	不领情，好心不得好报，好心反被当恶意
好心你	how2 samp1 ney5	劳驾，拜讬你，劳您驾
好细声	how2 say3 seng1	声音很小
好食	how2 sek6	好吃
好声	how2 seng1	小心，当心
好声好气	how2 seng1 how2 hey3	心平气和，好言好语，和声细气
好相与	how2 seong1 yeu5	好商量，脾气好
好死不如赖活	how2 sey2 bat1 yeu4 lai6 wud6	
好消息	how2 siu1 sek1	
好少少	how2 siu2 siu2	好点了，好了一点儿
好笑	how2 siu3	
好兆头	how2 siu6 taw4	
好嗍气	how2 sog3 hey3	很吃力，很费力，很费劲，很辛苦
好衰噶	how2 soy1 ga3	讨厌，真次，真坏
好衰唔衰	how2 soy1 m4 soy1	更糟糕的是…，真倒霉
好头好尾	how2 taw4 how2 mey5	有始有终，善始善终，有头有尾
好睇	how2 tay2	好看
好睇过睇戏	how2 tay2 guo3 tay2 hey3	很精彩，非常好看
好听	how2 teng1	
好天	how2 tin1	晴天
好肚饿	how2 tow5 ngo6	很饿，肚子很饿
好话为	how2 wa6 way4	好办，好商量
好玩	how2 wan2	
好运	how2 want6	
好喫	how2 yag3	好吃
好阴功	how2 yamp1 gonk1	很可怜
好友	how2 yaw5	
好嘢	how2 ye5	很好，很棒
好夜	how2 ye6	很晚
好意头	how2 yi3 taw4	吉利
好易话为	how2 yi6 wa6 way4	很容易办的事，好商量，好说，好办
好用	how2 yonk6	
耗材	how3 coi4	
耗电	how3 din6	
耗费	how3 fay3	
好高骛远	how3 gow1 mow6 yeun4	
犒军	how3 guant1	
好管闲事	how3 gun2 han4 si6	
耗资	how3 ji1	
耗尽	how3 jont6	
好奇	how3 key4	
好奇心	how3 key4 samp1	
耗力	how3 lek6	
犒劳	how3 low4	
好食懒飞	how3 sek6 lan5 fey1	好吃懒做
犒赏	how3 seong2	
耗损	how3 seun2	
耗时	how3 si4	
耗用	how3 yonk6	
蚝	how4	牡蛎
豪奢	how4 ce1	
毫发不爽	how4 fad3 bat1 song2	
豪杰	how4 gid6	
嗥叫	how4 giu3	
豪兴	how4 henk3	
豪宅	how4 jag6	
豪猪	how4 jeu1	
壕沟	how4 kaw1	
壕沟战	how4 kaw1 jin3	
毫毛	how4 mow4	
毫无	how4 mow4	
毫无办法	how4 mow4 ban6 fad3	
毫无保留	how4 mow4 bow2 law4	
毫无道理	how4 mow4 dow6 ley5	
毫无价值	how4 mow4 ga3 jek6	
毫无共同之处	how4 mow4 gonk6 tonk4 ji1 ceu3	
毫无可取之处	how4 mow4 ho2 coy2 ji1 ceu3	
毫无诚意	how4 mow4 senk4 yi3	
毫无疑问	how4 mow4 yi4 mant6	
毫无用处	how4 mow4 yonk6 ceu3	
毫末	how4 mud6	
毫升	how4 senk1	
蚝豉	how4 si2	牡蛎干，干牡蛎肉
嚎啕	how4 tow4	
号啕	how4 tow4	
豪华	how4 wa4	
蚝油菜薳	how4 yaw4 coi3 yeun5	蠔油炒嫩菜心
皓齿	how6 ci2	
皓发	how6 fad3	
浩劫	how6 gib3	
皓洁	how6 gid3	
浩瀚	how6 hon6	
皓皓	how6 how6	
号码	how6 ma5	
皓首	how6 saw2	
皓首穷经	how6 saw2 konk4 genk1	
皓天	how6 tin1	
皓月	how6 yeud6	
皓月当空	how6 yeud6 dong1 honk1	
皓然	how6 yin4	
墟	hoy1	集市
墟巴嘈闭	hoy1 ba1 cow4 bay3	吵吵闹闹，吵闹得很厉害
虚报	hoy1 bow3	
墟场	hoy1 ceong4	集市
虚假	hoy1 ga2	
虚构	hoy1 gaw3	
墟冚	hoy1 hamp6	噪闹，人声嘈杂
歔欷	hoy1 hey1	
嘘唏	hoy1 hey1	
墟墟冚冚	hoy1 hoy1 hamp6 hamp6	声势巨大，热热闹闹
虚无	hoy1 mow4	
虚伪	hoy1 ngay6	
虚幻	hoy1 wan6	
虚荣	hoy1 wenk4	
墟日	hoy1 yat6	逢集，集日
虚弱	hoy1 yeog6	
虚拟	hoy1 yi5	
许多	hoy2 do1	
许可证	hoy2 ho2 jenk3	
栩栩如生	hoy2 hoy2 yeu4 sank1	
许愿	hoy2 yeun6	
去厕所	hoy3 ci3 so2	上厕所
去街	hoy3 gai1	上街，逛街，出去，到街上
去街买餸	hoy3 gai1 mai5 sonk3	上街买菜
去就去啦	hoy3 jaw6 hoy3 la1	去就去吧
去咗	hoy3 jo2	去世
去咗见周公	hoy3 jo2 gin3 jaw1 gonk1	睡着了
去咗卖咸鸭蛋	hoy3 jo2 mai6 ham4 ngab3 dan6	去世，过世
去咗饮	hoy3 jo2 yamp2	做客去了
去马	hoy3 ma5	上马
去卖咸鸭蛋	hoy3 mai6 ham4 ngab3 dan6	去世，过世
去蒲	hoy3 pow4	去娱乐场所玩
去氧核糖核酸	hoy3 yeong5 hat6 tong4 hat6 seun1	
揸	ja1	拿，抓，握
揸	ja1	驾驶，开
糌粑	ja1 ba1	
揸车	ja1 ce1	开车，驾车，驾驶汽车，驾驶车辆
揸枪	ja1 ceong1	拿枪，持枪
揸钱	ja1 cin2	管理钱财
揸大葵扇	ja1 dai6 kuay4 sin3	做媒人，为人保媒
揸的士	ja1 dek1 si2	开出租汽车
揸电单车	ja1 din6 dan1 ce1	骑摩托车
揸筷子	ja1 fai3 ji2	拿筷子
揸fit	ja1 fid1	管事，掌舵，掌权，拿主意，说了算
揸fit人	ja1 fid1 yant4	主事人，掌权人
揸紧时间	ja1 gant2 si4 gan1	抓紧时间
揸开	ja1 hoi1	开走
揸掣	ja1 jay3	捏闸
揸主意	ja1 jeu2 yi3	拿主意
揸住	ja1 jeu6	拿着
揸住支咪	ja1 jeu6 ji1 may1	抓住麦克风
揸住时机	ja1 jeu6 si4 gey1	抓住时机，趁着时机
渣滓	ja1 ji2	
咱们	ja1 mun4	
揸拿	ja1 na4	把握
揸奶	ja1 nai5	挤牛奶
揸手	ja1 saw2	捏着，在手，手里拿着，掌握，管理，掌管，负责
揸手掣	ja1 saw2 jay3	捏闸
揸拖拉机	ja1 to1 lai1 gey1	开拖拉机
揸二摊	ja1 yi6 tan1	买旧货，捡人家的剩货，用人家用过的东西
渣	ja2	渣滓，残渣，碎渣
鲊	ja2	质量差，水平低
鲊斗	ja2 daw2	质量差，水平低
鲊皮	ja2 pey4	质量差，水平低
诈	ja3	装，假装，佯装
咋	ja3	…而已呀
诈病	ja3 beng6	装病
榨菜	ja3 coi3	
榨取	ja3 coy2	
乍得	ja3 dak1	
炸弹	ja3 dan2	
诈谛	ja3 day3	装蒜，假装，装作
诈癫扮傻	ja3 din1 ban6 so4	装疯卖傻，假装糊涂，装傻充愣
诈癫卖戆	ja3 din1 mai6 ngong6	装疯卖傻
诈瞓	ja3 fant3	假装睡着了
诈假意	ja3 ga1 yi1	假装，佯做，闹着玩，假意做
诈奸	ja3 gan1	耍奸，耍滑，耍赖
炸鸡	ja3 gay1	
炸鸡肉	ja3 gay1 yok6	
诈娇	ja3 giu1	撒娇
诈娇弄嗲	ja3 giu1 lonk6 de2	撒娇
榨干	ja3 gon1	
乍看之下	ja3 hon3 ji1 ha6	
诈诈谛谛	ja3 ja3 day3 day3	装模装样
榨汁	ja3 jap1	
榨汁机	ja3 jap1 gey1	
炸酱面	ja3 jeong3 min6	
炸烂	ja3 lan6	
炸裂	ja3 lid6	
诈聋扮哑	ja3 lonk4 ban6 nga2	装聋作哑
诈唔知	ja3 m4 ji1	假装不知道
诈妈娇	ja3 ma1 giu1	撒娇
蚱蜢	ja3 mang5	
炸面	ja3 min6	油条
诈懵	ja3 monk2	装糊涂
诈呆诈吽	ja3 ngoi4 ja3 ngaw6	装傻，装愚笨
诈戆	ja3 ngong6	装傻
诈骗	ja3 pin3	
炸破	ja3 po3	
炸伤	ja3 seong1	
炸死	ja3 sey2	
诈死	ja3 sey2	装死
诈傻	ja3 so4	装傻，装糊涂，装疯卖傻
诈傻扮懵	ja3 so4 ban6 monk2	装疯卖傻，装糊涂，扮傻
炸粟米	ja3 sok1 may5	爆米花
炸碎	ja3 soy3	
乍听之下	ja3 tenk1 ji1 ha6	
炸毁	ja3 way2	
榨油	ja3 yaw4	
榨油机	ja3 yaw4 gey1	
诈型	ja3 yenk4	摆架子，装腔作势，自高自大
炸药	ja3 yeog6	
乍雨乍晴	ja3 yeu5 ja3 cenk4	
诈耳聋	ja3 yi5 lonk4	装聋作哑
拃	ja6	把
匝道	jab3 dow6	
咂嘴	jab3 joy2	
眨眼	jab3 ngan5	
砸坏	jab3 wai6	
杂	jab6	荤的，荤食
闸	jab6	栅栏，门，剪票口
杂菜	jab6 coi3	荤菜
杂草	jab6 cow2	
杂费	jab6 fay3	
杂肥	jab6 fey4	
杂货	jab6 fo3	
杂货店	jab6 fo3 dim3	
杂货铺	jab6 fo3 pow2	杂货店，副食店
什锦	jab6 gamp2	
什锦炒面	jab6 gamp2 cau2 min6	
什锦菜	jab6 gamp2 coi3	
什锦面	jab6 gamp2 min6	
杂交	jab6 gau1	
袭击	jab6 gek1	
杂记	jab6 gey3	
杂技	jab6 gey6	
杂技表演	jab6 gey6 bui2 yin2	
杂技场	jab6 gey6 ceong4	
杂技团	jab6 gey6 teun4	
集结	jab6 gid3	
习惯	jab6 guan3	
钑骨	jab6 guat1	锁边
集合	jab6 hab6	
闸口	jab6 haw2	剪票口
杂项	jab6 hong6	
闸住	jab6 jeu6	住口，打住，别说，停止
闸住把口	jab6 jeu6 ba2 haw2	住口
杂志	jab6 ji3	
杂志社	jab6 ji3 se5	
习字	jab6 ji6	
习字帖	jab6 ji6 tib3	
习俗	jab6 jok6	
集中	jab6 jonk1	
杂种	jab6 jonk2	
杂种狗	jab6 jonk2 gaw2	
杂粮	jab6 leong4	
杂乱	jab6 leun6	
杂唛	jab6 mak1	杂牌，杂牌儿
杂物	jab6 mat6	
杂务	jab6 mow6	
闸门	jab6 mun4	
杂念	jab6 nim6	
杂耍	jab6 sa2	
习性	jab6 senk3	
杂树林	jab6 seu6 lamp4	
杂事	jab6 si6	
杂事缠身	jab6 si6 cin4 sant1	
杂税	jab6 soy3	
集体	jab6 tay2	
习题	jab6 tay4	
集团	jab6 teun4	
杂烩	jab6 wui6	
杂音	jab6 yamp1	
集邮	jab6 yaw4	
杂役	jab6 yek6	
集腋成裘	jab6 yek6 senk4 kaw4	
习以为常	jab6 yi5 way4 seong4	
紮	jad3	束
铡草	jad3 cow2	
铡刀	jad3 dow1	
扎根	jad3 gant1	
扎扎跳	jad3 jad3 tiu3	活蹦乱跳
拶指	jad3 ji2	
扎孖辫	jad3 ma1 bin1	扎着双辫
扎马	jad3 ma5	扎马步，站好马步，准备打架
扎破	jad3 po3	
扎实	jad3 sat6	
扎醒	jad3 seng2	惊醒
责	jag3	压
窄	jag3	狭窄
责备	jag3 bey6	
责怪	jag3 guai3	
责住	jag3 jeu6	压着
责令	jag3 lenk6	
责骂	jag3 ma6	
责问	jag3 mant6	
窄搣搣	jag3 mid6 mid6	窄窄的，紧紧的
责无旁贷	jag3 mow4 pong4 tai3	
责难	jag3 nan6	
责实啲	jag3 sat6 di1	压紧一点
责死	jag3 sey2	压死
责任	jag3 yamp6	
责任感	jag3 yamp6 gamp2	
责任心	jag3 yamp6 samp1	
摘	jag6	采
宅第	jag6 day6	
踯躅	jag6 jok6	
择使	jag6 say2	麻烦，难办，伤脑筋，不好使用
择食	jag6 sek6	偏食，挑吃
斋	jai1	素的，素食
斋菜	jai1 coi3	素菜
斋啡	jai1 fe1	不加糖奶的咖啡
斋戒	jai1 gai3	
斋戒沐浴	jai1 gai3 mok6 yok6	
斋戒日	jai1 gai3 yat6	
斋卤味	jai1 low5 mey2	素什锦
斋talk	jai1 tog1	净是说话
斋汤	jai1 tong1	素汤
斋堂	jai1 tong2	道观，佛寺，庵寺
斋日	jai1 yat6	
债款	jai3 fun2	
债券	jai3 heun3	
债主	jai3 jeu2	
债权	jai3 keun4	
债权国	jai3 keun4 guog3	
债权人	jai3 keun4 yant4	
债务	jai3 mow6	
债务国	jai3 mow6 guog3	
债务人	jai3 mow6 yant4	
债台高筑	jai3 toi4 gow1 jok1	
债户	jai3 wu6	
侧便	jak1 bin6	旁边
侧部	jak1 bow6	
侧向	jak1 heong3	
侧侧膊	jak1 jak1 bog3	推卸责任
侧面	jak1 min6	
侧目	jak1 mok6	
侧目而视	jak1 mok6 yi4 si6	
侧卧	jak1 ngo6	
侧身	jak1 sant1	
侧身而卧	jak1 sant1 yi4 ngo6	
仄声	jak1 senk1	
侧视	jak1 si6	
侧线	jak1 sin3	
仄韵	jak1 want6	
侧翼	jak1 yek6	
斩	jam2	砍
斩吓眼	jam2 ha5 ngan5	一眨眼
斩吓眼就…	jam2 ha5 ngan5 jaw6	一眨眼就…
崭露头角	jam2 low6 taw4 gog3	
斩眼	jam2 ngan5	眨眼
崭新	jam2 sant1	
斩伤	jam2 seong1	砍伤
斩树	jam2 seu6	砍树
斩头	jam2 taw2	砍头，斩首
斩头鬼	jam2 taw2 guay2	该死的
湛蓝	jam3 lam4	
赞美	jam3 mey5	
錾刀	jam6 dow1	
站岗	jam6 gong1	
站立	jam6 lab6	
暂时	jam6 si4	
暂停	jam6 tenk4	
站台	jam6 toi4	
斟	jamp1	倒
斟	jamp1	谈，商量，商谈，接洽，洽谈，洽商
针	jamp1	蜇，叮，叮咬
砧板	jamp1 ban2	
斟茶	jamp1 ca4	倒茶
斟出	jamp1 cot1	倒出
斟出嚟	jamp1 cot1 ley4	倒出来
针对	jamp1 doy3	
斟吓	jamp1 ha5	谈谈，谈一下，商量一下，商量商量
斟酒	jamp1 jaw2	倒酒
斟酌	jamp1 jeog3	
斟唔掂	jamp1 m4 dim6	谈不妥
斟盘	jamp1 pun2	谈判，商议，谈生意，洽谈做买卖
斟泻	jamp1 se2	倒得溢出
斟豉油	jamp1 si6 yaw4	倒酱油
针线	jamp1 sin3	
斟水	jamp1 soy2	倒水
针筒	jamp1 tonk2	注射器，针管
枕	jamp2	茧子，趼子，老茧
枕长	jamp2 ceong4	经常，长期
枕住	jamp2 jeu6	经常，长期
怎么	jamp2 mo1	
枕头	jamp2 taw4	
枕头包	jamp2 taw4 bau1	方面包
枕头袋	jamp2 taw4 doi2	枕头套
枕头肉	jamp2 taw4 yok6	枕芯，枕头芯子
枕肉	jamp2 yok6	枕心儿
浸	jamp3	泡
浸礼	jamp3 lay5	
浸泡	jamp3 pau3	
浸湿	jamp3 sap1	
浸信会	jamp3 sont3 wui6	
浸水	jamp3 soy2	
浸透	jamp3 taw3	
浸入	jamp3 yap6	
浸染	jamp3 yim5	
朕	jamp6	股，阵
沉	jamp6	淹，溺
鸩酒	jamp6 jaw2	
沉死	jamp6 sey2	淹死，溺死
赚	jan2	徒劳，白白地，徒然，白费
盏	jan2	好，棒，妥当，惬意，写意，有意思
趱	jan2	走，赶，颤动，跳动，催促
攒钱	jan2 cin4	
赚得	jan2 dak1	空有，徒然，只落得
赚得个	jan2 dak1 go3	空有，只落得，只能得到
赚搅	jan2 gau2	白忙活，白干，徒劳
盏鬼	jan2 guay2	好，美好，美妙，有趣，好玩，有意思
趱行	jan2 hank4	
赚做	jan2 jow6	白干一场
赚嘥气	jan2 sai1 hey3	白费劲，白费力气，白费口舌，白搭
赚衰	jan2 soy1	自找倒霉
盏嘢	jan2 ye5	好东西
赞	jan3	称赞，夸奖，表扬
赞助	jan3 jo6	
赞颂	jan3 jonk3	
赞美	jan3 mey5	
赞成	jan3 senk4	
赞扬	jan3 yeong4	
赚钱	jan6 cin2	
撰稿	jan6 gow2	
撰稿人	jan6 gow2 yant4	
绽开	jan6 hoi1	
撰著	jan6 jeu3	
撰序	jan6 joy6	
赚唔到钱	jan6 m4 dow2 cin2	赚不了钱
撰文	jan6 mant4	
撰写	jan6 se2	
撰书	jan6 seu1	
撰述	jan6 sot6	
撰拟	jan6 yi5	
争	jang1	欠，差，缺
踭	jang1	肘，跟，踵
争…钱	jang1 cin2	欠了…的钱
争啲	jang1 di1	差点，几乎
争啲唔记得咗	jang1 di1 m4 gey3 dak1 jo2	差点忘了
争交	jang1 gau1	吵架
争住	jang1 jeu6	抢着
争住食	jang1 jeu6 sek6	抢着吃
争佢两蚊	jang1 koy5 leong5 mant1	欠他两块钱
争两个人	jang1 leong5 go3 yant4	缺两个人
争论	jang1 lont6	
争议	jang1 yi5	
挣	jang6	塞，挤
挣满晒	jang6 mun5 sai3	塞满了
憎	jank1	恨
增压	jank1 ad3	
增兵	jank1 benk1	
争辩	jank1 bin6	
增补	jank1 bow2	
增产	jank1 can2	
增设	jank1 cid3	
增大	jank1 dai6	
增订	jank1 denk3	
增订本	jank1 denk3 bun2	
争夺	jank1 deud6	
增多	jank1 do1	
僧多粥少	jank1 do1 jok1 siu2	
僧服	jank1 fok1	
增加	jank1 ga1	
增减	jank1 gam2	
增高	jank1 gow1	
