開放粵語字典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［劉錫祥拼音］
丕	丕	pei1
披	披	pei1
紕	纰	pei1
狉	狉	pei1
呸	呸	pei1
仳	仳	pei2
痞	痞	pei2
否	否	pei2
鄙	鄙	pei2
吡	吡	pei2
圮	圮	pei2
屁	屁	pei3
譬	譬	pei3
濞	濞	pei3
媲	媲	pei3/bei2
枇	枇	pei4
疲	疲	pei4
琵	琵	pei4
貔	貔	pei4
毗	毗	pei4
皮	皮	pei4
蜱	蜱	pei4
郫	郫	pei4
邳	邳	pei4
脾	脾	pei4
婢	婢	pei5
被	被	pei5
劈	劈	pek3
癖	癖	pik1
辟	辟	pik1
僻	僻	pik1
闢	辟	pik1
霹	霹	pik1
編	编	pin1
偏	偏	pin1
翩	翩	pin1
篇	篇	pin1
扁	扁	pin1
蝙	蝙	pin1/bin1
片	片	pin2
片	片	pin2
遍	遍	pin3
騙	骗	pin3
片	片	pin3
駢	骈	pin4
便	便	pin4
姘	姘	ping1
怦	怦	ping1
娉	娉	ping1
抨	抨	ping1
砰	砰	ping1
拼	拼	ping1/ping3
聘	聘	ping3
坪	坪	ping4
屏	屏	ping4
蘋	苹	ping4
萍	萍	ping4
瓶	瓶	ping4
平	平	ping4
評	评	ping4
瞥	瞥	pit3
撇	撇	pit3
縹	缥	piu1
漂	漂	piu1
嘌	嘌	piu1
飄	飘	piu1
票	票	piu3
漂	漂	piu3
剽	剽	piu3/piu5
嫖	嫖	piu4
朴	朴	piu4
瓢	瓢	piu4
瞟	瞟	piu5
鰾	鳔	piu5
鋪	铺	po1
浦	浦	po2
溥	溥	po2
譜	谱	po2
普	普	po2
脯	脯	po2/foo2
舖	铺	po3
匍	匍	po4
蒲	蒲	po4
莆	莆	po4
葡	葡	po4
菩	菩	po4
袍	袍	po4
脯	脯	po4
抱	抱	po5
泡	泡	po5
頗	颇	poh1
坡	坡	poh1/boh1
棵	棵	poh1/foh2
頗	颇	poh2
笸	笸	poh2
叵	叵	poh2
破	破	poh3
婆	婆	poh4
鄱	鄱	poh4/boh3
釙	钋	pok3
噗	噗	pok3
樸	朴	pok3
璞	璞	pok3
撲	扑	pok3
粕	粕	pok3/paak3
謗	谤	pong3
螃	螃	pong4
旁	旁	pong4
滂	滂	pong4
磅	磅	pong4
龐	庞	pong4
彷	彷	pong4
膀	膀	pong4
蚌	蚌	pong5
坯	坯	pooi1
胚	胚	pooi1
配	配	pooi3
霈	霈	pooi3
珮	珮	pooi3
佩	佩	pooi3
沛	沛	pooi3
賠	赔	pooi4
裴	裴	pooi4
徘	徘	pooi4
陪	陪	pooi4
培	培	pooi4
倍	倍	pooi5
蓓	蓓	pooi5/pooi4
番	番	poon1
潘	潘	poon1
拚	拚	poon3
判	判	poon3
盤	盘	poon4
蟠	蟠	poon4
盆	盆	poon4
槃	槃	poon4
磐	磐	poon4
蹣	蹒	poon4/moon4
潑	泼	poot3
仆	仆	puk1
捧	捧	pung2/bung2
碰	碰	pung3
篷	篷	pung4
芃	芃	pung4
蓬	蓬	pung4/fung4
砂	砂	sa1
痧	痧	sa1
沙	沙	sa1
啥	啥	sa1
卅	卅	sa1
裟	裟	sa1
鯊	鲨	sa1
紗	纱	sa1
莎	莎	sa1
灑	洒	sa2
耍	耍	sa2
徙	徙	saai2
璽	玺	saai2
曬	晒	saai3
索	索	saak3/sok3
三	三	saam1
仨	仨	saam1
衫	衫	saam1
叄	叁	saam1
三	三	saam3
山	山	saan1
珊	珊	saan1
閂	闩	saan1
拴	拴	saan1
舢	舢	saan1
潸	潸	saan1
刪	删	saan1
姍	姗	saan1
跚	跚	saan1
栓	栓	saan1
散	散	saan2
訕	讪	saan3
汕	汕	saan3
疝	疝	saan3
散	散	saan3
傘	伞	saan3
涮	涮	saan3
篡	篡	saan3
潺	潺	saan4
孱	孱	saan4
牲	牲	saang1
甥	甥	saang1
省	省	saang2
颯	飒	saap3
圾	圾	saap3
煞	煞	saat3
鎩	铩	saat3
殺	杀	saat3
撒	撒	saat3
薩	萨	saat3
剎	刹	saat3
梢	梢	saau1
捎	捎	saau1
稍	稍	saau2
哨	哨	saau3
犀	犀	sai1
嘶	嘶	sai1
舾	舾	sai1
西	西	sai1
篩	筛	sai1
硒	硒	sai1
駛	驶	sai2
洗	洗	sai2
使	使	sai2
婿	婿	sai3
世	世	sai3
細	细	sai3
勢	势	sai3
舐	舐	sai5/sai2
逝	逝	sai6
筮	筮	sai6
誓	誓	sai6
噬	噬	sai6
塞	塞	sak1
噻	噻	sak1
芯	芯	sam1
心	心	sam1
深	深	sam1
參	参	sam1
郴	郴	sam1
琛	琛	sam1
森	森	sam1
瀋	沈	sam2
審	审	sam2
沈	沈	sam2
嬸	婶	sam2
滲	渗	sam3
沁	沁	sam3
涔	涔	sam4
岑	岑	sam4
梣	梣	sam4
忱	忱	sam4
什	什	sam6
甚	甚	sam6
椹	葚	sam6
新	新	san1
娠	娠	san1
呻	呻	san1
伸	伸	san1
砷	砷	san1
薪	薪	san1
燊	燊	san1
身	身	san1
莘	莘	san1
紳	绅	san1
辛	辛	san1
鋅	锌	san1
申	申	san1
晨	晨	san4
辰	辰	san4
神	神	san4
臣	臣	san4
腎	肾	san5
慎	慎	san6
蜃	蜃	san6/san5
笙	笙	sang1
生	生	sang1/saang1
擤	擤	sang3
蹭	蹭	sang3
濕	湿	sap1
澀	涩	sap1/sik1/gip3
霎	霎	sap3
十	十	sap6
拾	拾	sap6
瑟	瑟	sat1
蝨	虱	sat1
失	失	sat1
膝	膝	sat1
室	室	sat1
實	实	sat6
羞	羞	sau1
嗖	嗖	sau1
收	收	sau1
颼	飕	sau1
螋	螋	sau1
餿	馊	sau1
修	修	sau1
搜	搜	sau1/sau2
手	手	sau2
首	首	sau2
嗾	嗾	sau2
搜	搜	sau2
守	守	sau2
擻	擞	sau2
艘	艘	sau2/sau1
宿	宿	sau3
獸	兽	sau3
狩	狩	sau3
嗽	嗽	sau3
鏽	锈	sau3
繡	绣	sau3
漱	漱	sau3
琇	琇	sau3
瘦	瘦	sau3
秀	秀	sau3
仇	仇	sau4
愁	愁	sau4
綬	绶	sau6
授	授	sau6
壽	寿	sau6
受	受	sau6
售	售	sau6
些	些	se1
寫	写	se2
捨	舍	se2
瀉	泻	se3
赦	赦	se3
舍	舍	se3
猞	猞	se3
卸	卸	se3
畲	畲	se4
蛇	蛇	se4
社	社	se5
麝	麝	se6
射	射	se6
死	死	sei2
四	四	sei3
錫	锡	sek3
碩	硕	sek6
石	石	sek6
爍	烁	seuk3
鑠	铄	seuk3
削	削	seuk3
傷	伤	seung1
商	商	seung1
觴	觞	seung1
湘	湘	seung1
箱	箱	seung1
鸘	鹴	seung1
殤	殇	seung1
鑲	镶	seung1
相	相	seung1
襄	襄	seung1
廂	厢	seung1
霜	霜	seung1
孀	孀	seung1
雙	双	seung1
想	想	seung2
鯗	鲞	seung2
賞	赏	seung2
相	相	seung3
嫦	嫦	seung4
徜	徜	seung4
嚐	尝	seung4
償	偿	seung4
裳	裳	seung4
常	常	seung4
嘗	尝	seung4
上	上	seung5
上	上	seung6
尚	尚	seung6
屍	尸	si1
私	私	si1
師	师	si1
斯	斯	si1
司	司	si1
絲	丝	si1
廝	厮	si1
獅	狮	si1
施	施	si1
詩	诗	si1
尸	尸	si1
撕	撕	si1
蓍	蓍	si1
思	思	si1
使	使	si2
屎	屎	si2
史	史	si2
肆	肆	si3
弒	弑	si3
試	试	si3
駟	驷	si3
嗜	嗜	si3
諡	谥	si3
使	使	si3
泗	泗	si3
時	时	si4
鰣	鲥	si4
蒔	莳	si4
匙	匙	si4
市	市	si5
伺	伺	si6
侍	侍	si6
豉	豉	si6
示	示	si6
視	视	si6
是	是	si6
事	事	si6
仕	仕	si6
士	士	si6
氏	氏	si6
熄	熄	sik1
軾	轼	sik1
昔	昔	sik1
皙	皙	sik1
息	息	sik1
拭	拭	sik1
螫	螫	sik1
識	识	sik1
惜	惜	sik1
銫	铯	sik1
悉	悉	sik1
蟋	蟋	sik1
淅	淅	sik1
釋	释	sik1
嗇	啬	sik1
析	析	sik1
晰	晰	sik1
飾	饰	sik1
式	式	sik1
媳	媳	sik1
適	适	sik1
蜥	蜥	sik1
色	色	sik1
食	食	sik6
蝕	蚀	sik6
閃	闪	sim2
陝	陕	sim2
禪	禅	sim4
蟾	蟾	sim4
單	单	sim4
贍	赡	sim6
鮮	鲜	sin1
先	先	sin1
仙	仙	sin1
酰	酰	sin1
氙	氙	sin1/saan1
癬	癣	sin2
鮮	鲜	sin2
跣	跣	sin2
冼	冼	sin2
腺	腺	sin3
霰	霰	sin3
煽	煽	sin3
騸	骟	sin3
扇	扇	sin3
線	线	sin3
蟬	蝉	sin4
鱔	鳝	sin5
禪	禅	sin6
繕	缮	sin6
鄯	鄯	sin6
單	单	sin6
羨	羡	sin6
膳	膳	sin6
嬗	嬗	sin6
倩	倩	sin6
善	善	sin6
擅	擅	sin6
撣	掸	sin6
茜	茜	sin6/sai1
星	星	sing1
陞	升	sing1
昇	升	sing1
勝	胜	sing1
惺	惺	sing1
升	升	sing1
猩	猩	sing1
腥	腥	sing1/seng1
聲	声	sing1/seng1
省	省	sing2
醒	醒	sing2/seng2
聖	圣	sing3
姓	姓	sing3
性	性	sing3
勝	胜	sing3
乘	乘	sing4
丞	丞	sing4
城	城	sing4
澠	渑	sing4
承	承	sing4
盛	盛	sing4
繩	绳	sing4
誠	诚	sing4
成	成	sing4
剩	剩	sing6
盛	盛	sing6
嵊	嵊	sing6
歙	歙	sip3
涉	涉	sip3
攝	摄	sip3
懾	慑	sip3/jip3
屑	屑	sit3
洩	泄	sit3
竊	窃	sit3
舌	舌	sit3
薛	薛	sit3
楔	楔	sit3
絏	绁	sit3
褻	亵	sit3
揳	揳	sit3/sip3
簫	箫	siu1
魈	魈	siu1
消	消	siu1
瀟	潇	siu1
韶	韶	siu1
霄	霄	siu1
逍	逍	siu1
硝	硝	siu1
蕭	萧	siu1
燒	烧	siu1
銷	销	siu1
宵	宵	siu1
少	少	siu2
筱	筱	siu2
小	小	siu2
少	少	siu3
嘯	啸	siu3
笑	笑	siu3
邵	邵	siu6
紹	绍	siu6
劭	劭	siu6
兆	兆	siu6
肇	肇	siu6
臊	臊	so1
穌	稣	so1
鬚	须	so1
甦	甦	so1
搔	搔	so1
蘇	苏	so1
酥	酥	so1
囌	苏	so1
騷	骚	so1
嫂	嫂	so2
數	数	so2
臊	臊	so3
掃	扫	so3
素	素	so3
愫	愫	so3
訴	诉	so3
溯	溯	so3
數	数	so3
塑	塑	so3
梳	梳	soh1
梭	梭	soh1
疏	疏	soh1
蔬	蔬	soh1
嗦	嗦	soh1
唆	唆	soh1
羧	羧	soh1
蓑	蓑	soh1
鎖	锁	soh2
所	所	soh2
瑣	琐	soh2
嗩	唢	soh2
傻	傻	soh4
鰓	鳃	soi1
腮	腮	soi1
說	说	sok3
朔	朔	sok3
索	索	sok3
桑	桑	song1
喪	丧	song1
搡	搡	song2
爽	爽	song2
嗓	嗓	song2
喪	丧	song3
舒	舒	sue1
抒	抒	sue1
樞	枢	sue1
紓	纾	sue1
輸	输	sue1
書	书	sue1
鼠	鼠	sue2
黍	黍	sue2
暑	暑	sue2
戍	戍	sue3
恕	恕	sue3
庶	庶	sue3
殊	殊	sue4
薯	薯	sue4
樹	树	sue6
豎	竖	sue6
酸	酸	suen1
宣	宣	suen1
孫	孙	suen1
猻	狲	suen1
狻	狻	suen1
蓀	荪	suen1
飧	飧	suen1
悛	悛	suen1
瑄	瑄	suen1
損	损	suen2
選	选	suen2
算	算	suen3
蒜	蒜	suen3
渲	渲	suen3/huen1
船	船	suen4
漩	漩	suen4
旋	旋	suen4
璇	璇	suen4
雋	隽	suen5
吮	吮	suen5
篆	篆	suen6
鱈	鳕	suet3
說	说	suet3
雪	雪	suet3
胥	胥	sui1
雖	虽	sui1
睢	睢	sui1
須	须	sui1
荽	荽	sui1
綏	绥	sui1
需	需	sui1
濉	濉	sui1
衰	衰	sui1
水	水	sui2
帥	帅	sui3
稅	税	sui3
歲	岁	sui3
碎	碎	sui3
說	说	sui3
誰	谁	sui4
垂	垂	sui4
墅	墅	sui5
緒	绪	sui5
髓	髓	sui5
絮	絮	sui5/sui6
瑞	瑞	sui6
睡	睡	sui6
悴	悴	sui6
隧	隧	sui6
粹	粹	sui6
穗	穗	sui6
祟	祟	sui6
遂	遂	sui6
邃	邃	sui6
燧	燧	sui6
萃	萃	sui6
瘁	瘁	sui6/sui5
縮	缩	suk1
夙	夙	suk1
僳	僳	suk1
宿	宿	suk1
蓿	蓿	suk1
鷫	鹔	suk1
叔	叔	suk1
倏	倏	suk1
粟	粟	suk1
肅	肃	suk1
熟	熟	suk6
蜀	蜀	suk6
孰	孰	suk6
菽	菽	suk6
塾	塾	suk6
淑	淑	suk6
屬	属	suk6
贖	赎	suk6
詢	询	sun1
峋	峋	sun1
殉	殉	sun1
芯	芯	sun1
荀	荀	sun1
榫	榫	sun2
筍	笋	sun2
巽	巽	sun3
信	信	sun3
浚	浚	sun3
迅	迅	sun3
瞬	瞬	sun3
遜	逊	sun3
汛	汛	sun3
訊	讯	sun3
舜	舜	sun3
囟	囟	sun3/sun2
純	纯	sun4
醇	醇	sun4
脣	唇	sun4
淳	淳	sun4
鶉	鹑	sun4/chun1
順	顺	sun6
從	从	sung1
鬆	松	sung1
淞	淞	sung1
忪	忪	sung1
嵩	嵩	sung1
悚	悚	sung2
聳	耸	sung2
竦	竦	sung2
慫	怂	sung2
送	送	sung3
宋	宋	sung3
崇	崇	sung4
率	率	sut1
蟀	蟀	sut1
摔	摔	sut1
戌	戌	sut1
恤	恤	sut1
沭	沭	sut6
述	述	sut6
術	术	sut6
鉈	铊	ta1
牠	它	ta1
她	她	ta1
它	它	ta1
祂	他	ta1
他	他	ta1
太	太	taai3
肽	肽	taai3
泰	泰	taai3
傣	傣	taai3
鈦	钛	taai3
貸	贷	taai3
汰	汰	taai3
態	态	taai3
貪	贪	taam1
毯	毯	taam2
探	探	taam3
罈	坛	taam3
覃	覃	taam4
曇	昙	taam4
談	谈	taam4
澹	澹	taam4
潭	潭	taam4
譚	谭	taam4
郯	郯	taam4
痰	痰	taam4
淡	淡	taam5
坍	坍	taan1
癱	瘫	taan1
攤	摊	taan1
灘	滩	taan1
坦	坦	taan2
袒	袒	taan2
亶	亶	taan2
鉭	钽	taan2
疸	疸	taan2
忐	忐	taan2
炭	炭	taan3
歎	叹	taan3
碳	碳	taan3
檀	檀	taan4
壇	坛	taan4
彈	弹	taan4
榻	榻	taap3
漯	漯	taap3
塔	塔	taap3
塌	塌	taap3
遢	遢	taap3/taat3
撻	挞	taat3
趿	趿	taat3
躂	跶	taat3
韃	鞑	taat3
闥	闼	taat3
梯	梯	tai1
銻	锑	tai1
體	体	tai2
涕	涕	tai3
嚏	嚏	tai3
剃	剃	tai3
替	替	tai3
屜	屉	tai3
緹	缇	tai4
堤	堤	tai4
啼	啼	tai4
鵜	鹈	tai4
醍	醍	tai4
蹄	蹄	tai4
提	提	tai4
題	题	tai4
飩	饨	tan1
吞	吞	tan1
褪	褪	tan3
疼	疼	tang4
騰	腾	tang4
謄	誊	tang4
滕	滕	tang4
藤	藤	tang4
偷	偷	tau1
透	透	tau3
投	投	tau4
頭	头	tau4
骰	骰	tau4/sik1
踢	踢	tek3
忑	忑	tik1
忒	忒	tik1
倜	倜	tik1
剔	剔	tik1
鋱	铽	tik1
惕	惕	tik1
添	添	tim1
舔	舔	tim2
甜	甜	tim4
恬	恬	tim4
天	天	tin1
腆	腆	tin2
鈿	钿	tin4
田	田	tin4
闐	阗	tin4
填	填	tin4
滇	滇	tin4/din1
鈿	钿	tin4/din6
殄	殄	tin5/tim5
汀	汀	ting1
烴	烃	ting1
聽	听	ting1/teng1
廳	厅	ting1/teng1
聽	听	ting3
婷	婷	ting4
蜓	蜓	ting4
庭	庭	ting4
停	停	ting4
廷	廷	ting4
霆	霆	ting4
亭	亭	ting4
挺	挺	ting5
鋌	铤	ting5
艇	艇	ting5/teng5
帖	帖	tip3
萜	萜	tip3
貼	贴	tip3
鐵	铁	tit3
餮	餮	tit3
挑	挑	tiu1
跳	跳	tiu3
眺	眺	tiu3
迢	迢	tiu4
調	调	tiu4
條	条	tiu4
笤	笤	tiu4
齠	龆	tiu4
髫	髫	tiu4
挑	挑	tiu5
窕	窕	tiu5
叨	叨	to1
滔	滔	to1
饕	饕	to1
韜	韬	to1
釷	钍	to2
討	讨	to2
土	土	to2
禱	祷	to2
吐	吐	to3
兔	兔	to3
套	套	to3
萄	萄	to4
鼗	鼗	to4
洮	洮	to4
掏	掏	to4
塗	涂	to4
逃	逃	to4
圖	图	to4
涂	涂	to4
濤	涛	to4
桃	桃	to4
屠	屠	to4
陶	陶	to4
啕	啕	to4
徒	徒	to4
途	途	to4
荼	荼	to4
淘	淘	to4
檮	梼	to4
肚	肚	to5
拖	拖	toh1
妥	妥	toh2
橢	椭	toh2
唾	唾	toh3/teuh3
沱	沱	toh4
陀	陀	toh4
駝	驼	toh4
鴕	鸵	toh4
佗	佗	toh4
舵	舵	toh4
馱	驮	toh4
苔	苔	toi1
胎	胎	toi1
台	台	toi4
跆	跆	toi4
枱	台	toi4
苔	苔	toi4
颱	台	toi4
薹	薹	toi4
抬	抬	toi4
託	托	tok3
橐	橐	tok3
托	托	tok3
拓	拓	tok3
庹	庹	tok3
湯	汤	tong1
淌	淌	tong2
倘	倘	tong2
躺	躺	tong2
儻	傥	tong2
帑	帑	tong2
熨	熨	tong3
蹚	蹚	tong3
趟	趟	tong3
燙	烫	tong3
唐	唐	tong4
幢	幢	tong4
醣	醣	tong4
溏	溏	tong4
塘	塘	tong4
膛	膛	tong4
螳	螳	tong4
棠	棠	tong4
堂	堂	tong4
糖	糖	tong4/tong2
搪	搪	tong4/tong5
團	团	tuen4
豚	豚	tuen4
囤	囤	tuen4
屯	屯	tuen4
糰	团	tuen4
臀	臀	tuen4
斷	断	tuen5
脫	脱	tuet3
推	推	tui1
腿	腿	tui2
退	退	tui3
蛻	蜕	tui3
頹	颓	tui4
禿	秃	tuk1
湍	湍	tun1/juen1
彖	彖	tun3
盾	盾	tun5
通	通	tung1
統	统	tung2
桶	桶	tung2
捅	捅	tung2
筒	筒	tung2/tung4
痛	痛	tung3
桐	桐	tung4
瞳	瞳	tung4
童	童	tung4
潼	潼	tung4
銅	铜	tung4
峒	峒	tung4
同	同	tung4
酮	酮	tung4
衕	同	tung4
佟	佟	tung4
僮	僮	tung4
彤	彤	tung4
屋	屋	uk1
甕	瓮	ung3
齆	齆	ung3
娃	娃	wa1
窪	洼	wa1
哇	哇	wa1
蛙	蛙	wa1
凹	凹	wa1
譁	哗	wa1
嘩	哗	wa1
話	话	wa2
剮	剐	wa2
畫	画	wa2/wa6
華	华	wa4
驊	骅	wa4
划	划	wa4/wa1
踝	踝	wa5
華	华	wa6
話	话	wa6
樺	桦	wa6/wa4
歪	歪	waai1
淮	淮	waai4
槐	槐	waai4
懷	怀	waai4
壞	坏	waai6
或	或	waak6
惑	惑	waak6
畫	画	waak6
劃	划	waak6
彎	弯	waan1
灣	湾	waan1
綰	绾	waan2
玩	玩	waan2
頑	顽	waan4
鬟	鬟	waan4
還	还	waan4
寰	寰	waan4
玩	玩	waan4
環	环	waan4
挽	挽	waan5
輓	挽	waan5
患	患	waan6
宦	宦	waan6
幻	幻	waan6
橫	横	waang4
橫	横	waang6
挖	挖	waat3
斡	斡	waat3
滑	滑	waat6
猾	猾	waat6
威	威	wai1
委	委	wai1
逶	逶	wai1
崴	崴	wai1
葳	葳	wai1
萎	萎	wai2
喟	喟	wai2
痿	痿	wai2
卉	卉	wai2
猥	猥	wai2
委	委	wai2
毀	毁	wai2
蔚	蔚	wai3
餵	喂	wai3
畏	畏	wai3
穢	秽	wai3
慰	慰	wai3
喂	喂	wai3
尉	尉	wai3
薈	荟	wai3/wooi6
為	为	wai4
唯	唯	wai4
桅	桅	wai4
帷	帷	wai4
違	违	wai4
惟	惟	wai4
圍	围	wai4
維	维	wai4
遺	遗	wai4
闈	闱	wai4
濰	潍	wai4
韙	韪	wai5
偉	伟	wai5
瑋	玮	wai5
葦	苇	wai5
緯	纬	wai5
韋	韦	wai5
諱	讳	wai5
惠	惠	wai6
位	位	wai6
謂	谓	wai6
衛	卫	wai6
胃	胃	wai6
蕙	蕙	wai6
為	为	wai6
蝟	猬	wai6
彗	彗	wai6
渭	渭	wai6
慧	慧	wai6
氳	氲	wan1
瘟	瘟	wan1
溫	温	wan1
穩	稳	wan2
搵	揾	wan3
蘊	蕴	wan3
醞	酝	wan3
慍	愠	wan3
蕓	芸	wan4
云	云	wan4
筠	筠	wan4
暈	晕	wan4
耘	耘	wan4
妘	妘	wan4
勻	匀	wan4
渾	浑	wan4
魂	魂	wan4
餛	馄	wan4
鋆	鋆	wan4
芸	芸	wan4
紜	纭	wan4
琿	珲	wan4
昀	昀	wan4
雲	云	wan4
隕	陨	wan5
尹	尹	wan5
允	允	wan5
殞	殒	wan5
狁	狁	wan5
暈	晕	wan6
熨	熨	wan6
混	混	wan6
運	运	wan6
諢	诨	wan6
鄆	郓	wan6
韻	韵	wan6/wan5
閎	闳	wang4
宏	宏	wang4
弘	弘	wang4
屈	屈	wat1
鬱	郁	wat1
鷸	鹬	wat6
聿	聿	wat6/lut6
域	域	wik6
閾	阈	wik6
蜮	蜮	wik6
扔	扔	wing1
嶸	嵘	wing4
榮	荣	wing4
永	永	wing5
泳	泳	wing6
詠	咏	wing6
穎	颖	wing6
潁	颍	wing6
蝸	蜗	woh1
鍋	锅	woh1
窩	窝	woh1
渦	涡	woh1
撾	挝	woh1
萵	莴	woh1
倭	倭	woh1
媧	娲	woh1
窠	窠	woh1/foh1
和	和	woh4
禾	禾	woh4
禍	祸	woh6
鑊	镬	wok6
穫	获	wok6
獲	获	wok6
汪	汪	wong1
枉	枉	wong2
煌	煌	wong4
隍	隍	wong4
王	王	wong4
蟥	蟥	wong4
蝗	蝗	wong4
黃	黄	wong4
皇	皇	wong4
磺	磺	wong4
惶	惶	wong4
潢	潢	wong4
凰	凰	wong4
徨	徨	wong4
簧	簧	wong4
遑	遑	wong4
往	往	wong5
旺	旺	wong6
鄔	邬	woo1
污	污	woo1
鎢	钨	woo1
烏	乌	woo1
惡	恶	woo1
嗚	呜	woo1
塢	坞	woo2
滸	浒	woo2
惡	恶	woo3
湖	湖	woo4
葫	葫	woo4
醐	醐	woo4
糊	糊	woo4
狐	狐	woo4
蝴	蝴	woo4
瑚	瑚	woo4
猢	猢	woo4
煳	煳	woo4
餬	糊	woo4
鬍	胡	woo4
衚	胡	woo4
鶘	鹕	woo4
弧	弧	woo4
胡	胡	woo4
壺	壶	woo4
滬	沪	woo6
扈	扈	woo6
護	护	woo6
祜	祜	woo6
怙	怙	woo6
互	互	woo6
芋	芋	woo6
戶	户	woo6
瓠	瓠	woo6/woo4
偎	偎	wooi1
回	回	wooi4
徊	徊	wooi4
洄	洄	wooi4
迴	回	wooi4
蛔	蛔	wooi4
會	会	wooi5
燴	烩	wooi6
會	会	wooi6
匯	汇	wooi6
彙	汇	wooi6/wai6
會	会	wooi6/wooi2
剜	剜	woon1
碗	碗	woon2
腕	腕	woon2
莞	莞	woon2
豌	豌	woon2/woon1
玩	玩	woon2/woon6
惋	惋	woon2/yuen2
垣	垣	woon4
桓	桓	woon4
援	援	woon4/yuen4
浣	浣	woon5
皖	皖	woon5
換	换	woon6
喚	唤	woon6
瘓	痪	woon6
緩	缓	woon6
玩	玩	woon6
煥	焕	woon6
奐	奂	woon6
活	活	woot6
也	也	ya5
跩	跩	yai6
曳	曳	yai6
音	音	yam1
陰	阴	yam1
歆	歆	yam1
鑫	鑫	yam1
欽	钦	yam1
飲	饮	yam2
蔭	荫	yam3
窨	窨	yam3
壬	壬	yam4
霪	霪	yam4
淫	淫	yam4
吟	吟	yam4
任	任	yam4
荏	荏	yam5/yam6
衽	衽	yam6
飪	饪	yam6
任	任	yam6
任	任	yam6
賃	赁	yam6
妊	妊	yam6
氤	氤	yan1
恩	恩	yan1
因	因	yan1
茵	茵	yan1
堙	堙	yan1
姻	姻	yan1
忻	忻	yan1
昕	昕	yan1
欣	欣	yan1
殷	殷	yan1
甄	甄	yan1
忍	忍	yan2
癮	瘾	yan2
隱	隐	yan2
印	印	yan3
仁	仁	yan4
夤	夤	yan4
人	人	yan4
寅	寅	yan4
引	引	yan5
蚓	蚓	yan5
釁	衅	yan6
孕	孕	yan6
刃	刃	yan6
紉	纫	yan6
胤	胤	yan6
韌	韧	yan6/ngang6
悒	悒	yap1
熠	熠	yap1
泣	泣	yap1
翕	翕	yap1
挹	挹	yap1
揖	揖	yap1
邑	邑	yap1
入	入	yap6
壹	壹	yat1
一	一	yat1
逸	逸	yat6
軼	轶	yat6
日	日	yat6
溢	溢	yat6
髹	髹	yau1
丘	丘	yau1
幽	幽	yau1
憂	忧	yau1
邱	邱	yau1
優	优	yau1
蚯	蚯	yau1
貅	貅	yau1
鵂	鸺	yau1
咻	咻	yau1
休	休	yau1
黝	黝	yau2
柚	柚	yau2
幼	幼	yau3
遊	游	yau4
郵	邮	yau4
柔	柔	yau4
攸	攸	yau4
油	油	yau4
揉	揉	yau4
蚰	蚰	yau4
鈾	铀	yau4
酋	酋	yau4
猶	犹	yau4
魷	鱿	yau4
悠	悠	yau4
由	由	yau4
尤	尤	yau4
蹂	蹂	yau4
游	游	yau4
疣	疣	yau4
酉	酉	yau5
友	友	yau5
誘	诱	yau5
有	有	yau5
囿	囿	yau6
又	又	yau6
釉	釉	yau6
宥	宥	yau6
侑	侑	yau6
佑	佑	yau6
右	右	yau6
鼬	鼬	yau6
狖	狖	yau6
椰	椰	ye4
邪	邪	ye4
揶	揶	ye4
爺	爷	ye4
耶	耶	ye4
惹	惹	ye5
野	野	ye5
冶	冶	ye5
夜	夜	ye6
偌	偌	ye6
贏	赢	yeng4
約	约	yeuk3
籥	籥	yeuk6
龠	龠	yeuk6
弱	弱	yeuk6
蒻	蒻	yeuk6
瘧	疟	yeuk6
躍	跃	yeuk6
鑰	钥	yeuk6
藥	药	yeuk6
謔	谑	yeuk6
虐	虐	yeuk6
若	若	yeuk6
秧	秧	yeung1
鴦	鸯	yeung1
殃	殃	yeung1
央	央	yeung1
鞅	鞅	yeung2
禳	禳	yeung4
蘘	蘘	yeung4
颺	飏	yeung4
瘍	疡	yeung4
烊	烊	yeung4
楊	杨	yeung4
徉	徉	yeung4
瀼	瀼	yeung4
洋	洋	yeung4
暘	旸	yeung4
佯	佯	yeung4
揚	扬	yeung4
陽	阳	yeung4
羊	羊	yeung4
穰	穰	yeung4
攘	攘	yeung5
仰	仰	yeung5
癢	痒	yeung5
氧	氧	yeung5
養	养	yeung5
嚷	嚷	yeung5/yeung6
漾	漾	yeung6
恙	恙	yeung6
釀	酿	yeung6
壤	壤	yeung6
樣	样	yeung6
讓	让	yeung6
伊	伊	yi1
醫	医	yi1
黟	黟	yi1
猗	猗	yi1
漪	漪	yi1
禕	祎	yi1
禕	祎	yi1
銥	铱	yi1
依	依	yi1
衣	衣	yi1
椅	椅	yi2
旖	旖	yi2
齮	齮	yi2
倚	倚	yi2
綺	绮	yi2
薏	薏	yi3
意	意	yi3
懿	懿	yi3
鐿	镱	yi3
癔	癔	yi3
飴	饴	yi4
胰	胰	yi4
蛇	蛇	yi4
眙	眙	yi4
移	移	yi4
沂	沂	yi4
彞	彝	yi4
咦	咦	yi4
詒	诒	yi4
怡	怡	yi4
而	而	yi4
誼	谊	yi4
