開放粵語字典（黃錫凌數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［黃錫凌拼音］
奄	奄	jim1
懨	恹	jim1
閹	阉	jim1
醃	腌	jim1/jip8
魘	魇	jim2
掩	掩	jim2
厭	厌	jim3
饜	餍	jim3
閻	阎	jim4
鹽	盐	jim4
炎	炎	jim4
閆	闫	jim4
髯	髯	jim4
嚴	严	jim4
嫌	嫌	jim4
蚺	蚺	jim4
簷	檐	jim4/sim4
苒	苒	jim5
冉	冉	jim5
儼	俨	jim5
染	染	jim5
驗	验	jim6
艷	艳	jim6
焰	焰	jim6
湮	湮	jin1
菸	烟	jin1
咽	咽	jin1
閼	阏	jin1
胭	胭	jin1
蔫	蔫	jin1
煙	烟	jin1
燕	燕	jin1
嫣	嫣	jin1
鄢	鄢	jin1
焉	焉	jin1
偃	偃	jin2
演	演	jin2
鼴	鼹	jin2
堰	堰	jin2
兗	兖	jin2
衍	衍	jin2/hin2
宴	宴	jin3
燕	燕	jin3
嚥	咽	jin3
燃	燃	jin4
延	延	jin4
筵	筵	jin4
妍	妍	jin4
蜒	蜒	jin4
焉	焉	jin4
言	言	jin4
弦	弦	jin4
研	研	jin4
賢	贤	jin4
然	然	jin4
舷	舷	jin4
涎	涎	jin4
莧	苋	jin6
硯	砚	jin6
現	现	jin6
彥	彦	jin6
讞	谳	jin6
諺	谚	jin6
唁	唁	jin6
靨	靥	jip8
葉	叶	jip9
燁	烨	jip9
業	业	jip9
頁	页	jip9
咽	咽	jit8
噎	噎	jit8
謁	谒	jit8
熱	热	jit9
拽	拽	jit9
孽	孽	jit9
臬	臬	jit9/nip9
妖	妖	jiu1
么	幺	jiu1
邀	邀	jiu1
吆	吆	jiu1
夭	夭	jiu1
要	要	jiu1
腰	腰	jiu1
夭	夭	jiu2
擾	扰	jiu2
窈	窈	jiu2
繞	绕	jiu2/jiu5
要	要	jiu3
窯	窑	jiu4
饒	饶	jiu4
鰩	鳐	jiu4
謠	谣	jiu4
姚	姚	jiu4
颻	飖	jiu4
嬈	娆	jiu4
搖	摇	jiu4
徭	徭	jiu4
堯	尧	jiu4
遙	遥	jiu4
洮	洮	jiu4
瑤	瑶	jiu4
舀	舀	jiu5
耀	耀	jiu6
曜	曜	jiu6
鷂	鹞	jiu6
迂	迂	jy1
於	于	jy1
淤	淤	jy1
瘀	瘀	jy2
嫗	妪	jy2
傴	伛	jy2
酗	酗	jy3/hœy2/hœy3
余	余	jy4
臾	臾	jy4
歟	欤	jy4
濡	濡	jy4
愚	愚	jy4
妤	妤	jy4
愉	愉	jy4
瑜	瑜	jy4
踰	逾	jy4
禺	禺	jy4
餘	余	jy4
榆	榆	jy4
蝓	蝓	jy4
于	于	jy4
逾	逾	jy4
蠕	蠕	jy4
渝	渝	jy4
輿	舆	jy4
揄	揄	jy4
如	如	jy4
俞	俞	jy4
虞	虞	jy4
萸	萸	jy4
隅	隅	jy4
予	予	jy4
覦	觎	jy4
儒	儒	jy4
諛	谀	jy4
茹	茹	jy4
狳	狳	jy4
嚅	嚅	jy4
娛	娱	jy4
漁	渔	jy4
盂	盂	jy4
魚	鱼	jy4
竽	竽	jy4
孺	孺	jy4/jy6
予	予	jy5
宇	宇	jy5
與	与	jy5
乳	乳	jy5
貐	貐	jy5
敔	敔	jy5
汝	汝	jy5
羽	羽	jy5
瑀	瑀	jy5
圄	圄	jy5
雨	雨	jy5
禹	禹	jy5
語	语	jy5
齬	龉	jy5
與	与	jy6
譽	誉	jy6
蕷	蓣	jy6
遇	遇	jy6
豫	豫	jy6
預	预	jy6
癒	愈	jy6
馭	驭	jy6
愈	愈	jy6
御	御	jy6
裕	裕	jy6
寓	寓	jy6
諭	谕	jy6
籲	吁	jy6
語	语	jy6
禦	御	jy6
喻	喻	jy6
蜿	蜿	jyn1
鴛	鸳	jyn1
淵	渊	jyn1
冤	冤	jyn1
鳶	鸢	jyn1
宛	宛	jyn2
菀	菀	jyn2
苑	苑	jyn2
琬	琬	jyn2
婉	婉	jyn2
怨	怨	jyn3
緣	缘	jyn4
眩	眩	jyn4
轅	辕	jyn4
圓	圆	jyn4
猿	猿	jyn4
元	元	jyn4
員	员	jyn4
玄	玄	jyn4
芫	芫	jyn4
源	源	jyn4
園	园	jyn4
鉛	铅	jyn4
烷	烷	jyn4
沿	沿	jyn4
懸	悬	jyn4
袁	袁	jyn4
紈	纨	jyn4
沅	沅	jyn4
完	完	jyn4
原	原	jyn4
丸	丸	jyn4/jyn2
阮	阮	jyn5
軟	软	jyn5
遠	远	jyn5
願	愿	jyn6
院	院	jyn6
媛	媛	jyn6
縣	县	jyn6
炫	炫	jyn6/jyn4
遠	远	jyn6/jyn5
閱	阅	jyt9
鉞	钺	jyt9
穴	穴	jyt9
越	越	jyt9
曰	曰	jyt9
月	月	jyt9
粵	粤	jyt9
悅	悦	jyt9
釔	钇	jyt9
乙	乙	jyt9/jyt8
約	约	jœk8
鑰	钥	jœk9
龠	龠	jœk9
籥	籥	jœk9
謔	谑	jœk9
弱	弱	jœk9
瘧	疟	jœk9
若	若	jœk9
虐	虐	jœk9
蒻	蒻	jœk9
躍	跃	jœk9
藥	药	jœk9
潤	润	jœn6
閏	闰	jœn6
蕤	蕤	jœy4
蕊	蕊	jœy5
睿	睿	jœy6
芮	芮	jœy6
裔	裔	jœy6
銳	锐	jœy6
秧	秧	jœŋ1
央	央	jœŋ1
殃	殃	jœŋ1
鴦	鸯	jœŋ1
鞅	鞅	jœŋ2
烊	烊	jœŋ4
佯	佯	jœŋ4
陽	阳	jœŋ4
羊	羊	jœŋ4
洋	洋	jœŋ4
瘍	疡	jœŋ4
暘	旸	jœŋ4
楊	杨	jœŋ4
徉	徉	jœŋ4
瀼	瀼	jœŋ4
禳	禳	jœŋ4
穰	穰	jœŋ4
蘘	蘘	jœŋ4
颺	飏	jœŋ4
揚	扬	jœŋ4
攘	攘	jœŋ5
仰	仰	jœŋ5
癢	痒	jœŋ5
氧	氧	jœŋ5
養	养	jœŋ5
嚷	嚷	jœŋ5/jœŋ6
讓	让	jœŋ6
樣	样	jœŋ6
漾	漾	jœŋ6
壤	壤	jœŋ6
恙	恙	jœŋ6
釀	酿	jœŋ6
跩	跩	jɐi6
曳	曳	jɐi6
音	音	jɐm1
陰	阴	jɐm1
鑫	鑫	jɐm1
歆	歆	jɐm1
欽	钦	jɐm1
飲	饮	jɐm2
蔭	荫	jɐm3
窨	窨	jɐm3
吟	吟	jɐm4
任	任	jɐm4
霪	霪	jɐm4
壬	壬	jɐm4
淫	淫	jɐm4
荏	荏	jɐm5/jɐm6
飪	饪	jɐm6
妊	妊	jɐm6
衽	衽	jɐm6
任	任	jɐm6
任	任	jɐm6
賃	赁	jɐm6
堙	堙	jɐn1
氤	氤	jɐn1
茵	茵	jɐn1
因	因	jɐn1
姻	姻	jɐn1
甄	甄	jɐn1
昕	昕	jɐn1
恩	恩	jɐn1
殷	殷	jɐn1
忻	忻	jɐn1
欣	欣	jɐn1
癮	瘾	jɐn2
隱	隐	jɐn2
忍	忍	jɐn2
印	印	jɐn3
仁	仁	jɐn4
人	人	jɐn4
夤	夤	jɐn4
寅	寅	jɐn4
蚓	蚓	jɐn5
引	引	jɐn5
釁	衅	jɐn6
紉	纫	jɐn6
孕	孕	jɐn6
胤	胤	jɐn6
刃	刃	jɐn6
韌	韧	jɐn6/ŋɐŋ6
悒	悒	jɐp7
泣	泣	jɐp7
翕	翕	jɐp7
挹	挹	jɐp7
邑	邑	jɐp7
揖	揖	jɐp7
熠	熠	jɐp7
入	入	jɐp9
一	一	jɐt7
壹	壹	jɐt7
逸	逸	jɐt9
日	日	jɐt9
溢	溢	jɐt9
軼	轶	jɐt9
鵂	鸺	jɐu1
幽	幽	jɐu1
憂	忧	jɐu1
邱	邱	jɐu1
優	优	jɐu1
蚯	蚯	jɐu1
貅	貅	jɐu1
丘	丘	jɐu1
咻	咻	jɐu1
髹	髹	jɐu1
休	休	jɐu1
柚	柚	jɐu2
黝	黝	jɐu2
幼	幼	jɐu3
魷	鱿	jɐu4
疣	疣	jɐu4
郵	邮	jɐu4
柔	柔	jɐu4
攸	攸	jɐu4
油	油	jɐu4
揉	揉	jɐu4
遊	游	jɐu4
鈾	铀	jɐu4
酋	酋	jɐu4
猶	犹	jɐu4
尤	尤	jɐu4
由	由	jɐu4
蹂	蹂	jɐu4
悠	悠	jɐu4
游	游	jɐu4
蚰	蚰	jɐu4
酉	酉	jɐu5
友	友	jɐu5
誘	诱	jɐu5
有	有	jɐu5
鼬	鼬	jɐu6
釉	釉	jɐu6
又	又	jɐu6
囿	囿	jɐu6
宥	宥	jɐu6
右	右	jɐu6
狖	狖	jɐu6
佑	佑	jɐu6
侑	侑	jɐu6
唷	唷	jɔ1
喲	哟	jɔ1
邪	邪	jɛ4
椰	椰	jɛ4
耶	耶	jɛ4
揶	揶	jɛ4
爺	爷	jɛ4
惹	惹	jɛ5
野	野	jɛ5
冶	冶	jɛ5
偌	偌	jɛ6
夜	夜	jɛ6
贏	赢	jɛŋ4
英	英	jɪŋ1
櫻	樱	jɪŋ1
鷹	鹰	jɪŋ1
瑛	瑛	jɪŋ1
鸚	鹦	jɪŋ1
膺	膺	jɪŋ1
嬰	婴	jɪŋ1
纓	缨	jɪŋ1
應	应	jɪŋ1
映	映	jɪŋ2
影	影	jɪŋ2
應	应	jɪŋ3
鎣	蓥	jɪŋ4
營	营	jɪŋ4
瀠	潆	jɪŋ4
形	形	jɪŋ4
刑	刑	jɪŋ4
蠅	蝇	jɪŋ4
仍	仍	jɪŋ4
嬴	嬴	jɪŋ4
瀛	瀛	jɪŋ4
縈	萦	jɪŋ4
螢	萤	jɪŋ4
邢	邢	jɪŋ4
贏	赢	jɪŋ4
楹	楹	jɪŋ4
迎	迎	jɪŋ4
盈	盈	jɪŋ4
滎	荥	jɪŋ4
凝	凝	jɪŋ4
型	型	jɪŋ4
熒	荧	jɪŋ4
陘	陉	jɪŋ4
瑩	莹	jɪŋ4
瀅	滢	jɪŋ4/jɪŋ6
郢	郢	jɪŋ5
認	认	jɪŋ6
沃	沃	jʊk7
煜	煜	jʊk7
毓	毓	jʊk7
彧	彧	jʊk7
郁	郁	jʊk7
頊	顼	jʊk7
旭	旭	jʊk7
昱	昱	jʊk7
獄	狱	jʊk9
育	育	jʊk9
辱	辱	jʊk9
浴	浴	jʊk9
肉	肉	jʊk9
褥	褥	jʊk9
蓐	蓐	jʊk9
欲	欲	jʊk9
玉	玉	jʊk9
慾	欲	jʊk9
鬻	鬻	jʊk9
鈺	钰	jʊk9
縟	缛	jʊk9
峪	峪	jʊk9/jy6
雍	雍	jʊŋ1
廱	廱	jʊŋ1
邕	邕	jʊŋ1
翁	翁	jʊŋ1
饔	饔	jʊŋ1
嗡	嗡	jʊŋ1
佣	佣	jʊŋ2
踴	踊	jʊŋ2
俑	俑	jʊŋ2
湧	涌	jʊŋ2
冗	冗	jʊŋ2
擁	拥	jʊŋ2
慂	恿	jʊŋ2
蛹	蛹	jʊŋ2
臃	臃	jʊŋ2
茸	茸	jʊŋ4
戎	戎	jʊŋ4
鱅	鳙	jʊŋ4
慵	慵	jʊŋ4
庸	庸	jʊŋ4
傭	佣	jʊŋ4
蓉	蓉	jʊŋ4
榕	榕	jʊŋ4
融	融	jʊŋ4
鏞	镛	jʊŋ4
溶	溶	jʊŋ4
容	容	jʊŋ4
熔	熔	jʊŋ4
絨	绒	jʊŋ4/jʊŋ2
勇	勇	jʊŋ5
用	用	jʊŋ6
喀	喀	ka1
卡	卡	ka1
卡	卡	ka2
髂	髂	ka3
蒈	蒈	kai2
楷	楷	kai2
鍇	锴	kai2/gai1
咯	咯	kak8
揢	揢	kak8
銬	铐	kau3
靠	靠	kau3
蹊	蹊	kei1
崎	崎	kei1
驥	骥	kei3
暨	暨	kei3
冀	冀	kei3
琪	琪	kei4
萁	萁	kei4
其	其	kei4
祈	祈	kei4
淇	淇	kei4
歧	歧	kei4
蘄	蕲	kei4
旂	旂	kei4
麒	麒	kei4
棋	棋	kei4
岐	岐	kei4
奇	奇	kei4
旗	旗	kei4
鰭	鳍	kei4
耆	耆	kei4
祁	祁	kei4
期	期	kei4
祺	祺	kei4
琦	琦	kei4
俟	俟	kei4
企	企	kei5
黔	黔	kim4
鉗	钳	kim4
虔	虔	kin4
掮	掮	kin4
乾	乾	kin4
犍	犍	kin4
黠	黠	kit8
孑	孑	kit8
竭	竭	kit8
揭	揭	kit8
詰	诘	kit8
羯	羯	kit8
鍥	锲	kit8
頡	颉	kit8
擷	撷	kit8/git8
蹺	跷	kiu1/hiu1
翹	翘	kiu3/hiu3
橋	桥	kiu4
蕎	荞	kiu4
喬	乔	kiu4
翹	翘	kiu4
僑	侨	kiu4
蹺	跷	kiu5
箍	箍	ku1
鱠	鲙	kui2
鄶	郐	kui2
澮	浍	kui2
檜	桧	kui2
膾	脍	kui2
聵	聩	kui2
儈	侩	kui2
劊	刽	kui2
賄	贿	kui2
潰	溃	kui2
獪	狯	kui2
繪	绘	kui2
會	会	kui2/wui6
蛞	蛞	kut8
括	括	kut8
聒	聒	kut8
豁	豁	kut8
誇	夸	kwa1
夸	夸	kwa1
垮	垮	kwa1
侉	侉	kwa2
挎	挎	kwa3
跨	跨	kwa3
胯	胯	kwa3
框	框	kwaŋ1/hɔŋ1
逛	逛	kwaŋ3
盔	盔	kwɐi1
規	规	kwɐi1
虧	亏	kwɐi1
巋	岿	kwɐi1
窺	窥	kwɐi1
暌	暌	kwɐi4
喹	喹	kwɐi4
馗	馗	kwɐi4
攜	携	kwɐi4
畦	畦	kwɐi4
睽	睽	kwɐi4
葵	葵	kwɐi4
夔	夔	kwɐi4
揆	揆	kwɐi4/kwɐi5
愧	愧	kwɐi5
坤	坤	kwɐn1
昆	昆	kwɐn1
崑	昆	kwɐn1
髡	髡	kwɐn1
焜	焜	kwɐn1/wɐn6
捆	捆	kwɐn2
菌	菌	kwɐn2
困	困	kwɐn3
窘	窘	kwɐn3
睏	困	kwɐn3
裙	裙	kwɐn4
群	群	kwɐn4
擴	扩	kwɔk8
曠	旷	kwɔŋ3
鄺	邝	kwɔŋ3/kɔŋ3
礦	矿	kwɔŋ3/kɔŋ3
狂	狂	kwɔŋ4
蜷	蜷	kyn4
拳	拳	kyn4
顴	颧	kyn4
鬈	鬈	kyn4
權	权	kyn4
闕	阙	kyt8
孓	孓	kyt8
撅	撅	kyt8
蕨	蕨	kyt8
獗	獗	kyt8
缺	缺	kyt8
抉	抉	kyt8
訣	诀	kyt8
蹶	蹶	kyt8
厥	厥	kyt8
決	决	kyt8
橛	橛	kyt8/gyt9
卻	却	kœk8
噱	噱	kœk9
驅	驱	kœy1
嶇	岖	kœy1
區	区	kœy1
俱	俱	kœy1
祛	祛	kœy1
駒	驹	kœy1
拘	拘	kœy1
軀	躯	kœy1
璩	璩	kœy4
渠	渠	kœy4
瞿	瞿	kœy4
朐	朐	kœy4
衢	衢	kœy4
蠼	蠼	kœy4
距	距	kœy5
拒	拒	kœy5
強	强	kœŋ4
強	强	kœŋ5
羥	羟	kœŋ5
溪	溪	kɐi1
蹊	蹊	kɐi1
稽	稽	kɐi1
嵇	嵇	kɐi1/hɐi4
啟	启	kɐi2
契	契	kɐi3
襟	襟	kɐm1
琴	琴	kɐm4
噙	噙	kɐm4
禽	禽	kɐm4
擒	擒	kɐm4
妗	妗	kɐm5
勤	勤	kɐn4
芹	芹	kɐn4
近	近	kɐn5
給	给	kɐp7
岌	岌	kɐp7
吸	吸	kɐp7
歙	歙	kɐp7
級	级	kɐp7
笈	笈	kɐp7
汲	汲	kɐp7
及	及	kɐp9
芨	芨	kɐp9/gɐp7
咳	咳	kɐt7
卡	卡	kɐt7
摳	抠	kɐu1
溝	沟	kɐu1/gɐu1
篝	篝	kɐu1/gɐu1
釦	扣	kɐu3
叩	叩	kɐu3
扣	扣	kɐu3
寇	寇	kɐu3
蔻	蔻	kɐu3
媾	媾	kɐu3/gɐu3
構	构	kɐu3/gɐu3
購	购	kɐu3/gɐu3
求	求	kɐu4
犰	犰	kɐu4
毬	毬	kɐu4
球	球	kɐu4
逑	逑	kɐu4
仇	仇	kɐu4
虯	虬	kɐu4
裘	裘	kɐu4
臼	臼	kɐu5/kɐu3
舅	舅	kɐu5/kɐu3
溉	溉	kɔi3
丐	丐	kɔi3
愾	忾	kɔi3
概	概	kɔi3
蓋	盖	kɔi3
慨	慨	kɔi3
鈣	钙	kɔi3
欬	欬	kɔi3
慤	悫	kɔk8
涸	涸	kɔk8
壑	壑	kɔk8
恪	恪	kɔk8
郝	郝	kɔk8
確	确	kɔk8
榷	榷	kɔk8
扛	扛	kɔŋ1
閌	闶	kɔŋ3
炕	炕	kɔŋ3
擴	扩	kɔŋ3
抗	抗	kɔŋ3
亢	亢	kɔŋ3
伉	伉	kɔŋ3
茄	茄	kɛ2
瘸	瘸	kɛ4
騎	骑	kɛ4
屐	屐	kɛk9
劇	剧	kɛk9
傾	倾	kɪŋ1
頃	顷	kɪŋ2
擎	擎	kɪŋ4
黥	黥	kɪŋ4
鯨	鲸	kɪŋ4
瓊	琼	kɪŋ4
麴	曲	kʊk7
曲	曲	kʊk7
窮	穷	kʊŋ4
邛	邛	kʊŋ4
穹	穹	kʊŋ4
拉	拉	la1
啦	啦	la1
喇	喇	la1
喇	喇	la3
拉	拉	lai1
癩	癞	lai3
籟	籁	lai6
賴	赖	lai6
落	落	lai6
藍	蓝	lam4
婪	婪	lam4
嵐	岚	lam4
籃	篮	lam4
襤	褴	lam4
覽	览	lam5
攬	揽	lam5
欖	榄	lam5
濫	滥	lam6
纜	缆	lam6
艦	舰	lam6
攔	拦	lan4
瀾	澜	lan4
蘭	兰	lan4
襴	襕	lan4
斕	斓	lan4
欄	栏	lan4
闌	阑	lan4
懶	懒	lan5
爛	烂	lan6
臘	腊	lap9
垃	垃	lap9
立	立	lap9
砬	砬	lap9
蠟	蜡	lap9
邋	邋	lap9/lat9
辣	辣	lat9
拉	拉	lat9
冷	冷	laŋ5
璃	璃	lei1
喱	喱	lei1
狸	狸	lei4
蜊	蜊	lei4
梨	梨	lei4
鱺	鲡	lei4
籬	篱	lei4
罹	罹	lei4
璃	璃	lei4
縭	缡	lei4
漓	漓	lei4
離	离	lei4
釐	厘	lei4
履	履	lei5
李	李	lei5
俚	俚	lei5
里	里	lei5
鯉	鲤	lei5
理	理	lei5
鋰	锂	lei5
娌	娌	lei5
邐	逦	lei5
哩	哩	lei5/jɪŋ1/lei5
蒞	莅	lei6
猁	猁	lei6
利	利	lei6
俐	俐	lei6
吏	吏	lei6
莉	莉	lei6
痢	痢	lei6
哩	哩	li1
櫪	枥	lik7
靂	雳	lik7
礫	砾	lik7
瀝	沥	lik7/lik9
曆	历	lik9
力	力	lik9
歷	历	lik9
令	令	lim1
帘	帘	lim4
鐮	镰	lim4
廉	廉	lim4
簾	帘	lim4
臉	脸	lim5
殮	殓	lim5
襝	裣	lim6
斂	敛	lim6
蓮	莲	lin4
鏈	链	lin4
憐	怜	lin4
漣	涟	lin4
連	连	lin4
攆	撵	lin5
輦	辇	lin5
煉	炼	lin6
練	练	lin6
獵	猎	lip9
鬣	鬣	lip9
裂	裂	lit9
烈	烈	lit9
列	列	lit9
捩	捩	lit9
冽	冽	lit9
撩	撩	liu1
溜	溜	liu1
撂	撂	liu1
獠	獠	liu4
寮	寮	liu4
瞭	瞭	liu4
燎	燎	liu4
撩	撩	liu4
療	疗	liu4
聊	聊	liu4
寥	寥	liu4
繚	缭	liu4
遼	辽	liu4
鐐	镣	liu4
僚	僚	liu4
嘹	嘹	liu4
了	了	liu5
瞭	了	liu5
潦	潦	liu5/liu2
料	料	liu6
廖	廖	liu6
尥	尥	liu6
撈	捞	lou1
嚕	噜	lou1
佬	佬	lou2
瀘	泸	lou4
臚	胪	lou4
癆	痨	lou4
顱	颅	lou4
盧	卢	lou4
爐	炉	lou4
蘆	芦	lou4
鱸	鲈	lou4
嘮	唠	lou4
轤	轳	lou4
廬	庐	lou4
醪	醪	lou4
牢	牢	lou4
勞	劳	lou4
鹵	卤	lou5
老	老	lou5
姥	姥	lou5
擄	掳	lou5
櫓	橹	lou5
滷	卤	lou5
魯	鲁	lou5
虜	虏	lou5
路	路	lou6
鷺	鹭	lou6
澇	涝	lou6
嫪	嫪	lou6
璐	璐	lou6
露	露	lou6
賂	赂	lou6
輅	辂	lou6
潞	潞	lou6
勞	劳	lou6
戀	恋	lyn2
臠	脔	lyn2/lyn4
攣	挛	lyn4
鸞	鸾	lyn4
巒	峦	lyn4
孿	孪	lyn4
灤	滦	lyn4
欒	栾	lyn4
聯	联	lyn4
亂	乱	lyn6
捋	捋	lyt8
劣	劣	lyt8/lyt9
略	略	lœk9
掠	掠	lœk9
卵	卵	lœn2
璘	璘	lœn4
輪	轮	lœn4
鄰	邻	lœn4
綸	纶	lœn4
淪	沦	lœn4
圇	囵	lœn4
麟	麟	lœn4
侖	仑	lœn4
掄	抡	lœn4
遴	遴	lœn4
倫	伦	lœn4
鱗	鳞	lœn4
嶙	嶙	lœn4
粼	粼	lœn4
論	论	lœn4
磷	磷	lœn4
崙	仑	lœn4
躪	躏	lœn6
吝	吝	lœn6
論	论	lœn6
藺	蔺	lœn6
溧	溧	lœt9
鷸	鹬	lœt9
慄	栗	lœt9
傈	傈	lœt9
律	律	lœt9
率	率	lœt9
栗	栗	lœt9
篥	篥	lœt9
驢	驴	lœy4
羸	羸	lœy4
纍	累	lœy4
縲	缧	lœy4
雷	雷	lœy4
鐳	镭	lœy4
閭	闾	lœy4
櫚	榈	lœy4
嫘	嫘	lœy4
擂	擂	lœy4
騾	骡	lœy4/lɔ4
侶	侣	lœy5
鋁	铝	lœy5
縷	缕	lœy5
磊	磊	lœy5
膂	膂	lœy5
褸	褛	lœy5
旅	旅	lœy5
壘	垒	lœy5
呂	吕	lœy5
屢	屡	lœy5
累	累	lœy5
儡	儡	lœy5
裡	里	lœy5
蕾	蕾	lœy5/lœy4
類	类	lœy6
濾	滤	lœy6
累	累	lœy6
戾	戾	lœy6
慮	虑	lœy6
漯	漯	lœy6
淚	泪	lœy6
兩	两	lœŋ2
良	良	lœŋ4
粱	粱	lœŋ4
梁	梁	lœŋ4
莨	莨	lœŋ4
涼	凉	lœŋ4
量	量	lœŋ4
糧	粮	lœŋ4
倆	俩	lœŋ5
兩	两	lœŋ5
魎	魉	lœŋ5
踉	踉	lœŋ6
諒	谅	lœŋ6
輛	辆	lœŋ6
亮	亮	lœŋ6
量	量	lœŋ6
藜	藜	lɐi4
犂	犂	lɐi4
黎	黎	lɐi4
犁	犁	lɐi4
蠡	蠡	lɐi4/lɐi5
澧	澧	lɐi5
禮	礼	lɐi5
醴	醴	lɐi5
鱧	鳢	lɐi5
礪	砺	lɐi6
儷	俪	lɐi6
荔	荔	lɐi6
勵	励	lɐi6
例	例	lɐi6
厲	厉	lɐi6
蠣	蛎	lɐi6
麗	丽	lɐi6
鰳	鳓	lɐk9/lak9
肋	肋	lɐk9/lak9
勒	勒	lɐk9/lak9
霖	霖	lɐm4
臨	临	lɐm4
啉	啉	lɐm4
淋	淋	lɐm4
林	林	lɐm4
琳	琳	lɐm4
凜	凛	lɐm5
懍	懔	lɐm5
笠	笠	lɐp7
甩	甩	lɐt7
嘍	喽	lɐu1
摟	搂	lɐu2
琉	琉	lɐu4
榴	榴	lɐu4
婁	娄	lɐu4
流	流	lɐu4
瀏	浏	lɐu4
騮	骝	lɐu4
留	留	lɐu4
瘤	瘤	lɐu4
髏	髅	lɐu4
僂	偻	lɐu4
撈	捞	lɐu4
樓	楼	lɐu4
螻	螻	lɐu4
劉	刘	lɐu4
硫	硫	lɐu4
簍	篓	lɐu5
柳	柳	lɐu5
漏	漏	lɐu6
陋	陋	lɐu6
蹓	蹓	lɐu6
鏤	镂	lɐu6
餾	馏	lɐu6
遛	遛	lɐu6
溜	溜	lɐu6
咯	咯	lɔ1
囉	囉	lɔ1
旯	旯	lɔ1/lɔk8
裸	裸	lɔ2
邏	逻	lɔ4
羅	罗	lɔ4
鑼	锣	lɔ4
籮	箩	lɔ4
蘿	萝	lɔ4
玀	猡	lɔ4
螺	螺	lɔ4/lɔ2
崍	崃	lɔi4
徠	徕	lɔi4
淶	涞	lɔi4
萊	莱	lɔi4
來	来	lɔi4
賚	赉	lɔi6
睞	睐	lɔi6
耒	耒	lɔi6/lœy6
鉻	铬	lɔk8
珞	珞	lɔk8
烙	烙	lɔk8
絡	络	lɔk8
酪	酪	lɔk8
餎	饹	lɔk8
駱	骆	lɔk8/lɔk9
洛	洛	lɔk8/lɔk9
樂	乐	lɔk9
落	落	lɔk9
啷	啷	lɔŋ1
郎	郎	lɔŋ2
莨	莨	lɔŋ4
鋃	锒	lɔŋ4
螂	螂	lɔŋ4
廊	廊	lɔŋ4
郎	郎	lɔŋ4
瑯	琅	lɔŋ4
榔	榔	lɔŋ4
狼	狼	lɔŋ4
朗	朗	lɔŋ5
浪	浪	lɔŋ6
晾	晾	lɔŋ6
蒗	蒗	lɔŋ6
閬	阆	lɔŋ6/lɔŋ4
咧	咧	lɛ1
哩	哩	lɛ1
咧	咧	lɛ2
靚	靓	lɛŋ3
齡	龄	lɪŋ4
聆	聆	lɪŋ4
靈	灵	lɪŋ4
鯪	鲮	lɪŋ4
玲	玲	lɪŋ4
陵	陵	lɪŋ4
囹	囹	lɪŋ4
凌	凌	lɪŋ4
令	令	lɪŋ4
綾	绫	lɪŋ4
稜	棱	lɪŋ4
羚	羚	lɪŋ4
苓	苓	lɪŋ4
呤	呤	lɪŋ4
蛉	蛉	lɪŋ4
翎	翎	lɪŋ4
菱	菱	lɪŋ4
零	零	lɪŋ4
鈴	铃	lɪŋ4
伶	伶	lɪŋ4
櫺	櫺	lɪŋ4
領	领	lɪŋ5/lɛŋ5
嶺	岭	lɪŋ5/lɛŋ5
愣	愣	lɪŋ6
令	令	lɪŋ6
另	另	lɪŋ6
轆	辘	lʊk7
麓	麓	lʊk7
碌	碌	lʊk7
碌	碌	lʊk9
祿	禄	lʊk9
六	六	lʊk9
陸	陆	lʊk9
錄	录	lʊk9
綠	绿	lʊk9
鹿	鹿	lʊk9
漉	漉	lʊk9
氯	氯	lʊk9
戮	戮	lʊk9
矓	眬	lʊŋ4
籠	笼	lʊŋ4
龍	龙	lʊŋ4
朧	胧	lʊŋ4
隆	隆	lʊŋ4
曨	昽	lʊŋ4
蘢	茏	lʊŋ4
聾	聋	lʊŋ4
嚨	咙	lʊŋ4
窿	窿	lʊŋ4
瓏	珑	lʊŋ4
籠	笼	lʊŋ5
攏	拢	lʊŋ5
壟	垄	lʊŋ5
隴	陇	lʊŋ5
弄	弄	lʊŋ6
媽	妈	ma1
嬤	嬷	ma1
嗎	吗	ma1/ma3
嘛	嘛	ma3
麻	麻	ma4
蟆	蟆	ma4
痲	麻	ma4
馬	马	ma5
獁	犸	ma5
碼	码	ma5
螞	蚂	ma5
瑪	玛	ma5
罵	骂	ma6
埋	埋	mai4
霾	霾	mai4/mɐi4
買	买	mai5
蕒	荬	mai5
賣	卖	mai6
邁	迈	mai6
擘	擘	mak8
謾	谩	man4
鰻	鳗	man4
蠻	蛮	man4
蔓	蔓	man4
饅	馒	man4
晚	晚	man5
熳	熳	man6
縵	缦	man6
墁	墁	man6
曼	曼	man6
萬	万	man6
漫	漫	man6
慢	慢	man6
謾	谩	man6
嫚	嫚	man6
鏝	镘	man6
蔓	蔓	man6
幔	幔	man6
貓	猫	mau1
矛	矛	mau4
茅	茅	mau4
鉚	铆	mau5
卯	卯	mau5
袤	袤	mau6
