開放粵語字典（黃錫凌數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［黃錫凌拼音］
鼒	鼒	dzi1
齜	龇	dzi1
秭	秭	dzi2
子	子	dzi2
止	止	dzi2
只	只	dzi2
指	指	dzi2
芷	芷	dzi2
旨	旨	dzi2
紫	紫	dzi2
址	址	dzi2
籽	籽	dzi2
滓	滓	dzi2
梓	梓	dzi2
咫	咫	dzi2
姊	姊	dzi2
仔	仔	dzi2
祉	祉	dzi2
酯	酯	dzi2
趾	趾	dzi2
紙	纸	dzi2
躓	踬	dzi3
致	致	dzi3
輊	轾	dzi3
至	至	dzi3
緻	致	dzi3
質	质	dzi3
痣	痣	dzi3
志	志	dzi3
置	置	dzi3
摯	挚	dzi3
智	智	dzi3
誌	志	dzi3
恣	恣	dzi3/tsi3
伺	伺	dzi6
祀	祀	dzi6
巳	巳	dzi6
雉	雉	dzi6
字	字	dzi6
耜	耜	dzi6
俟	俟	dzi6
治	治	dzi6
自	自	dzi6
稚	稚	dzi6
飼	饲	dzi6
嗣	嗣	dzi6
痔	痔	dzi6
豸	豸	dzi6/dzai6
寺	寺	dzi6/dzi2
峙	峙	dzi6/tsi5
稷	稷	dzik7
績	绩	dzik7
職	职	dzik7
即	即	dzik7
鯽	鲫	dzik7
跡	迹	dzik7
積	积	dzik7
織	织	dzik7
陟	陟	dzik7
漬	渍	dzik7/dzi3
瘠	瘠	dzik8
脊	脊	dzik8/dzɛk8
炙	炙	dzik8/dzɛk8
夕	夕	dzik9
殖	殖	dzik9
直	直	dzik9
藉	藉	dzik9
值	值	dzik9
席	席	dzik9
植	植	dzik9
汐	汐	dzik9
籍	籍	dzik9
寂	寂	dzik9
矽	矽	dzik9
借	借	dzik9/dzɛ3
藉	借	dzik9/dzɛ3
蓆	蓆	dzik9/dzɛk9
瞻	瞻	dzim1
詹	詹	dzim1
占	占	dzim1
譫	谵	dzim1
尖	尖	dzim1
沾	沾	dzim1
霑	霑	dzim1
佔	占	dzim3
漸	渐	dzim6
箋	笺	dzin1
羶	膻	dzin1
氈	毡	dzin1
煎	煎	dzin1
輾	辗	dzin2
翦	翦	dzin2
剪	剪	dzin2
展	展	dzin2
碾	碾	dzin2
闡	阐	dzin2/tsin2
濺	溅	dzin3
顫	颤	dzin3
箭	箭	dzin3
戰	战	dzin3
薦	荐	dzin3
餞	饯	dzin3
賤	贱	dzin6
接	接	dzip8
楫	楫	dzip8
摺	折	dzip8
褶	褶	dzip8
輒	辄	dzip8
浹	浃	dzip8
囁	嗫	dzip8
唧	唧	dzit7
櫛	栉	dzit8
癤	疖	dzit8
浙	浙	dzit8
節	节	dzit8
蜇	蜇	dzit8
折	折	dzit8
婕	婕	dzit8
哲	哲	dzit8
截	截	dzit9
睫	睫	dzit9
捷	捷	dzit9
招	招	dziu1
蕉	蕉	dziu1
礁	礁	dziu1
椒	椒	dziu1
朝	朝	dziu1
焦	焦	dziu1
剿	剿	dziu2
沼	沼	dziu2
詔	诏	dziu3
照	照	dziu3
召	召	dziu6
趙	赵	dziu6
租	租	dzou1
遭	遭	dzou1
糟	糟	dzou1
棗	枣	dzou2
組	组	dzou2
藻	藻	dzou2
蚤	蚤	dzou2
早	早	dzou2
祖	祖	dzou2
澡	澡	dzou2
駔	驵	dzou2
灶	灶	dzou3
皂	皂	dzou6
造	造	dzou6
做	做	dzou6
慥	慥	dzou6/tsou3
諸	诸	dzy1
茱	茱	dzy1
誅	诛	dzy1
銖	铢	dzy1
朱	朱	dzy1
豬	猪	dzy1
侏	侏	dzy1
株	株	dzy1
蛛	蛛	dzy1
珠	珠	dzy1
主	主	dzy2
煮	煮	dzy2
注	注	dzy3
著	著	dzy3
著	著	dzy3
炷	炷	dzy3
駐	驻	dzy3
註	注	dzy3
蛀	蛀	dzy3
箸	箸	dzy6
住	住	dzy6
磚	砖	dzyn1
顓	颛	dzyn1
尊	尊	dzyn1
專	专	dzyn1
鱒	鳟	dzyn1/dzyn3
鐫	镌	dzyn1/dzœn3
轉	转	dzyn2
傳	传	dzyn2
纂	纂	dzyn2
轉	转	dzyn3
鑽	钻	dzyn3
鑽	钻	dzyn3/dzyn1
傳	传	dzyn6
掇	掇	dzyt8
咄	咄	dzyt8
拙	拙	dzyt8
輟	辍	dzyt8
茁	茁	dzyt8
啜	啜	dzyt8
絕	绝	dzyt9
著	着	dzœk8
鵲	鹊	dzœk8
嚼	嚼	dzœk8
斫	斫	dzœk8
爵	爵	dzœk8
雀	雀	dzœk8
酌	酌	dzœk8
灼	灼	dzœk8
桌	桌	dzœk8/tsœk8
勺	勺	dzœk8/tsœk8
著	著	dzœk9
著	着	dzœk9
榛	榛	dzœn1
津	津	dzœn1
臻	臻	dzœn1
諄	谆	dzœn1
樽	樽	dzœn1
遵	遵	dzœn1/dzyn1
儘	尽	dzœn2
准	准	dzœn2
準	准	dzœn2
隼	隼	dzœn2
駿	骏	dzœn3
晉	晋	dzœn3
進	进	dzœn3
竣	竣	dzœn3
峻	峻	dzœn3
俊	俊	dzœn3
縉	缙	dzœn3
盡	尽	dzœn6
燼	烬	dzœn6
怵	怵	dzœt7
卒	卒	dzœt7
黜	黜	dzœt7
追	追	dzœy1
狙	狙	dzœy1
錐	锥	dzœy1
椎	椎	dzœy1
蛆	蛆	dzœy1/tsœy1
嘴	嘴	dzœy2
沮	沮	dzœy2
齟	龃	dzœy2
咀	咀	dzœy2
惴	惴	dzœy3
醉	醉	dzœy3
贅	赘	dzœy3
最	最	dzœy3
聚	聚	dzœy6
墜	坠	dzœy6
嶼	屿	dzœy6
漵	溆	dzœy6
罪	罪	dzœy6
敘	叙	dzœy6
序	序	dzœy6
綴	缀	dzœy6/dzœy3
漿	浆	dzœŋ1
嫜	嫜	dzœŋ1
獐	獐	dzœŋ1
漳	漳	dzœŋ1
張	张	dzœŋ1
鄣	鄣	dzœŋ1
章	章	dzœŋ1
將	将	dzœŋ1
蟑	蟑	dzœŋ1
璋	璋	dzœŋ1
樟	樟	dzœŋ1
彰	彰	dzœŋ1
掌	掌	dzœŋ2
蔣	蒋	dzœŋ2
長	长	dzœŋ2
槳	桨	dzœŋ2
獎	奖	dzœŋ2
漲	涨	dzœŋ2/dzœŋ3
嶂	嶂	dzœŋ3
將	将	dzœŋ3
仗	仗	dzœŋ3
幛	幛	dzœŋ3
脹	胀	dzœŋ3
漲	涨	dzœŋ3
帳	帐	dzœŋ3
賬	账	dzœŋ3
障	障	dzœŋ3
瘴	瘴	dzœŋ3
醬	酱	dzœŋ3
橡	橡	dzœŋ6
象	象	dzœŋ6
丈	丈	dzœŋ6
像	像	dzœŋ6
杖	杖	dzœŋ6
仗	仗	dzœŋ6
匠	匠	dzœŋ6
劑	剂	dzɐi1
擠	挤	dzɐi1
齏	齑	dzɐi1
躋	跻	dzɐi1
濟	济	dzɐi2
仔	仔	dzɐi2
掣	掣	dzɐi3
祭	祭	dzɐi3
製	制	dzɐi3
霽	霁	dzɐi3
際	际	dzɐi3
制	制	dzɐi3
濟	济	dzɐi3
滯	滞	dzɐi6
則	则	dzɐk7
昃	昃	dzɐk7
仄	仄	dzɐk7
側	侧	dzɐk7
針	针	dzɐm1
箴	箴	dzɐm1
砧	砧	dzɐm1
簪	簪	dzɐm1
斟	斟	dzɐm1
枕	枕	dzɐm2
怎	怎	dzɐm2
枕	枕	dzɐm3
浸	浸	dzɐm3
朕	朕	dzɐm6
鴆	鸩	dzɐm6
真	真	dzɐn1
珍	珍	dzɐn1
胗	胗	dzɐn1
疹	疹	dzɐn2
軫	轸	dzɐn2/tsɐn2
圳	圳	dzɐn3
震	震	dzɐn3
鎮	镇	dzɐn3
振	振	dzɐn3
賑	赈	dzɐn3
陣	阵	dzɐn6
執	执	dzɐp7
汁	汁	dzɐp7
質	质	dzɐt7
姪	侄	dzɐt9
桎	桎	dzɐt9
蛭	蛭	dzɐt9
疾	疾	dzɐt9
嫉	嫉	dzɐt9
蟄	蛰	dzɐt9
窒	窒	dzɐt9
諏	诹	dzɐu1
陬	陬	dzɐu1
舟	舟	dzɐu1
周	周	dzɐu1
州	州	dzɐu1
揪	揪	dzɐu1
週	周	dzɐu1
洲	洲	dzɐu1
輈	辀	dzɐu1
鄒	邹	dzɐu1
謅	诌	dzɐu1
酒	酒	dzɐu2
走	走	dzɐu2
帚	帚	dzɐu2
肘	肘	dzɐu2
咒	咒	dzɐu3
奏	奏	dzɐu3
揍	揍	dzɐu3
晝	昼	dzɐu3
縐	绉	dzɐu3
皺	皱	dzɐu3
紂	纣	dzɐu6
岫	岫	dzɐu6
驟	骤	dzɐu6
宙	宙	dzɐu6
就	就	dzɐu6
袖	袖	dzɐu6
冑	冑	dzɐu6
鷲	鹫	dzɐu6
箏	筝	dzɐŋ1
憎	憎	dzɐŋ1
曾	曾	dzɐŋ1
僧	僧	dzɐŋ1
錚	铮	dzɐŋ1
增	增	dzɐŋ1
崢	峥	dzɐŋ1
掙	挣	dzɐŋ1/dzaŋ1
睜	睁	dzɐŋ1/dzaŋ1
爭	争	dzɐŋ1/dzaŋ1
猙	狰	dzɐŋ1/dzaŋ1
贈	赠	dzɐŋ6
阻	阻	dzɔ2
俎	俎	dzɔ2
左	左	dzɔ2
佐	佐	dzɔ3
詛	诅	dzɔ3/dzɔ2
坐	坐	dzɔ6
座	座	dzɔ6
唑	唑	dzɔ6
助	助	dzɔ6
栽	栽	dzɔi1
災	灾	dzɔi1
哉	哉	dzɔi1
崽	崽	dzɔi2
載	载	dzɔi2
宰	宰	dzɔi2
再	再	dzɔi3
載	载	dzɔi3
在	在	dzɔi6
作	作	dzɔk8
昨	昨	dzɔk8/dzɔk9
鑿	凿	dzɔk9
擢	擢	dzɔk9
裝	装	dzɔŋ1
髒	脏	dzɔŋ1
莊	庄	dzɔŋ1
贓	赃	dzɔŋ1
樁	桩	dzɔŋ1
妝	妆	dzɔŋ1
駔	驵	dzɔŋ2
葬	葬	dzɔŋ3
壯	壮	dzɔŋ3
戇	戆	dzɔŋ3/ŋɔŋ6
臟	脏	dzɔŋ6
撞	撞	dzɔŋ6
狀	状	dzɔŋ6
奘	奘	dzɔŋ6
藏	藏	dzɔŋ6
嗟	嗟	dzɛ1
遮	遮	dzɛ1
姐	姐	dzɛ2
者	者	dzɛ2
蔗	蔗	dzɛ3
柘	柘	dzɛ3
借	借	dzɛ3
這	这	dzɛ5/dzɛ3
謝	谢	dzɛ6
隻	只	dzɛk8
鄭	郑	dzɛŋ6/dzɪŋ6
征	征	dzɪŋ1
精	精	dzɪŋ1
晶	晶	dzɪŋ1
旌	旌	dzɪŋ1
正	正	dzɪŋ1
徵	征	dzɪŋ1
怔	怔	dzɪŋ1
禎	祯	dzɪŋ1
鉦	钲	dzɪŋ1
貞	贞	dzɪŋ1
癥	症	dzɪŋ1
菁	菁	dzɪŋ1
睛	睛	dzɪŋ1
蒸	蒸	dzɪŋ1
偵	侦	dzɪŋ1
烝	烝	dzɪŋ1
整	整	dzɪŋ2
井	井	dzɪŋ2/dzɛŋ2
症	症	dzɪŋ3
證	证	dzɪŋ3
政	政	dzɪŋ3
正	正	dzɪŋ3
靜	静	dzɪŋ6
淨	净	dzɪŋ6
靖	靖	dzɪŋ6
阱	阱	dzɪŋ6/dzɛŋ6
竺	竺	dzʊk7
捉	捉	dzʊk7
粥	粥	dzʊk7
足	足	dzʊk7
祝	祝	dzʊk7
燭	烛	dzʊk7
囑	嘱	dzʊk7
竹	竹	dzʊk7
築	筑	dzʊk7
矚	瞩	dzʊk7
逐	逐	dzʊk9
濁	浊	dzʊk9
族	族	dzʊk9
鐲	镯	dzʊk9
軸	轴	dzʊk9
續	续	dzʊk9
妯	妯	dzʊk9
躅	躅	dzʊk9
鏃	镞	dzʊk9
俗	俗	dzʊk9
忠	忠	dzʊŋ1
鍾	钟	dzʊŋ1
棕	棕	dzʊŋ1
宗	宗	dzʊŋ1
盅	盅	dzʊŋ1
鬃	鬃	dzʊŋ1
終	终	dzʊŋ1
中	中	dzʊŋ1
螽	螽	dzʊŋ1
蹤	踪	dzʊŋ1
樅	枞	dzʊŋ1
鐘	钟	dzʊŋ1
縱	纵	dzʊŋ1
綜	综	dzʊŋ1/dzʊŋ3
衷	衷	dzʊŋ1/tsʊŋ1
腫	肿	dzʊŋ2
總	总	dzʊŋ2
種	种	dzʊŋ2
種	种	dzʊŋ3
中	中	dzʊŋ3
眾	众	dzʊŋ3
縱	纵	dzʊŋ3
粽	粽	dzʊŋ3/dzʊŋ2
重	重	dzʊŋ6
訟	讼	dzʊŋ6
誦	诵	dzʊŋ6
仲	仲	dzʊŋ6
頌	颂	dzʊŋ6
啄	啄	dœk8
斲	斫	dœk8
涿	涿	dœk8
琢	琢	dœk8
蹲	蹲	dœn1
惇	惇	dœn1
敦	敦	dœn1
墩	墩	dœn1
鈍	钝	dœn6
頓	顿	dœn6
沌	沌	dœn6
盹	盹	dœn6
噸	吨	dœn6
遁	遁	dœn6
咄	咄	dœt7
堆	堆	dœy1
對	对	dœy3
兌	兑	dœy6
隊	队	dœy6
低	低	dɐi1
底	底	dɐi2
抵	抵	dɐi2
柢	柢	dɐi2
邸	邸	dɐi2
骶	骶	dɐi2
詆	诋	dɐi2
帝	帝	dɐi3
碲	碲	dɐi3
諦	谛	dɐi3
蒂	蒂	dɐi3
締	缔	dɐi3
隸	隶	dɐi6
弟	弟	dɐi6
悌	悌	dɐi6
棣	棣	dɐi6
遞	递	dɐi6
第	第	dɐi6
逮	逮	dɐi6/dɔi6
德	德	dɐk7
得	得	dɐk7
特	特	dɐk9
墩	墩	dɐn2
燉	炖	dɐn6
突	突	dɐt9
凸	凸	dɐt9
兜	兜	dɐu1
蚪	蚪	dɐu2
陡	陡	dɐu2
斗	斗	dɐu2
抖	抖	dɐu2
鬥	斗	dɐu3
竇	窦	dɐu6
逗	逗	dɐu6
痘	痘	dɐu6
豆	豆	dɐu6/dɐu2
燈	灯	dɐŋ1
噔	噔	dɐŋ1
登	登	dɐŋ1
蹬	蹬	dɐŋ1
等	等	dɐŋ2
鐙	镫	dɐŋ3
磴	磴	dɐŋ3
