开放粤语字典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［粤语拼音］
春	春	cont1
蠢	蠢	cont2
嗪	嗪	cont4
旬	旬	cont4
驯	馴	cont4
循	循	cont4
巡	巡	cont4
螓	螓	cont4
秦	秦	cont4
出	齣	cot1
出	出	cot1
操	操	cow1
粗	粗	cow1
草	草	cow2
醋	醋	cow3
措	措	cow3
糙	糙	cow3
躁	躁	cow3
燥	燥	cow3
噪	噪	cow3
操	操	cow3/cow1
曹	曹	cow4
嘈	嘈	cow4
漕	漕	cow4
槽	槽	cow4
催	催	coy1
炊	炊	coy1
摧	摧	coy1
吹	吹	coy1
趋	趨	coy1
崔	崔	coy1
璀	璀	coy1/coy2
取	取	coy2
揣	揣	coy2
娶	娶	coy2
啐	啐	coy3
觑	覷	coy3
翠	翠	coy3
脆	脆	coy3
趣	趣	coy3
淬	淬	coy3/soy6
焠	焠	coy3/soy6
捶	捶	coy4
隋	隋	coy4
锤	錘	coy4
蜍	蜍	coy4
徐	徐	coy4
随	隨	coy4
滁	滁	coy4
除	除	coy4
槌	槌	coy4
打	打	da2
搭	搭	dab3
答	答	dab3
瘩	瘩	dab3
耷	耷	dab3
蹋	蹋	dab6
踏	踏	dab6
沓	沓	dab6
靼	靼	dad3
妲	妲	dad3/tan2
哒	噠	dad6
繨	繨	dad6
达	達	dad6
呆	呆	dai1
歹	歹	dai2
带	帶	dai3
戴	戴	dai3
大	大	dai6
得	得	dak1
德	德	dak1
特	特	dak6
耽	耽	dam1
担	擔	dam1
聃	聃	dam1
儋	儋	dam1
眈	眈	dam1
胆	膽	dam2
氮	氮	dam6
淡	淡	dam6
澹	澹	dam6
淡	淡	dam6/tam5
郸	鄲	dan1
殚	殫	dan1
单	單	dan1
丹	丹	dan1
弹	彈	dan2
诞	誕	dan3
旦	旦	dan3
掸	撣	dan5
掸	撢	dan5
但	但	dan6
疍	疍	dan6
惮	憚	dan6
蛋	蛋	dan6
弹	彈	dan6
登	登	dank1
灯	燈	dank1
噔	噔	dank1
蹬	蹬	dank1
等	等	dank2
磴	磴	dank3
镫	鐙	dank3
凳	凳	dank3
邓	鄧	dank6
瞪	瞪	dank6/dank1
墩	墩	dant2
炖	燉	dant6
凸	凸	dat6
突	突	dat6
兜	兜	daw1
陡	陡	daw2
斗	斗	daw2
抖	抖	daw2
蚪	蚪	daw2
斗	鬥	daw3
逗	逗	daw6
痘	痘	daw6
窦	竇	daw6
豆	豆	daw6/daw2
低	低	day1
诋	詆	day2
邸	邸	day2
骶	骶	day2
抵	抵	day2
底	底	day2
柢	柢	day2
谛	諦	day3
缔	締	day3
蒂	蒂	day3
碲	碲	day3
帝	帝	day3
棣	棣	day6
悌	悌	day6
弟	弟	day6
第	第	day6
隶	隸	day6
递	遞	day6
逮	逮	day6/doi6
爹	爹	de1
嗲	嗲	de2
籴	糴	deg6
笛	笛	deg6
滴	滴	dek1
的	的	dek1
嫡	嫡	dek1
翟	翟	dek6
迪	迪	dek6
狄	狄	dek6
涤	滌	dek6
敌	敵	dek6
町	町	denk1
丁	丁	denk1
汀	汀	denk1
仃	仃	denk1
钉	釘	denk1/deng1
盯	盯	denk1/deng1
叮	叮	denk1/deng1
酊	酊	denk2
顶	頂	denk2
鼎	鼎	denk2
碇	碇	denk3
订	訂	denk3/denk6
锭	錠	denk3/denk6
定	定	denk6
啶	啶	denk6
啄	啄	deog3
斫	斲	deog3
琢	琢	deog3
涿	涿	deog3
夺	奪	deud6
端	端	deun1
短	短	deun2
煅	煅	deun3
锻	鍛	deun3
缎	緞	deun6
断	斷	deun6
段	段	deun6
断	斷	deun6/deun3
地	地	dey6
蝶	蝶	dib6
牒	牒	dib6
喋	喋	dib6
谍	諜	dib6
鲽	鰈	dib6
叠	疊	dib6
碟	碟	dib6
跌	跌	did3
秩	秩	did6
迭	迭	did6
耋	耋	did6
掂	掂	dim1
点	點	dim2
惦	惦	dim3
踮	踮	dim3
玷	玷	dim3
店	店	dim3
癫	癲	din1
颠	顛	din1
碘	碘	din1
巅	巔	din1
碘	碘	din2
垫	墊	din2
典	典	din2
垫	墊	din3
奠	奠	din6
电	電	din6
淀	澱	din6
靛	靛	din6
佃	佃	din6
垫	墊	din6
殿	殿	din6
甸	甸	din6
碉	碉	diu1
丢	丟	diu1
刁	刁	diu1
凋	凋	diu1
鲷	鯛	diu1
雕	雕	diu1
