开放粤语字典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［粤语拼音］
脏	臟	jong6
奘	奘	jong6
藏	藏	jong6
状	狀	jong6
撞	撞	jong6
踪	蹤	jonk1
忠	忠	jonk1
鬃	鬃	jonk1
钟	鍾	jonk1
钟	鐘	jonk1
枞	樅	jonk1
终	終	jonk1
棕	棕	jonk1
宗	宗	jonk1
盅	盅	jonk1
纵	縱	jonk1
中	中	jonk1
螽	螽	jonk1
衷	衷	jonk1/conk1
综	綜	jonk1/jonk3
种	種	jonk2
肿	腫	jonk2
总	總	jonk2
众	眾	jonk3
种	種	jonk3
纵	縱	jonk3
中	中	jonk3
粽	粽	jonk3/jonk2
仲	仲	jonk6
重	重	jonk6
讼	訟	jonk6
诵	誦	jonk6
颂	頌	jonk6
津	津	jont1
谆	諄	jont1
榛	榛	jont1
樽	樽	jont1
臻	臻	jont1
遵	遵	jont1/jeun1
准	准	jont2
尽	儘	jont2
准	準	jont2
隼	隼	jont2
晋	晉	jont3
竣	竣	jont3
缙	縉	jont3
峻	峻	jont3
俊	俊	jont3
骏	駿	jont3
进	進	jont3
尽	盡	jont6
烬	燼	jont6
黜	黜	jot1
怵	怵	jot1
卒	卒	jot1
遭	遭	jow1
糟	糟	jow1
租	租	jow1
枣	棗	jow2
驵	駔	jow2
祖	祖	jow2
组	組	jow2
澡	澡	jow2
藻	藻	jow2
蚤	蚤	jow2
早	早	jow2
灶	灶	jow3
皂	皂	jow6
做	做	jow6
造	造	jow6
慥	慥	jow6/cow3
狙	狙	joy1
椎	椎	joy1
追	追	joy1
锥	錐	joy1
蛆	蛆	joy1/coy1
咀	咀	joy2
嘴	嘴	joy2
龃	齟	joy2
沮	沮	joy2
最	最	joy3
惴	惴	joy3
赘	贅	joy3
醉	醉	joy3
坠	墜	joy6
罪	罪	joy6
序	序	joy6
屿	嶼	joy6
聚	聚	joy6
溆	漵	joy6
叙	敘	joy6
缀	綴	joy6/joy3
卡	卡	ka1
喀	喀	ka1
卡	卡	ka2
髂	髂	ka3
咯	咯	kag3
揢	揢	kag3
楷	楷	kai2
蒈	蒈	kai2
锴	鍇	kai2/gai1
襟	襟	kamp1
禽	禽	kamp4
擒	擒	kamp4
琴	琴	kamp4
噙	噙	kamp4
妗	妗	kamp5
芹	芹	kant4
勤	勤	kant4
近	近	kant5
笈	笈	kap1
级	級	kap1
歙	歙	kap1
吸	吸	kap1
给	給	kap1
岌	岌	kap1
汲	汲	kap1
及	及	kap6
芨	芨	kap6/gap1
咳	咳	kat1
卡	卡	kat1
铐	銬	kau3
靠	靠	kau3
抠	摳	kaw1
沟	溝	kaw1/gaw1
篝	篝	kaw1/gaw1
扣	扣	kaw3
寇	寇	kaw3
蔻	蔻	kaw3
扣	釦	kaw3
叩	叩	kaw3
购	購	kaw3/gaw3
媾	媾	kaw3/gaw3
构	構	kaw3/gaw3
虬	虯	kaw4
仇	仇	kaw4
求	求	kaw4
逑	逑	kaw4
犰	犰	kaw4
球	球	kaw4
毬	毬	kaw4
裘	裘	kaw4
舅	舅	kaw5/kaw3
臼	臼	kaw5/kaw3
稽	稽	kay1
溪	溪	kay1
蹊	蹊	kay1
嵇	嵇	kay1/hay4
启	啟	kay2
契	契	kay3
茄	茄	ke2
骑	騎	ke4
瘸	瘸	ke4
剧	劇	keg6
屐	屐	keg6
倾	傾	kenk1
顷	頃	kenk2
鲸	鯨	kenk4
琼	瓊	kenk4
黥	黥	kenk4
擎	擎	kenk4
却	卻	keog3
噱	噱	keog6
强	強	keong4
羟	羥	keong5
强	強	keong5
阙	闕	keud3
獗	獗	keud3
决	決	keud3
撅	撅	keud3
诀	訣	keud3
缺	缺	keud3
蕨	蕨	keud3
蹶	蹶	keud3
厥	厥	keud3
孓	孓	keud3
抉	抉	keud3
橛	橛	keud3/geud6
拳	拳	keun4
权	權	keun4
蜷	蜷	keun4
鬈	鬈	keun4
颧	顴	keun4
蹊	蹊	key1
崎	崎	key1
骥	驥	key3
暨	暨	key3
冀	冀	key3
琪	琪	key4
萁	萁	key4
其	其	key4
淇	淇	key4
歧	歧	key4
琦	琦	key4
旂	旂	key4
麒	麒	key4
棋	棋	key4
岐	岐	key4
奇	奇	key4
旗	旗	key4
俟	俟	key4
祈	祈	key4
耆	耆	key4
期	期	key4
祺	祺	key4
祁	祁	key4
蕲	蘄	key4
鳍	鰭	key4
企	企	key5
孑	孑	kid3
颉	頡	kid3
锲	鍥	kid3
竭	竭	kid3
黠	黠	kid3
羯	羯	kid3
揭	揭	kid3
诘	詰	kid3
撷	擷	kid3/gid3
钳	鉗	kim4
黔	黔	kim4
掮	掮	kin4
虔	虔	kin4
乾	乾	kin4
犍	犍	kin4
跷	蹺	kiu1/hiu1
翘	翹	kiu3/hiu3
翘	翹	kiu4
桥	橋	kiu4
乔	喬	kiu4
侨	僑	kiu4
荞	蕎	kiu4
跷	蹺	kiu5
恪	恪	kog3
壑	壑	kog3
悫	慤	kog3
涸	涸	kog3
郝	郝	kog3
确	確	kog3
榷	榷	kog3
溉	溉	koi3
忾	愾	koi3
丐	丐	koi3
盖	蓋	koi3
慨	慨	koi3
钙	鈣	koi3
概	概	koi3
欬	欬	koi3
曲	曲	kok1
曲	麴	kok1
扛	扛	kong1
抗	抗	kong3
闶	閌	kong3
亢	亢	kong3
伉	伉	kong3
炕	炕	kong3
扩	擴	kong3
邛	邛	konk4
穷	窮	konk4
穹	穹	konk4
拘	拘	koy1
区	區	koy1
岖	嶇	koy1
祛	祛	koy1
驹	駒	koy1
躯	軀	koy1
驱	驅	koy1
俱	俱	koy1
璩	璩	koy4
瞿	瞿	koy4
蠼	蠼	koy4
衢	衢	koy4
朐	朐	koy4
渠	渠	koy4
拒	拒	koy5
距	距	koy5
箍	箍	ku1
垮	垮	kua1
夸	誇	kua1
夸	夸	kua1
侉	侉	kua2
跨	跨	kua3
挎	挎	kua3
胯	胯	kua3
框	框	kuang1/hong1
逛	逛	kuang3
坤	坤	kuant1
昆	崑	kuant1
髡	髡	kuant1
昆	昆	kuant1
焜	焜	kuant1/want6
捆	捆	kuant2
菌	菌	kuant2
困	睏	kuant3
窘	窘	kuant3
困	困	kuant3
群	群	kuant4
裙	裙	kuant4
盔	盔	kuay1
窥	窺	kuay1
亏	虧	kuay1
规	規	kuay1
岿	巋	kuay1
畦	畦	kuay4
携	攜	kuay4
葵	葵	kuay4
夔	夔	kuay4
暌	暌	kuay4
喹	喹	kuay4
馗	馗	kuay4
睽	睽	kuay4
揆	揆	kuay4/kuay5
愧	愧	kuay5
聒	聒	kud3
豁	豁	kud3
括	括	kud3
蛞	蛞	kud3
狯	獪	kui2
聩	聵	kui2
溃	潰	kui2
贿	賄	kui2
刽	劊	kui2
绘	繪	kui2
郐	鄶	kui2
浍	澮	kui2
桧	檜	kui2
侩	儈	kui2
脍	膾	kui2
鲙	鱠	kui2
会	會	kui2/wui6
扩	擴	kuog3
旷	曠	kuong3
矿	礦	kuong3/kong3
邝	鄺	kuong3/kong3
狂	狂	kuong4
喇	喇	la1
啦	啦	la1
拉	拉	la1
喇	喇	la3
垃	垃	lab6
腊	臘	lab6
立	立	lab6
砬	砬	lab6
蜡	蠟	lab6
邋	邋	lab6/lad6
拉	拉	lad6
辣	辣	lad6
拉	拉	lai1
癞	癩	lai3
落	落	lai6
赖	賴	lai6
籁	籟	lai6
肋	肋	lak6/lag6
鳓	鰳	lak6/lag6
勒	勒	lak6/lag6
褴	襤	lam4
婪	婪	lam4
篮	籃	lam4
岚	嵐	lam4
蓝	藍	lam4
览	覽	lam5
榄	欖	lam5
揽	攬	lam5
滥	濫	lam6
缆	纜	lam6
舰	艦	lam6
啉	啉	lamp4
林	林	lamp4
淋	淋	lamp4
琳	琳	lamp4
霖	霖	lamp4
临	臨	lamp4
懔	懍	lamp5
凛	凜	lamp5
兰	蘭	lan4
澜	瀾	lan4
拦	攔	lan4
斓	斕	lan4
栏	欄	lan4
襕	襴	lan4
阑	闌	lan4
懒	懶	lan5
烂	爛	lan6
冷	冷	lang5
笠	笠	lap1
甩	甩	lat1
喽	嘍	law1
搂	摟	law2
浏	瀏	law4
捞	撈	law4
琉	琉	law4
刘	劉	law4
娄	婁	law4
榴	榴	law4
瘤	瘤	law4
骝	騮	law4
髅	髏	law4
螻	螻	law4
留	留	law4
楼	樓	law4
硫	硫	law4
流	流	law4
偻	僂	law4
篓	簍	law5
柳	柳	law5
遛	遛	law6
镂	鏤	law6
蹓	蹓	law6
馏	餾	law6
陋	陋	law6
漏	漏	law6
溜	溜	law6
犁	犁	lay4
黎	黎	lay4
犂	犂	lay4
藜	藜	lay4
蠡	蠡	lay4/lay5
鳢	鱧	lay5
礼	禮	lay5
醴	醴	lay5
澧	澧	lay5
俪	儷	lay6
丽	麗	lay6
励	勵	lay6
厉	厲	lay6
例	例	lay6
荔	荔	lay6
蛎	蠣	lay6
砺	礪	lay6
哩	哩	le1
咧	咧	le1
咧	咧	le2
砾	礫	lek1
枥	櫪	lek1
雳	靂	lek1
沥	瀝	lek1/lek6
历	歷	lek6
历	曆	lek6
力	力	lek6
靓	靚	leng3
铃	鈴	lenk4
陵	陵	lenk4
聆	聆	lenk4
龄	齡	lenk4
凌	凌	lenk4
囹	囹	lenk4
玲	玲	lenk4
鲮	鯪	lenk4
灵	靈	lenk4
令	令	lenk4
零	零	lenk4
菱	菱	lenk4
翎	翎	lenk4
櫺	櫺	lenk4
呤	呤	lenk4
苓	苓	lenk4
伶	伶	lenk4
棱	稜	lenk4
绫	綾	lenk4
蛉	蛉	lenk4
羚	羚	lenk4
领	領	lenk5/leng5
岭	嶺	lenk5/leng5
愣	愣	lenk6
令	令	lenk6
另	另	lenk6
掠	掠	leog6
略	略	leog6
两	兩	leong2
梁	梁	leong4
凉	涼	leong4
量	量	leong4
粮	糧	leong4
莨	莨	leong4
良	良	leong4
粱	粱	leong4
两	兩	leong5
俩	倆	leong5
魉	魎	leong5
谅	諒	leong6
亮	亮	leong6
量	量	leong6
辆	輛	leong6
踉	踉	leong6
捋	捋	leud3
劣	劣	leud3/leud6
恋	戀	leun2
脔	臠	leun2/leun4
联	聯	leun4
栾	欒	leun4
滦	灤	leun4
鸾	鸞	leun4
峦	巒	leun4
挛	攣	leun4
孪	孿	leun4
乱	亂	leun6
喱	喱	ley1
璃	璃	ley1
蜊	蜊	ley4
离	離	ley4
厘	釐	ley4
篱	籬	ley4
鲡	鱺	ley4
漓	漓	ley4
梨	梨	ley4
狸	狸	ley4
罹	罹	ley4
缡	縭	ley4
璃	璃	ley4
李	李	ley5
履	履	ley5
里	里	ley5
俚	俚	ley5
鲤	鯉	ley5
娌	娌	ley5
锂	鋰	ley5
逦	邐	ley5
理	理	ley5
哩	哩	ley5/yenk1/ley5
俐	俐	ley6
利	利	ley6
莅	蒞	ley6
吏	吏	ley6
猁	猁	ley6
莉	莉	ley6
痢	痢	ley6
哩	哩	li1
鬣	鬣	lib6
猎	獵	lib6
列	列	lid6
捩	捩	lid6
冽	冽	lid6
裂	裂	lid6
烈	烈	lid6
令	令	lim1
镰	鐮	lim4
帘	帘	lim4
廉	廉	lim4
帘	簾	lim4
脸	臉	lim5
殓	殮	lim5
敛	斂	lim6
裣	襝	lim6
链	鏈	lin4
连	連	lin4
怜	憐	lin4
涟	漣	lin4
莲	蓮	lin4
辇	輦	lin5
撵	攆	lin5
炼	煉	lin6
练	練	lin6
撂	撂	liu1
溜	溜	liu1
撩	撩	liu1
撩	撩	liu4
瞭	瞭	liu4
寮	寮	liu4
獠	獠	liu4
聊	聊	liu4
镣	鐐	liu4
僚	僚	liu4
辽	遼	liu4
缭	繚	liu4
嘹	嘹	liu4
寥	寥	liu4
燎	燎	liu4
疗	療	liu4
了	瞭	liu5
了	了	liu5
潦	潦	liu5/liu2
廖	廖	liu6
尥	尥	liu6
料	料	liu6
囉	囉	lo1
咯	咯	lo1
旯	旯	lo1/log3
裸	裸	lo2
锣	鑼	lo4
箩	籮	lo4
萝	蘿	lo4
罗	羅	lo4
猡	玀	lo4
逻	邏	lo4
螺	螺	lo4/lo2
烙	烙	log3
络	絡	log3
铬	鉻	log3
饹	餎	log3
珞	珞	log3
酪	酪	log3
洛	洛	log3/log6
骆	駱	log3/log6
乐	樂	log6
落	落	log6
来	來	loi4
徕	徠	loi4
涞	淶	loi4
崃	崍	loi4
莱	萊	loi4
睐	睞	loi6
赉	賚	loi6
耒	耒	loi6/loy6
碌	碌	lok1
麓	麓	lok1
辘	轆	lok1
陆	陸	lok6
绿	綠	lok6
碌	碌	lok6
录	錄	lok6
六	六	lok6
氯	氯	lok6
戮	戮	lok6
鹿	鹿	lok6
漉	漉	lok6
禄	祿	lok6
啷	啷	long1
郎	郎	long2
琅	瑯	long4
狼	狼	long4
莨	莨	long4
榔	榔	long4
廊	廊	long4
螂	螂	long4
锒	鋃	long4
郎	郎	long4
朗	朗	long5
晾	晾	long6
蒗	蒗	long6
浪	浪	long6
阆	閬	long6/long4
昽	曨	lonk4
咙	嚨	lonk4
窿	窿	lonk4
聋	聾	lonk4
珑	瓏	lonk4
笼	籠	lonk4
龙	龍	lonk4
胧	朧	lonk4
眬	矓	lonk4
茏	蘢	lonk4
隆	隆	lonk4
陇	隴	lonk5
笼	籠	lonk5
拢	攏	lonk5
垄	壟	lonk5
弄	弄	lonk6
卵	卵	lont2
伦	倫	lont4
麟	麟	lont4
遴	遴	lont4
论	論	lont4
鳞	鱗	lont4
磷	磷	lont4
仑	崙	lont4
抡	掄	lont4
璘	璘	lont4
沦	淪	lont4
仑	侖	lont4
囵	圇	lont4
轮	輪	lont4
邻	鄰	lont4
纶	綸	lont4
粼	粼	lont4
嶙	嶙	lont4
论	論	lont6
吝	吝	lont6
蔺	藺	lont6
躏	躪	lont6
率	率	lot6
栗	栗	lot6
傈	傈	lot6
栗	慄	lot6
鹬	鷸	lot6
篥	篥	lot6
律	律	lot6
溧	溧	lot6
捞	撈	low1
噜	嚕	low1
佬	佬	low2
痨	癆	low4
唠	嘮	low4
鲈	鱸	low4
泸	瀘	low4
颅	顱	low4
轳	轤	low4
胪	臚	low4
庐	廬	low4
劳	勞	low4
芦	蘆	low4
醪	醪	low4
炉	爐	low4
牢	牢	low4
卢	盧	low4
橹	櫓	low5
卤	滷	low5
鲁	魯	low5
掳	擄	low5
姥	姥	low5
老	老	low5
虏	虜	low5
卤	鹵	low5
嫪	嫪	low6
潞	潞	low6
辂	輅	low6
赂	賂	low6
劳	勞	low6
涝	澇	low6
璐	璐	low6
露	露	low6
路	路	low6
鹭	鷺	low6
镭	鐳	loy4
羸	羸	loy4
缧	縲	loy4
雷	雷	loy4
累	纍	loy4
榈	櫚	loy4
嫘	嫘	loy4
擂	擂	loy4
闾	閭	loy4
驴	驢	loy4
骡	騾	loy4/lo4
旅	旅	loy5
累	累	loy5
屡	屢	loy5
吕	呂	loy5
垒	壘	loy5
里	裡	loy5
侣	侶	loy5
缕	縷	loy5
铝	鋁	loy5
褛	褸	loy5
儡	儡	loy5
磊	磊	loy5
膂	膂	loy5
蕾	蕾	loy5/loy4
类	類	loy6
虑	慮	loy6
泪	淚	loy6
漯	漯	loy6
累	累	loy6
戾	戾	loy6
滤	濾	loy6
妈	媽	ma1
嬷	嬤	ma1
吗	嗎	ma1/ma3
嘛	嘛	ma3
蟆	蟆	ma4
麻	痲	ma4
麻	麻	ma4
马	馬	ma5
码	碼	ma5
玛	瑪	ma5
犸	獁	ma5
蚂	螞	ma5
骂	罵	ma6
擘	擘	mag3
埋	埋	mai4
霾	霾	mai4/may4
荬	蕒	mai5
买	買	mai5
卖	賣	mai6
迈	邁	mai6
脉	脈	mak6
陌	陌	mak6
墨	墨	mak6
万	万	mak6
麦	麥	mak6
貘	貘	mak6
默	默	mak6
蓦	驀	mak6
蔓	蔓	man4
谩	謾	man4
鳗	鰻	man4
蛮	蠻	man4
馒	饅	man4
晚	晚	man5
曼	曼	man6
缦	縵	man6
熳	熳	man6
幔	幔	man6
万	萬	man6
墁	墁	man6
漫	漫	man6
镘	鏝	man6
谩	謾	man6
嫚	嫚	man6
蔓	蔓	man6
慢	慢	man6
绷	繃	mang1
盲	盲	mang4
蜢	蜢	mang5
勐	勐	mang5
锰	錳	mang5
猛	猛	mang5
孟	孟	mang6
盟	盟	mank4
萌	萌	mank4
蚊	蚊	mant1
民	民	mant4
苠	苠	mant4
珉	珉	mant4
忞	忞	mant4
旻	旻	mant4
岷	岷	mant4
缗	緡	mant4
雯	雯	mant4
纹	紋	mant4
玟	玟	mant4
氓	氓	mant4
闻	聞	mant4
文	文	mant4
泯	泯	mant5
鳘	鰵	mant5
渑	澠	mant5
吻	吻	mant5
闵	閔	mant5
悯	憫	mant5
闽	閩	mant5
愍	愍	mant5
刎	刎	mant5
敏	敏	mant5
湣	湣	mant5
抿	抿	mant5
黾	黽	mant5
紊	紊	mant6
问	問	mant6
汶	汶	mant6
勿	勿	mat6
密	密	mat6
宓	宓	mat6
蜜	蜜	mat6
物	物	mat6
袜	襪	mat6
谧	謐	mat6
嘧	嘧	mat6
猫	貓	mau1
茅	茅	mau4
矛	矛	mau4
铆	鉚	mau5
卯	卯	mau5
懋	懋	mau6
袤	袤	mau6
貌	貌	mau6
哞	哞	maw1
缪	繆	maw4
谋	謀	maw4
牟	牟	maw4
眸	眸	maw4
某	某	maw5
牡	牡	maw5
亩	畝	maw5
茂	茂	maw6
贸	貿	maw6
谬	謬	maw6
咪	咪	may1/mey1
醚	醚	may4
眯	瞇	may4
迷	迷	may4
谜	謎	may4
米	米	may5
袂	袂	may6
哶	哶	me1
觅	覓	mek6
幂	冪	mek6
汨	汨	mek6
鼏	鼏	mek6
命	命	meng6
名	名	menk4
溟	溟	menk4
洺	洺	menk4
螟	螟	menk4
鸣	鳴	menk4
冥	冥	menk4
明	明	menk4
瞑	瞑	menk4/menk5
铭	銘	menk4/menk5
暝	暝	menk4/menk6
酩	酩	menk5
皿	皿	menk5
茗	茗	menk5/menk4
命	命	menk6
蘼	蘼	mey4
湄	湄	mey4
麋	麋	mey4
靡	靡	mey4
眉	眉	mey4
嵋	嵋	mey4
薇	薇	mey4
微	微	mey4
楣	楣	mey4
弥	瀰	mey4/ney4
猕	獼	mey4/ney4
镁	鎂	mey5
美	美	mey5
娓	娓	mey5
尾	尾	mey5
媺	媺	mey5
味	味	mey6
寐	寐	mey6
媚	媚	mey6
未	未	mey6
魅	魅	mey6
蔑	蔑	mid6
篾	篾	mid6
蔑	衊	mid6
灭	滅	mid6
棉	棉	min4
绵	綿	min4
眠	眠	min4
缅	緬	min5
腼	靦	min5
勉	勉	min5
免	免	min5
娩	娩	min5
冕	冕	min5
面	面	min6
面	麵	min6
喵	喵	miu1
描	描	miu4
苗	苗	miu4
瞄	瞄	miu4
缈	緲	miu5
渺	渺	miu5
秒	秒	miu5
邈	邈	miu5
杳	杳	miu5
淼	淼	miu5
藐	藐	miu5
妙	妙	miu6
庙	廟	miu6
么	麼	mo1
魔	魔	mo1
摩	摩	mo1
摸	摸	mo2
蘑	蘑	mo4
磨	磨	mo4
馍	饃	mo4
剥	剝	mog1
幕	幕	mog6
膜	膜	mog6
莫	莫	mog6
漠	漠	mog6
寞	寞	mog6
苜	苜	mok6
钼	鉬	mok6
沐	沐	mok6
牧	牧	mok6
睦	睦	mok6
木	木	mok6
穆	穆	mok6
仫	仫	mok6
目	目	mok6
虻	虻	mong4
忘	忘	mong4
铓	鋩	mong4
茫	茫	mong4
莽	莽	mong4
芒	芒	mong4
忙	忙	mong4
氓	氓	mong4
亡	亡	mong4
辋	輞	mong5
魍	魍	mong5
蟒	蟒	mong5
惘	惘	mong5
妄	妄	mong5
罔	罔	mong5
网	網	mong5
望	望	mong6
檬	檬	monk4
蒙	濛	monk4
蒙	蒙	monk4
朦	朦	monk4
曚	曚	monk4
蒙	矇	monk4
蠓	蠓	monk5
懵	懵	monk5/monk2
梦	夢	monk6
摹	摹	mow4
模	模	mow4
髦	髦	mow4
膜	膜	mow4
谟	謨	mow4
诬	誣	mow4
毛	毛	mow4
无	無	mow4
巫	巫	mow4
毋	毋	mow4
芜	蕪	mow4
牦	氂	mow4/ley4
母	母	mow5
侮	侮	mow5
舞	舞	mow5
姆	姆	mow5
拇	拇	mow5
妩	嫵	mow5
武	武	mow5
鹉	鵡	mow5
耄	耄	mow6
帽	帽	mow6
慕	慕	mow6
暮	暮	mow6
瑁	瑁	mow6
婺	婺	mow6
戊	戊	mow6
鹜	鶩	mow6
募	募	mow6
务	務	mow6
雾	霧	mow6
骛	騖	mow6
冒	冒	mow6
墓	墓	mow6
沫	沫	mud3
抹	抹	mud3/mad3
末	末	mud6
殁	歿	mud6
靺	靺	mud6
茉	茉	mud6
没	沒	mud6
枚	枚	mui4
梅	梅	mui4
媒	媒	mui4
煤	煤	mui4
霉	霉	mui4
莓	莓	mui4
酶	酶	mui4
玫	玫	mui4
每	每	mui5
昧	昧	mui6
妹	妹	mui6
瞒	瞞	mun4
们	們	mun4
扪	捫	mun4
鞔	鞔	mun4
门	門	mun4
螨	蟎	mun5
满	滿	mun5
焖	燜	mun6
闷	悶	mun6
哪	哪	na1
哪	哪	na4
拿	拿	na4
南	南	na4
娜	娜	na4
哪	哪	na5
那	那	na5
钠	鈉	nab6
衲	衲	nab6
纳	納	nab6
呐	吶	nab6
捺	捺	nad6
氖	氖	nai5
乃	乃	nai5
奶	奶	nai5
鼐	鼐	nai5
喃	喃	nam4
男	男	nam4
楠	楠	nam4
南	南	nam4
囡	囡	nam4
腩	腩	nam5
稔	稔	namp5
难	難	nan4
赧	赧	nan5
难	難	nan6
能	能	nank4
粒	粒	nap1/lap1
孬	孬	nau1
猱	猱	nau4
锚	錨	nau4
桡	橈	nau4
挠	撓	nau4
铙	鐃	nau4
淖	淖	nau6
闹	鬧	nau6
纽	紐	naw2
狃	狃	naw2
朽	朽	naw2
妞	妞	naw2
扭	扭	naw2
钮	鈕	naw2
泥	泥	nay4
呢	呢	nay4/ney4
呢	呢	ne1
昵	暱	nek1
匿	匿	nek1
溺	溺	nek1/nek6
咛	嚀	nenk4
柠	檸	nenk4
宁	寧	nenk4
狞	獰	nenk4
佞	佞	nenk6
拧	擰	nenk6
泞	濘	nenk6
娘	娘	neong4
暖	暖	neun5
嫩	嫩	neun6
妮	妮	ney4
怩	怩	ney4
弥	彌	ney4
尼	尼	ney4
铌	鈮	ney4
旎	旎	ney5
你	你	ney5
你	妳	ney5
您	您	ney5
腻	膩	ney6
饵	餌	ney6
嗯	嗯	ng2
吴	吳	ng4
吾	吾	ng4
梧	梧	ng4
蜈	蜈	ng4
鼯	鼯	ng4
五	五	ng5
忤	忤	ng5
午	午	ng5
伍	伍	ng5
牾	牾	ng5
捂	摀	ng6
悟	悟	ng6
误	誤	ng6
嗯	嗯	ng6
晤	晤	ng6
焐	焐	ng6
牙	牙	nga4
衙	衙	nga4
芽	芽	nga4
雅	雅	nga5
佤	佤	nga5
瓦	瓦	nga5
讶	訝	nga6
额	額	ngag6
挨	捱	ngai4
厓	厓	ngai4
睚	睚	ngai4
崖	崖	ngai4
涯	涯	ngai4
砹	砹	ngai6
刈	刈	ngai6
艾	艾	ngai6
岩	岩	ngam4
癌	癌	ngam4
颜	顏	ngan4
眼	眼	ngan5
赝	贗	ngan6
雁	雁	ngan6
硬	硬	ngang6
龂	齗	ngant4
银	銀	ngant4
垠	垠	ngant4
沂	沂	ngant4
龈	齦	ngant4
兀	兀	ngat6
迄	迄	ngat6
屹	屹	ngat6
圪	圪	ngat6
杌	杌	ngat6
爻	爻	ngau4
肴	餚	ngau4
淆	淆	ngau4
咬	咬	ngau5
勾	勾	ngaw1
牛	牛	ngaw4
藕	藕	ngaw5
偶	偶	ngaw5
巍	巍	ngay4
危	危	ngay4
倪	倪	ngay4
霓	霓	ngay4
猊	猊	ngay4
蚁	蟻	ngay5
艺	藝	ngay6
呓	囈	ngay6
毅	毅	ngay6
羿	羿	ngay6
魏	魏	ngay6
伪	偽	ngay6
诣	詣	ngay6
睨	睨	ngay6
啮	齧	ngid6/ngad6
娥	娥	ngo4
哦	哦	ngo4
蛾	蛾	ngo4
莪	莪	ngo4
俄	俄	ngo4
鹅	鵝	ngo4
讹	訛	ngo4
峨	峨	ngo4
我	我	ngo5
卧	臥	ngo6
饿	餓	ngo6
噩	噩	ngog6
岳	岳	ngog6
乐	樂	ngog6
鄂	鄂	ngog6
鳄	鱷	ngog6
颚	顎	ngog6
愕	愕	ngog6
岳	嶽	ngog6
呆	呆	ngoi4
外	外	ngoi6
碍	礙	ngoi6
岸	岸	ngon6
犴	犴	ngon6
肮	骯	ngong1/ngong3
盎	盎	ngong3/ngong2
昂	昂	ngong4
懊	懊	ngow3
澳	澳	ngow3
奥	奧	ngow3
袄	襖	ngow3/ngow2
螯	螯	ngow4
骜	驁	ngow4
獒	獒	ngow4
敖	敖	ngow4
翱	翱	ngow4
鳌	鰲	ngow4
熬	熬	ngow4/ngaw4
遨	遨	ngow4/ngow6
傲	傲	ngow6
镍	鎳	nib1
捏	捏	nib6
涅	涅	nib6
聂	聶	nib6
蹑	躡	nib6
陧	隉	nib6
颞	顳	nib6
镊	鑷	nib6
拈	拈	nim1
粘	粘	nim1/jim1
黏	黏	nim1/jim1
捻	捻	nim2
鲇	鯰	nim4
念	唸	nim6
念	念	nim6
廿	廿	nim6
年	年	nin4
碾	碾	nin5
鸟	鳥	niu5
袅	裊	niu5
尿	尿	niu6
溺	溺	niu6
挼	挼	no4
挪	挪	no4
懦	懦	no6
糯	糯	no6
诺	諾	nog6
奈	奈	noi6
耐	耐	noi6
内	內	noi6
忸	忸	nok6/naw2
囊	囊	nong4
囔	囔	nong4
瓤	瓤	nong4
馕	饢	nong4
馕	饢	nong5
齉	齉	nong6
农	農	nonk4
侬	儂	nonk4
脓	膿	nonk4
浓	濃	nonk4
讷	訥	not6/nab6
奴	奴	now4
恼	惱	now5
脑	腦	now5
瑙	瑙	now5
弩	弩	now5
努	努	now5/low5
怒	怒	now6
馁	餒	noy5
钕	釹	noy5
女	女	noy5/loy5
噢	噢	o1
喔	喔	o1
轲	軻	o1
婀	婀	o1
柯	柯	o1
阿	阿	o1
珂	珂	o1
哦	哦	o4
哦	哦	o6
垩	堊	og3
恶	噁	og3
恶	惡	og3
哀	哀	oi1
埃	埃	oi1
暧	曖	oi2
毐	毐	oi2
蔼	藹	oi2
叆	靉	oi2
爱	愛	oi3
瑷	璦	oi3
屋	屋	ok1
氨	氨	on1
铵	銨	on1
胺	胺	on1
桉	桉	on1
安	安	on1
鞍	鞍	on1
摁	摁	on3
按	按	on3
案	案	on3
瓮	甕	onk3
齆	齆	onk3
媪	媼	ow2
趴	趴	pa1
怕	怕	pa3
爬	爬	pa4
琶	琶	pa4
杷	杷	pa4
扒	扒	pa4
耙	耙	pa4
啪	啪	pag1
柏	柏	pag3
帕	帕	pag3
魄	魄	pag3
拍	拍	pag3
珀	珀	pag3
派	派	pai3
哌	哌	pai3
湃	湃	pai3/bai3
牌	牌	pai4
排	排	pai4
俳	俳	pai4
扳	扳	pan1
攀	攀	pan1
袢	袢	pan3
盼	盼	pan3
烹	烹	pang1
澎	澎	pang1
棚	棚	pang4
膨	膨	pang4
鹏	鵬	pang4
澎	澎	pang4
硼	硼	pang4
彭	彭	pang4
棒	棒	pang5
凭	憑	pank4
朋	朋	pank4
喷	噴	pant3
颦	顰	pant4
嫔	嬪	pant4
频	頻	pant4
贫	貧	pant4
牝	牝	pant5
疋	疋	pat1
匹	匹	pat1
脬	脬	pau1
抛	拋	pau1
泡	泡	pau1
