开放粤语字典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［耶鲁拼音］
达	達	daaht
繨	繨	daaht
哒	噠	daaht
低	低	dāi
抵	抵	dái
柢	柢	dái
底	底	dái
骶	骶	dái
诋	詆	dái
邸	邸	dái
碲	碲	dai
帝	帝	dai
蒂	蒂	dai
缔	締	dai
谛	諦	dai
弟	弟	daih
悌	悌	daih
棣	棣	daih
递	遞	daih
第	第	daih
隶	隸	daih
逮	逮	daih/doih
德	德	dāk
得	得	dāk
特	特	dahk
墩	墩	dán
炖	燉	dahn
灯	燈	dāng
蹬	蹬	dāng
登	登	dāng
噔	噔	dāng
等	等	dáng
凳	凳	dang
镫	鐙	dang
磴	磴	dang
邓	鄧	dahng
瞪	瞪	dahng/dāng
突	突	daht
凸	凸	daht
兜	兜	dāu
陡	陡	dáu
斗	斗	dáu
抖	抖	dáu
蚪	蚪	dáu
斗	鬥	dau
窦	竇	dauh
痘	痘	dauh
逗	逗	dauh
豆	豆	dauh/dáu
爹	爹	dē
嗲	嗲	dé
地	地	deih
籴	糴	dehk
笛	笛	dehk
堆	堆	dēui
对	對	deui
队	隊	deuih
兑	兌	deuih
啄	啄	deuk
琢	琢	deuk
斫	斲	deuk
涿	涿	deuk
墩	墩	deūn
蹲	蹲	deūn
惇	惇	deūn
敦	敦	deūn
遁	遁	deuhn
顿	頓	deuhn
钝	鈍	deuhn
沌	沌	deuhn
盹	盹	deuhn
吨	噸	deuhn
咄	咄	deūt
嫡	嫡	dīk
滴	滴	dīk
的	的	dīk
迪	迪	dihk
狄	狄	dihk
翟	翟	dihk
涤	滌	dihk
敌	敵	dihk
掂	掂	dīm
点	點	dím
店	店	dim
玷	玷	dim
惦	惦	dim
踮	踮	dim
颠	顛	dīn
巅	巔	dīn
癫	癲	dīn
碘	碘	dīn
垫	墊	dín
典	典	dín
碘	碘	dín
垫	墊	din
靛	靛	dihn
淀	澱	dihn
电	電	dihn
垫	墊	dihn
佃	佃	dihn
殿	殿	dihn
甸	甸	dihn
奠	奠	dihn
丁	丁	dīng
仃	仃	dīng
汀	汀	dīng
町	町	dīng
钉	釘	dīng/dēng
叮	叮	dīng/dēng
盯	盯	dīng/dēng
顶	頂	díng
酊	酊	díng
鼎	鼎	díng
碇	碇	ding
锭	錠	ding/dihng
订	訂	ding/dihng
定	定	dihng
啶	啶	dihng
叠	疊	dihp
碟	碟	dihp
蝶	蝶	dihp
喋	喋	dihp
牒	牒	dihp
谍	諜	dihp
鲽	鰈	dihp
跌	跌	dit
耋	耋	diht
迭	迭	diht
秩	秩	diht
雕	雕	diū
貂	貂	diū
叼	叼	diū
鲷	鯛	diū
凋	凋	diū
刁	刁	diū
丢	丟	diū
碉	碉	diū
屌	屌	diú
吊	弔	diu
吊	吊	diu
钓	釣	diu
掉	掉	diuh
调	調	diuh
多	多	dō
哆	哆	dō
跺	跺	dó
躲	躲	dó
朵	朵	dó/déu
剁	剁	dó/deuk
驮	馱	doh
惰	惰	doh
堕	墮	doh
袋	袋	doih
待	待	doih
甙	甙	doih
岱	岱	doih
黛	黛	doih
叇	靆	doih
代	代	doih
玳	玳	doih
殆	殆	doih/tóih
怠	怠	doih/tóih
度	度	dohk
铎	鐸	dohk
踱	踱	dohk
铛	鐺	dōng
当	噹	dōng
当	當	dōng
裆	襠	dōng
挡	擋	dóng
党	黨	dóng
档	檔	dong
当	當	dong
荡	蕩	dohng
荡	盪	dohng
宕	宕	dohng
砀	碭	dohng
菪	菪	dohng
都	都	dōu
嘟	嘟	dōu
叨	叨	dōu
刀	刀	dōu
倒	倒	dóu
赌	賭	dóu
堵	堵	dóu
捣	搗	dóu
岛	島	dóu
睹	睹	dóu
倒	倒	dou
妒	妒	dou
蠹	蠹	dou
到	到	dou
盗	盜	douh
稻	稻	douh
杜	杜	douh
导	導	douh
蹈	蹈	douh
度	度	douh
渡	渡	douh
悼	悼	douh
道	道	douh
镀	鍍	douh
督	督	dūk
笃	篤	dūk
犊	犢	duhk
毒	毒	duhk
渎	瀆	duhk
黩	黷	duhk
牍	牘	duhk
独	獨	duhk
读	讀	duhk
碡	碡	duhk
髑	髑	duhk
椟	櫝	duhk
冬	冬	dūng
氡	氡	dūng
东	東	dūng
咚	咚	dūng
懂	懂	dúng
董	董	dúng
踵	踵	dúng
冻	凍	dung
栋	棟	dung
恸	慟	duhng
胴	胴	duhng
恫	恫	duhng
洞	洞	duhng
侗	侗	duhng
动	動	duhng
端	端	dyūn
短	短	dyún
锻	鍛	dyun
煅	煅	dyun
段	段	dyuhn
缎	緞	dyuhn
断	斷	dyuhn
断	斷	dyuhn/dyun
夺	奪	dyuht
欸	欸	ēi
欸	欸	éi
欸	欸	èih
欸	欸	eih
花	花	fā
化	化	fa
快	快	faai
块	塊	faai
傀	傀	faai
筷	筷	faai
哙	噲	faai
旛	旛	fāan
幡	幡	fāan
翻	翻	fāan
番	番	fāan
反	反	fáan
返	返	fáan
犯	犯	fáan
贩	販	faan/fáan
泛	泛	faan/faahn
繁	繁	fàahn
帆	帆	fàahn
凡	凡	fàahn
烦	煩	fàahn
钒	釩	fàahn
藩	藩	fàahn
樊	樊	fàahn
矾	礬	fàahn
蕃	蕃	fàahn
梵	梵	fàahn/faahn
瓣	瓣	faahn
饭	飯	faahn
范	範	faahn
犯	犯	faahn
范	范	faahn
珐	琺	faat
发	髮	faat
法	法	faat
发	發	faat
晖	暉	fāi
挥	揮	fāi
辉	輝	fāi
徽	徽	fāi
撝	撝	fāi
沸	沸	fai
废	廢	fai
肺	肺	fai
费	費	fai
狒	狒	fai
吠	吠	faih
婚	婚	fān
薰	薰	fān
氛	氛	fān
纷	紛	fān
分	分	fān
熏	熏	fān
熏	燻	fān
醺	醺	fān
荤	葷	fān
昏	昏	fān
酚	酚	fān
芬	芬	fān
吩	吩	fān
勋	勳	fān
粉	粉	fán
粪	糞	fan
训	訓	fan
坟	墳	fàhn
焚	焚	fàhn
愤	憤	fáhn
奋	奮	fáhn
忿	忿	fáhn
份	份	fahn
分	分	fahn
汾	汾	fàhn
拂	拂	fāt
惚	惚	fāt
囫	囫	fāt
弗	弗	fāt
忽	忽	fāt
窟	窟	fāt
氟	氟	fāt
笏	笏	fāt
佛	彿	fāt
伐	伐	faht
筏	筏	faht
佛	佛	faht
阀	閥	faht
乏	乏	faht
罚	罰	faht
否	否	fáu
浮	浮	fàuh
阜	阜	fauh
啡	啡	fē
非	非	fēi
飞	飛	fēi
妃	妃	fēi
绯	緋	fēi
鲱	鯡	fēi
菲	菲	fēi
蜚	蜚	fēi
扉	扉	fēi
霏	霏	fēi
斐	斐	féi
翡	翡	féi
匪	匪	féi
诽	誹	féi
榧	榧	féi
悱	悱	féi
腓	腓	fèih
肥	肥	fèih
科	科	fō
蝌	蝌	fō
伙	伙	fó
火	火	fó
颗	顆	fó
伙	夥	fó
课	課	fo
货	貨	fo
攫	攫	fok
霍	霍	fok
方	方	fōng
荒	荒	fōng
芳	芳	fōng
慌	慌	fōng
坊	坊	fōng
谎	謊	fōng
肪	肪	fōng
邡	邡	fōng
恍	恍	fóng
幌	幌	fóng
纺	紡	fóng
访	訪	fóng
仿	彷	fóng
晃	晃	fóng
仿	仿	fóng
况	況	fong
放	放	fong
妨	妨	fòhng
房	房	fòhng
防	防	fòhng
俘	俘	fū
枯	枯	fū
呼	呼	fū
麸	麩	fū
孵	孵	fū
肤	膚	fū
孚	孚	fū
敷	敷	fū
夫	夫	fū
骷	骷	fū
轷	軤	fū
唬	唬	fú
腑	腑	fú
抚	撫	fú
釜	釜	fú
拊	拊	fú
琥	琥	fú
俯	俯	fú
甫	甫	fú
斧	斧	fú
府	府	fú
虎	虎	fú
苦	苦	fú
富	富	fu
赋	賦	fu
库	庫	fu
副	副	fu
裤	褲	fu
绔	絝	fu
戽	戽	fu
芙	芙	fùh
乎	乎	fùh
扶	扶	fùh
符	符	fùh
妇	婦	fúh
腐	腐	fuh
仆	仆	fuh
赴	赴	fuh
负	負	fuh
附	附	fuh
辅	輔	fuh
父	父	fuh
讣	訃	fuh
咐	咐	fuh
付	付	fuh
傅	傅	fuh
鲋	鮒	fuh
驸	駙	fuh
恢	恢	fuī
魁	魁	fuī
灰	灰	fuī
诙	詼	fuī
奎	奎	fuī/kwāi
鲔	鮪	fuí
悔	悔	fui
诲	誨	fui
晦	晦	fui
复	複	fūk
辐	輻	fūk
覆	覆	fūk
福	福	fūk
幅	幅	fūk
馥	馥	fūk
蝮	蝮	fūk
蝠	蝠	fūk
腹	腹	fūk
伏	伏	fuhk
袱	袱	fuhk
复	復	fuhk
服	服	fuhk
茯	茯	fuhk
宓	宓	fuhk
髋	髖	fūn
獾	貛	fūn
宽	寬	fūn
欢	歡	fūn
款	款	fún
丰	豐	fūng
疯	瘋	fūng
风	風	fūng
烽	烽	fūng
丰	丰	fūng
枫	楓	fūng
峰	峰	fūng
锋	鋒	fūng
蜂	蜂	fūng
封	封	fūng
讽	諷	fung
逢	逢	fùhng
冯	馮	fùhng
缝	縫	fùhng
缝	縫	fùhng/fuhng
凤	鳳	fuhng
奉	奉	fuhng
俸	俸	fuhng/fúng
阔	闊	fut
加	加	gā
珈	珈	gā
迦	迦	gā
家	家	gā
枷	枷	gā
袈	袈	gā
伽	伽	gā
家	傢	gā
嘉	嘉	gā
痂	痂	gā
镓	鎵	gā
噶	噶	gā
贾	賈	gá
架	架	gá
尕	尕	gá
假	假	gá
斝	斝	gá
槚	檟	gá
驾	駕	ga
嫁	嫁	ga
稼	稼	ga
假	假	ga
咖	咖	ga
价	價	ga
架	架	ga
佳	佳	gāai
皆	皆	gāai
街	街	gāai
偕	偕	gāai
秸	秸	gāai
阶	階	gāai
解	解	gáai
蚧	蚧	gáai/gwáai
诫	誡	gaai
介	介	gaai
届	屆	gaai
尬	尬	gaai
界	界	gaai
戒	戒	gaai
芥	芥	gaai
疥	疥	gaai
解	解	gaai
骼	骼	gaak
膈	膈	gaak
革	革	gaak
格	格	gaak
胳	胳	gaak
嗝	嗝	gaak
镉	鎘	gaak
隔	隔	gaak
监	監	gāam
缄	緘	gāam
尴	尷	gāam/gaam
减	減	gáam
监	監	gaam
鉴	鑑	gaam
奸	奸	gāan
间	間	gāan
奸	姦	gāan
艰	艱	gāan
柬	柬	gáan
拣	揀	gáan
简	簡	gáan
茧	繭	gáan
