开放粤语字典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［耶鲁拼音］
购	購	kau/gau
裘	裘	kàuh
毬	毬	kàuh
球	球	kàuh
求	求	kàuh
仇	仇	kàuh
虬	虯	kàuh
犰	犰	kàuh
逑	逑	kàuh
舅	舅	káuh/kau
臼	臼	káuh/kau
茄	茄	ké
骑	騎	kèh
瘸	瘸	kèh
蹊	蹊	kēi
崎	崎	kēi
暨	暨	kei
冀	冀	kei
骥	驥	kei
耆	耆	kèih
鳍	鰭	kèih
俟	俟	kèih
旗	旗	kèih
奇	奇	kèih
岐	岐	kèih
棋	棋	kèih
琪	琪	kèih
旂	旂	kèih
琦	琦	kèih
歧	歧	kèih
淇	淇	kèih
祈	祈	kèih
其	其	kèih
萁	萁	kèih
麒	麒	kèih
期	期	kèih
祺	祺	kèih
祁	祁	kèih
蕲	蘄	kèih
企	企	kéih
屐	屐	kehk
剧	劇	kehk
驱	驅	kēui
躯	軀	kēui
岖	嶇	kēui
拘	拘	kēui
驹	駒	kēui
祛	祛	kēui
俱	俱	kēui
区	區	kēui
璩	璩	kèuih
蠼	蠼	kèuih
瞿	瞿	kèuih
渠	渠	kèuih
衢	衢	kèuih
朐	朐	kèuih
距	距	kéuih
拒	拒	kéuih
却	卻	keuk
噱	噱	keuhk
强	強	keùhng
强	強	keúhng
羟	羥	keúhng
黔	黔	kìhm
钳	鉗	kìhm
虔	虔	kìhn
掮	掮	kìhn
乾	乾	kìhn
犍	犍	kìhn
倾	傾	kīng
顷	頃	kíng
琼	瓊	kìhng
擎	擎	kìhng
鲸	鯨	kìhng
黥	黥	kìhng
黠	黠	kit
孑	孑	kit
揭	揭	kit
诘	詰	kit
羯	羯	kit
竭	竭	kit
锲	鍥	kit
颉	頡	kit
撷	擷	kit/git
跷	蹺	kiū/hiū
翘	翹	kiu/hiu
侨	僑	kiùh
桥	橋	kiùh
翘	翹	kiùh
荞	蕎	kiùh
乔	喬	kiùh
跷	蹺	kiúh
丐	丐	koi
溉	溉	koi
钙	鈣	koi
慨	慨	koi
盖	蓋	koi
概	概	koi
忾	愾	koi
欬	欬	koi
确	確	kok
榷	榷	kok
郝	郝	kok
恪	恪	kok
悫	慤	kok
壑	壑	kok
涸	涸	kok
扛	扛	kōng
亢	亢	kong
抗	抗	kong
伉	伉	kong
扩	擴	kong
炕	炕	kong
闶	閌	kong
箍	箍	kū
刽	劊	kuí
贿	賄	kuí
溃	潰	kuí
狯	獪	kuí
聩	聵	kuí
绘	繪	kuí
脍	膾	kuí
鲙	鱠	kuí
侩	儈	kuí
桧	檜	kuí
浍	澮	kuí
郐	鄶	kuí
会	會	kuí/wuih
曲	曲	kūk
曲	麴	kūk
穷	窮	kùhng
穹	穹	kùhng
邛	邛	kùhng
豁	豁	kut
聒	聒	kut
蛞	蛞	kut
括	括	kut
垮	垮	kwā
夸	夸	kwā
夸	誇	kwā
侉	侉	kwá
胯	胯	kwa
跨	跨	kwa
挎	挎	kwa
框	框	kwāang/hōng
逛	逛	kwaang
亏	虧	kwāi
窥	窺	kwāi
盔	盔	kwāi
规	規	kwāi
岿	巋	kwāi
畦	畦	kwàih
携	攜	kwàih
睽	睽	kwàih
馗	馗	kwàih
喹	喹	kwàih
暌	暌	kwàih
夔	夔	kwàih
葵	葵	kwàih
揆	揆	kwàih/kwáih
愧	愧	kwáih
坤	坤	kwān
昆	昆	kwān
昆	崑	kwān
髡	髡	kwān
焜	焜	kwān/wahn
菌	菌	kwán
捆	捆	kwán
困	困	kwan
窘	窘	kwan
困	睏	kwan
群	群	kwàhn
裙	裙	kwàhn
扩	擴	kwok
旷	曠	kwong
矿	礦	kwong/kong
邝	鄺	kwong/kong
狂	狂	kwòhng
蜷	蜷	kyùhn
颧	顴	kyùhn
拳	拳	kyùhn
权	權	kyùhn
鬈	鬈	kyùhn
獗	獗	kyut
决	決	kyut
诀	訣	kyut
缺	缺	kyut
抉	抉	kyut
蹶	蹶	kyut
厥	厥	kyut
孓	孓	kyut
蕨	蕨	kyut
撅	撅	kyut
阙	闕	kyut
橛	橛	kyut/gyuht
啦	啦	lā
喇	喇	lā
拉	拉	lā
喇	喇	la
拉	拉	lāai
癞	癩	laai
赖	賴	laaih
籁	籟	laaih
落	落	laaih
篮	籃	làahm
褴	襤	làahm
婪	婪	làahm
蓝	藍	làahm
岚	嵐	làahm
览	覽	láahm
揽	攬	láahm
榄	欖	láahm
缆	纜	laahm
滥	濫	laahm
舰	艦	laahm
兰	蘭	làahn
襕	襴	làahn
斓	斕	làahn
栏	欄	làahn
拦	攔	làahn
阑	闌	làahn
澜	瀾	làahn
懒	懶	láahn
烂	爛	laahn
冷	冷	láahng
立	立	laahp
蜡	蠟	laahp
垃	垃	laahp
腊	臘	laahp
砬	砬	laahp
邋	邋	laahp/laaht
辣	辣	laaht
拉	拉	laaht
藜	藜	làih
犂	犂	làih
黎	黎	làih
犁	犁	làih
蠡	蠡	làih/láih
礼	禮	láih
鳢	鱧	láih
醴	醴	láih
澧	澧	láih
励	勵	laih
丽	麗	laih
蛎	蠣	laih
厉	厲	laih
例	例	laih
砺	礪	laih
荔	荔	laih
俪	儷	laih
勒	勒	lahk/laahk
肋	肋	lahk/laahk
鳓	鰳	lahk/laahk
林	林	làhm
啉	啉	làhm
淋	淋	làhm
琳	琳	làhm
霖	霖	làhm
临	臨	làhm
凛	凜	láhm
懔	懍	láhm
笠	笠	lāp
甩	甩	lāt
喽	嘍	lāu
搂	摟	láu
浏	瀏	làuh
榴	榴	làuh
娄	婁	làuh
流	流	làuh
琉	琉	làuh
捞	撈	làuh
刘	劉	làuh
螻	螻	làuh
楼	樓	làuh
硫	硫	làuh
偻	僂	làuh
髅	髏	làuh
瘤	瘤	làuh
留	留	làuh
骝	騮	làuh
篓	簍	láuh
柳	柳	láuh
蹓	蹓	lauh
陋	陋	lauh
漏	漏	lauh
溜	溜	lauh
馏	餾	lauh
遛	遛	lauh
镂	鏤	lauh
咧	咧	lē
哩	哩	lē
咧	咧	lé
璃	璃	lēi
喱	喱	lēi
缡	縭	lèih
璃	璃	lèih
罹	罹	lèih
狸	狸	lèih
梨	梨	lèih
蜊	蜊	lèih
漓	漓	lèih
鲡	鱺	lèih
离	離	lèih
厘	釐	lèih
篱	籬	lèih
俚	俚	léih
履	履	léih
李	李	léih
里	里	léih
鲤	鯉	léih
锂	鋰	léih
逦	邐	léih
理	理	léih
娌	娌	léih
哩	哩	léih/yīng/léih
莉	莉	leih
莅	蒞	leih
利	利	leih
俐	俐	leih
吏	吏	leih
痢	痢	leih
猁	猁	leih
靓	靚	leng
镭	鐳	lèuih
驴	驢	lèuih
闾	閭	lèuih
擂	擂	lèuih
嫘	嫘	lèuih
榈	櫚	lèuih
雷	雷	lèuih
缧	縲	lèuih
累	纍	lèuih
羸	羸	lèuih
骡	騾	lèuih/lòh
褛	褸	léuih
铝	鋁	léuih
缕	縷	léuih
磊	磊	léuih
膂	膂	léuih
侣	侶	léuih
旅	旅	léuih
垒	壘	léuih
吕	呂	léuih
屡	屢	léuih
累	累	léuih
里	裡	léuih
儡	儡	léuih
蕾	蕾	léuih/lèuih
滤	濾	leuih
类	類	leuih
泪	淚	leuih
虑	慮	leuih
累	累	leuih
漯	漯	leuih
戾	戾	leuih
略	略	leuhk
掠	掠	leuhk
卵	卵	leún
麟	麟	leùhn
遴	遴	leùhn
磷	磷	leùhn
论	論	leùhn
粼	粼	leùhn
嶙	嶙	leùhn
鳞	鱗	leùhn
伦	倫	leùhn
仑	崙	leùhn
抡	掄	leùhn
璘	璘	leùhn
沦	淪	leùhn
仑	侖	leùhn
囵	圇	leùhn
轮	輪	leùhn
邻	鄰	leùhn
纶	綸	leùhn
论	論	leuhn
吝	吝	leuhn
躏	躪	leuhn
蔺	藺	leuhn
两	兩	leúng
梁	梁	leùhng
凉	涼	leùhng
量	量	leùhng
粮	糧	leùhng
粱	粱	leùhng
良	良	leùhng
莨	莨	leùhng
魉	魎	leúhng
俩	倆	leúhng
两	兩	leúhng
谅	諒	leuhng
踉	踉	leuhng
辆	輛	leuhng
量	量	leuhng
亮	亮	leuhng
鹬	鷸	leuht
栗	慄	leuht
傈	傈	leuht
律	律	leuht
率	率	leuht
栗	栗	leuht
篥	篥	leuht
溧	溧	leuht
哩	哩	lī
雳	靂	līk
砾	礫	līk
枥	櫪	līk
沥	瀝	līk/lihk
历	歷	lihk
历	曆	lihk
力	力	lihk
令	令	līm
帘	簾	lìhm
帘	帘	lìhm
镰	鐮	lìhm
廉	廉	lìhm
殓	殮	líhm
脸	臉	líhm
敛	斂	lihm
裣	襝	lihm
链	鏈	lìhn
连	連	lìhn
莲	蓮	lìhn
涟	漣	lìhn
怜	憐	lìhn
辇	輦	líhn
撵	攆	líhn
炼	煉	lihn
练	練	lihn
绫	綾	lìhng
棱	稜	lìhng
羚	羚	lìhng
苓	苓	lìhng
呤	呤	lìhng
櫺	櫺	lìhng
翎	翎	lìhng
菱	菱	lìhng
零	零	lìhng
铃	鈴	lìhng
灵	靈	lìhng
鲮	鯪	lìhng
玲	玲	lìhng
囹	囹	lìhng
凌	凌	lìhng
龄	齡	lìhng
聆	聆	lìhng
陵	陵	lìhng
令	令	lìhng
伶	伶	lìhng
蛉	蛉	lìhng
领	領	líhng/léhng
岭	嶺	líhng/léhng
令	令	lihng
另	另	lihng
愣	愣	lihng
猎	獵	lihp
鬣	鬣	lihp
裂	裂	liht
烈	烈	liht
列	列	liht
捩	捩	liht
冽	冽	liht
撩	撩	liū
溜	溜	liū
撂	撂	liū
嘹	嘹	liùh
缭	繚	liùh
辽	遼	liùh
僚	僚	liùh
镣	鐐	liùh
獠	獠	liùh
寮	寮	liùh
瞭	瞭	liùh
燎	燎	liùh
撩	撩	liùh
疗	療	liùh
聊	聊	liùh
寥	寥	liùh
了	瞭	liúh
了	了	liúh
潦	潦	liúh/liú
料	料	liuh
廖	廖	liuh
尥	尥	liuh
囉	囉	lō
咯	咯	lō
旯	旯	lō/lok
裸	裸	ló
猡	玀	lòh
逻	邏	lòh
罗	羅	lòh
锣	鑼	lòh
箩	籮	lòh
萝	蘿	lòh
螺	螺	lòh/ló
莱	萊	lòih
来	來	lòih
徕	徠	lòih
涞	淶	lòih
崃	崍	lòih
睐	睞	loih
赉	賚	loih
耒	耒	loih/leuih
络	絡	lok
烙	烙	lok
铬	鉻	lok
饹	餎	lok
珞	珞	lok
酪	酪	lok
洛	洛	lok/lohk
骆	駱	lok/lohk
乐	樂	lohk
落	落	lohk
啷	啷	lōng
郎	郎	lóng
狼	狼	lòhng
琅	瑯	lòhng
郎	郎	lòhng
廊	廊	lòhng
螂	螂	lòhng
锒	鋃	lòhng
榔	榔	lòhng
莨	莨	lòhng
朗	朗	lóhng
晾	晾	lohng
浪	浪	lohng
蒗	蒗	lohng
阆	閬	lohng/lòhng
捞	撈	lōu
噜	嚕	lōu
佬	佬	lóu
胪	臚	lòuh
痨	癆	lòuh
颅	顱	lòuh
卢	盧	lòuh
炉	爐	lòuh
庐	廬	lòuh
劳	勞	lòuh
牢	牢	lòuh
醪	醪	lòuh
芦	蘆	lòuh
轳	轤	lòuh
唠	嘮	lòuh
鲈	鱸	lòuh
泸	瀘	lòuh
老	老	lóuh
姥	姥	lóuh
掳	擄	lóuh
鲁	魯	lóuh
卤	鹵	lóuh
虏	虜	lóuh
卤	滷	lóuh
橹	櫓	lóuh
露	露	louh
璐	璐	louh
路	路	louh
涝	澇	louh
鹭	鷺	louh
劳	勞	louh
赂	賂	louh
辂	輅	louh
潞	潞	louh
嫪	嫪	louh
麓	麓	lūk
辘	轆	lūk
碌	碌	lūk
禄	祿	luhk
戮	戮	luhk
氯	氯	luhk
六	六	luhk
录	錄	luhk
碌	碌	luhk
陆	陸	luhk
绿	綠	luhk
鹿	鹿	luhk
漉	漉	luhk
眬	矓	lùhng
隆	隆	lùhng
胧	朧	lùhng
龙	龍	lùhng
笼	籠	lùhng
珑	瓏	lùhng
昽	曨	lùhng
窿	窿	lùhng
咙	嚨	lùhng
聋	聾	lùhng
茏	蘢	lùhng
笼	籠	lúhng
拢	攏	lúhng
垄	壟	lúhng
陇	隴	lúhng
弄	弄	luhng
恋	戀	lyún
脔	臠	lyún/lyùhn
鸾	鸞	lyùhn
峦	巒	lyùhn
挛	攣	lyùhn
孪	孿	lyùhn
联	聯	lyùhn
栾	欒	lyùhn
滦	灤	lyùhn
乱	亂	lyuhn
捋	捋	lyut
劣	劣	lyut/lyuht
妈	媽	mā
嬷	嬤	mā
吗	嗎	mā/ma
嘛	嘛	ma
麻	麻	màh
蟆	蟆	màh
麻	痲	màh
犸	獁	máh
马	馬	máh
码	碼	máh
玛	瑪	máh
蚂	螞	máh
骂	罵	mah
埋	埋	màaih
霾	霾	màaih/màih
荬	蕒	máaih
买	買	máaih
卖	賣	maaih
迈	邁	maaih
擘	擘	maak
馒	饅	màahn
蛮	蠻	màahn
鳗	鰻	màahn
谩	謾	màahn
蔓	蔓	màahn
晚	晚	máahn
幔	幔	maahn
万	萬	maahn
曼	曼	maahn
漫	漫	maahn
慢	慢	maahn
谩	謾	maahn
嫚	嫚	maahn
镘	鏝	maahn
蔓	蔓	maahn
墁	墁	maahn
缦	縵	maahn
熳	熳	maahn
绷	繃	māang
盲	盲	màahng
锰	錳	máahng
蜢	蜢	máahng
猛	猛	máahng
勐	勐	máahng
孟	孟	maahng
猫	貓	māau
矛	矛	màauh
茅	茅	màauh
卯	卯	máauh
铆	鉚	máauh
袤	袤	maauh
懋	懋	maauh
貌	貌	maauh
咪	咪	māi/mēi
谜	謎	màih
醚	醚	màih
眯	瞇	màih
迷	迷	màih
米	米	máih
袂	袂	maih
麦	麥	mahk
脉	脈	mahk
陌	陌	mahk
墨	墨	mahk
万	万	mahk
默	默	mahk
蓦	驀	mahk
貘	貘	mahk
蚊	蚊	mān
文	文	màhn
民	民	màhn
闻	聞	màhn
氓	氓	màhn
玟	玟	màhn
纹	紋	màhn
雯	雯	màhn
缗	緡	màhn
岷	岷	màhn
旻	旻	màhn
忞	忞	màhn
珉	珉	màhn
苠	苠	màhn
泯	泯	máhn
敏	敏	máhn
抿	抿	máhn
悯	憫	máhn
刎	刎	máhn
闽	閩	máhn
闵	閔	máhn
吻	吻	máhn
渑	澠	máhn
鳘	鰵	máhn
黾	黽	máhn
愍	愍	máhn
湣	湣	máhn
紊	紊	mahn
汶	汶	mahn
问	問	mahn
萌	萌	màhng
盟	盟	màhng
嘧	嘧	maht
密	密	maht
勿	勿	maht
蜜	蜜	maht
物	物	maht
袜	襪	maht
谧	謐	maht
宓	宓	maht
哞	哞	māu
谋	謀	màuh
牟	牟	màuh
眸	眸	màuh
缪	繆	màuh
牡	牡	máuh
某	某	máuh
亩	畝	máuh
贸	貿	mauh
茂	茂	mauh
谬	謬	mauh
哶	哶	mē
微	微	mèih
楣	楣	mèih
嵋	嵋	mèih
靡	靡	mèih
蘼	蘼	mèih
眉	眉	mèih
麋	麋	mèih
薇	薇	mèih
湄	湄	mèih
弥	瀰	mèih/nèih
猕	獼	mèih/nèih
尾	尾	méih
镁	鎂	méih
美	美	méih
娓	娓	méih
媺	媺	méih
魅	魅	meih
媚	媚	meih
寐	寐	meih
味	味	meih
未	未	meih
命	命	mehng
觅	覓	mihk
幂	冪	mihk
汨	汨	mihk
鼏	鼏	mihk
眠	眠	mìhn
棉	棉	mìhn
绵	綿	mìhn
缅	緬	míhn
腼	靦	míhn
免	免	míhn
娩	娩	míhn
冕	冕	míhn
勉	勉	míhn
面	面	mihn
面	麵	mihn
名	名	mìhng
明	明	mìhng
冥	冥	mìhng
鸣	鳴	mìhng
洺	洺	mìhng
溟	溟	mìhng
螟	螟	mìhng
瞑	瞑	mìhng/míhng
铭	銘	mìhng/míhng
暝	暝	mìhng/mihng
皿	皿	míhng
酩	酩	míhng
茗	茗	míhng/mìhng
命	命	mihng
蔑	蔑	miht
篾	篾	miht
灭	滅	miht
蔑	衊	miht
喵	喵	miū
瞄	瞄	miùh
苗	苗	miùh
描	描	miùh
杳	杳	miúh
渺	渺	miúh
缈	緲	miúh
秒	秒	miúh
邈	邈	miúh
藐	藐	miúh
淼	淼	miúh
庙	廟	miuh
妙	妙	miuh
摩	摩	mō
么	麼	mō
魔	魔	mō
摸	摸	mó
磨	磨	mòh
蘑	蘑	mòh
馍	饃	mòh
剥	剝	mōk
漠	漠	mohk
膜	膜	mohk
幕	幕	mohk
莫	莫	mohk
寞	寞	mohk
铓	鋩	mòhng
亡	亡	mòhng
氓	氓	mòhng
忙	忙	mòhng
芒	芒	mòhng
莽	莽	mòhng
茫	茫	mòhng
忘	忘	mòhng
虻	虻	mòhng
罔	罔	móhng
妄	妄	móhng
惘	惘	móhng
蟒	蟒	móhng
网	網	móhng
魍	魍	móhng
辋	輞	móhng
望	望	mohng
模	模	mòuh
髦	髦	mòuh
摹	摹	mòuh
谟	謨	mòuh
膜	膜	mòuh
诬	誣	mòuh
毛	毛	mòuh
无	無	mòuh
芜	蕪	mòuh
毋	毋	mòuh
巫	巫	mòuh
牦	氂	mòuh/lèih
姆	姆	móuh
侮	侮	móuh
武	武	móuh
母	母	móuh
鹉	鵡	móuh
妩	嫵	móuh
拇	拇	móuh
舞	舞	móuh
暮	暮	mouh
瑁	瑁	mouh
雾	霧	mouh
帽	帽	mouh
慕	慕	mouh
募	募	mouh
冒	冒	mouh
骛	騖	mouh
耄	耄	mouh
务	務	mouh
墓	墓	mouh
鹜	鶩	mouh
戊	戊	mouh
婺	婺	mouh
梅	梅	muìh
媒	媒	muìh
煤	煤	muìh
玫	玫	muìh
枚	枚	muìh
霉	霉	muìh
莓	莓	muìh
酶	酶	muìh
每	每	muíh
妹	妹	muih
昧	昧	muih
钼	鉬	muhk
木	木	muhk
牧	牧	muhk
睦	睦	muhk
沐	沐	muhk
苜	苜	muhk
目	目	muhk
仫	仫	muhk
穆	穆	muhk
门	門	mùhn
们	們	mùhn
瞒	瞞	mùhn
扪	捫	mùhn
鞔	鞔	mùhn
满	滿	múhn
螨	蟎	múhn
闷	悶	muhn
焖	燜	muhn
曚	曚	mùhng
蒙	矇	mùhng
朦	朦	mùhng
蒙	蒙	mùhng
蒙	濛	mùhng
檬	檬	mùhng
蠓	蠓	múhng
懵	懵	múhng/múng
梦	夢	muhng
沫	沫	mut
抹	抹	mut/maat
末	末	muht
没	沒	muht
茉	茉	muht
靺	靺	muht
殁	歿	muht
哪	哪	nā
哪	哪	nàh
娜	娜	nàh
拿	拿	nàh
南	南	nàh
那	那	náh
哪	哪	náh
氖	氖	náaih
乃	乃	náaih
鼐	鼐	náaih
奶	奶	náaih
南	南	nàahm
囡	囡	nàahm
喃	喃	nàahm
楠	楠	nàahm
男	男	nàahm
腩	腩	náahm
难	難	nàahn
赧	赧	náahn
难	難	naahn
钠	鈉	naahp
呐	吶	naahp
纳	納	naahp
衲	衲	naahp
捺	捺	naaht
孬	孬	nāau
桡	橈	nàauh
铙	鐃	nàauh
锚	錨	nàauh
挠	撓	nàauh
猱	猱	nàauh
闹	鬧	naauh
淖	淖	naauh
泥	泥	nàih
呢	呢	nàih/nèih
稔	稔	náhm
能	能	nàhng
粒	粒	nāp/lāp
纽	紐	náu
朽	朽	náu
钮	鈕	náu
扭	扭	náu
妞	妞	náu
狃	狃	náu
呢	呢	nē
妮	妮	nèih
怩	怩	nèih
弥	彌	nèih
铌	鈮	nèih
尼	尼	nèih
旎	旎	néih
您	您	néih
你	妳	néih
你	你	néih
饵	餌	neih
腻	膩	neih
钕	釹	néuih
馁	餒	néuih
女	女	néuih/léuih
娘	娘	neùhng
讷	訥	neuht/naahp
嗯	嗯	ńg
蜈	蜈	ǹgh
鼯	鼯	ǹgh
梧	梧	ǹgh
吾	吾	ǹgh
吴	吳	ǹgh
伍	伍	ńgh
牾	牾	ńgh
午	午	ńgh
忤	忤	ńgh
五	五	ńgh
焐	焐	ngh
晤	晤	ngh
误	誤	ngh
嗯	嗯	ngh
捂	摀	ngh
悟	悟	ngh
芽	芽	ngàh
衙	衙	ngàh
牙	牙	ngàh
雅	雅	ngáh
佤	佤	ngáh
瓦	瓦	ngáh
讶	訝	ngah
挨	捱	ngàaih
涯	涯	ngàaih
崖	崖	ngàaih
睚	睚	ngàaih
厓	厓	ngàaih
艾	艾	ngaaih
刈	刈	ngaaih
砹	砹	ngaaih
额	額	ngaahk
岩	岩	ngàahm
癌	癌	ngàahm
颜	顏	ngàahn
眼	眼	ngáahn
雁	雁	ngaahn
赝	贗	ngaahn
硬	硬	ngaahng
肴	餚	ngàauh
爻	爻	ngàauh
淆	淆	ngàauh
咬	咬	ngáauh
倪	倪	ngàih
猊	猊	ngàih
霓	霓	ngàih
巍	巍	ngàih
危	危	ngàih
蚁	蟻	ngáih
艺	藝	ngaih
毅	毅	ngaih
呓	囈	ngaih
诣	詣	ngaih
魏	魏	ngaih
羿	羿	ngaih
伪	偽	ngaih
睨	睨	ngaih
银	銀	ngàhn
垠	垠	ngàhn
龈	齦	ngàhn
龂	齗	ngàhn
沂	沂	ngàhn
屹	屹	ngaht
迄	迄	ngaht
兀	兀	ngaht
杌	杌	ngaht
圪	圪	ngaht
勾	勾	ngāu
牛	牛	ngàuh
藕	藕	ngáuh
偶	偶	ngáuh
啮	齧	ngiht/ngaaht
娥	娥	ngòh
俄	俄	ngòh
讹	訛	ngòh
鹅	鵝	ngòh
哦	哦	ngòh
莪	莪	ngòh
蛾	蛾	ngòh
峨	峨	ngòh
我	我	ngóh
卧	臥	ngoh
饿	餓	ngoh
呆	呆	ngòih
碍	礙	ngoih
外	外	ngoih
鄂	鄂	ngohk
噩	噩	ngohk
愕	愕	ngohk
岳	嶽	ngohk
颚	顎	ngohk
鳄	鱷	ngohk
乐	樂	ngohk
岳	岳	ngohk
岸	岸	ngohn
犴	犴	ngohn
肮	骯	ngōng/ngong
盎	盎	ngong/ngóng
昂	昂	ngòhng
懊	懊	ngou
澳	澳	ngou
奥	奧	ngou
袄	襖	ngou/ngóu
螯	螯	ngòuh
骜	驁	ngòuh
獒	獒	ngòuh
敖	敖	ngòuh
翱	翱	ngòuh
鳌	鰲	ngòuh
熬	熬	ngòuh/ngàuh
遨	遨	ngòuh/ngouh
傲	傲	ngouh
昵	暱	nīk
匿	匿	nīk
溺	溺	nīk/nihk
拈	拈	nīm
粘	粘	nīm/jīm
黏	黏	nīm/jīm
捻	捻	ním
鲇	鯰	nìhm
念	念	nihm
念	唸	nihm
廿	廿	nihm
年	年	nìhn
碾	碾	níhn
宁	寧	nìhng
狞	獰	nìhng
咛	嚀	nìhng
柠	檸	nìhng
佞	佞	nihng
拧	擰	nihng
泞	濘	nihng
镍	鎳	nīp
聂	聶	nihp
颞	顳	nihp
捏	捏	nihp
镊	鑷	nihp
涅	涅	nihp
蹑	躡	nihp
陧	隉	nihp
袅	裊	niúh
鸟	鳥	niúh
尿	尿	niuh
溺	溺	niuh
挪	挪	nòh
挼	挼	nòh
糯	糯	noh
懦	懦	noh
奈	奈	noih
耐	耐	noih
内	內	noih
诺	諾	nohk
囊	囊	nòhng
囔	囔	nòhng
馕	饢	nòhng
瓤	瓤	nòhng
馕	饢	nóhng
齉	齉	nohng
奴	奴	nòuh
瑙	瑙	nóuh
弩	弩	nóuh
恼	惱	nóuh
脑	腦	nóuh
努	努	nóuh/lóuh
怒	怒	nouh
忸	忸	nuhk/náu
侬	儂	nùhng
脓	膿	nùhng
浓	濃	nùhng
农	農	nùhng
暖	暖	nyúhn
嫩	嫩	nyuhn
婀	婀	ō
噢	噢	ō
喔	喔	ō
轲	軻	ō
柯	柯	ō
珂	珂	ō
阿	阿	ō
哦	哦	òh
哦	哦	oh
埃	埃	ōi
哀	哀	ōi
蔼	藹	ói
暧	曖	ói
叆	靉	ói
毐	毐	ói
爱	愛	oi
瑷	璦	oi
恶	惡	ok
垩	堊	ok
恶	噁	ok
安	安	ōn
鞍	鞍	ōn
氨	氨	ōn
铵	銨	ōn
胺	胺	ōn
桉	桉	ōn
案	案	on
按	按	on
摁	摁	on
媪	媼	óu
趴	趴	pā
怕	怕	pa
耙	耙	pàh
扒	扒	pàh
爬	爬	pàh
杷	杷	pàh
琶	琶	pàh
派	派	paai
哌	哌	paai
湃	湃	paai/baai
排	排	pàaih
俳	俳	pàaih
牌	牌	pàaih
啪	啪	pāak
珀	珀	paak
拍	拍	paak
柏	柏	paak
帕	帕	paak
魄	魄	paak
扳	扳	pāan
攀	攀	pāan
盼	盼	paan
袢	袢	paan
烹	烹	pāang
澎	澎	pāang
彭	彭	pàahng
鹏	鵬	pàahng
硼	硼	pàahng
澎	澎	pàahng
棚	棚	pàahng
膨	膨	pàahng
棒	棒	páahng
脬	脬	pāau
抛	拋	pāau
泡	泡	pāau
跑	跑	páau
豹	豹	paau
疱	疱	paau
炮	炮	paau
泡	泡	paau
咆	咆	pàauh
匏	匏	pàauh
庖	庖	pàauh
刨	刨	pàauh
狍	麅	pàauh
批	批	pāi
睥	睥	páih
喷	噴	pan
贫	貧	pàhn
颦	顰	pàhn
嫔	嬪	pàhn
频	頻	pàhn
牝	牝	páhn
凭	憑	pàhng
朋	朋	pàhng
疋	疋	pāt
匹	匹	pāt
剖	剖	páu
抔	抔	pàuh
呸	呸	pēi
丕	丕	pēi
披	披	pēi
纰	紕	pēi
狉	狉	pēi
痞	痞	péi
仳	仳	péi
吡	吡	péi
否	否	péi
鄙	鄙	péi
圮	圮	péi
譬	譬	pei
屁	屁	pei
濞	濞	pei
媲	媲	pei/béi
貔	貔	pèih
毗	毗	pèih
疲	疲	pèih
琵	琵	pèih
脾	脾	pèih
枇	枇	pèih
皮	皮	pèih
蜱	蜱	pèih
郫	郫	pèih
邳	邳	pèih
被	被	péih
婢	婢	péih
劈	劈	pek
辟	闢	pīk
辟	辟	pīk
癖	癖	pīk
僻	僻	pīk
霹	霹	pīk
扁	扁	pīn
编	編	pīn
偏	偏	pīn
翩	翩	pīn
篇	篇	pīn
蝙	蝙	pīn/bīn
片	片	pín
片	片	pín
骗	騙	pin
遍	遍	pin
片	片	pin
骈	駢	pìhn
便	便	pìhn
砰	砰	pīng
姘	姘	pīng
怦	怦	pīng
娉	娉	pīng
抨	抨	pīng
拼	拼	pīng/ping
聘	聘	ping
苹	蘋	pìhng
坪	坪	pìhng
屏	屏	pìhng
平	平	pìhng
萍	萍	pìhng
瓶	瓶	pìhng
评	評	pìhng
撇	撇	pit
瞥	瞥	pit
缥	縹	piū
飘	飄	piū
漂	漂	piū
嘌	嘌	piū
漂	漂	piu
票	票	piu
剽	剽	piu/piúh
嫖	嫖	piùh
瓢	瓢	piùh
朴	朴	piùh
瞟	瞟	piúh
鳔	鰾	piúh
颇	頗	pō
坡	坡	pō/bō
棵	棵	pō/fó
颇	頗	pó
笸	笸	pó
叵	叵	pó
破	破	po
婆	婆	pòh
鄱	鄱	pòh/bo
璞	璞	pok
朴	樸	pok
噗	噗	pok
扑	撲	pok
钋	釙	pok
粕	粕	pok/paak
谤	謗	pong
膀	膀	pòhng
彷	彷	pòhng
庞	龐	pòhng
螃	螃	pòhng
滂	滂	pòhng
旁	旁	pòhng
磅	磅	pòhng
蚌	蚌	póhng
铺	鋪	pōu
谱	譜	póu
溥	溥	póu
浦	浦	póu
普	普	póu
脯	脯	póu/fú
铺	舖	pou
菩	菩	pòuh
蒲	蒲	pòuh
莆	莆	pòuh
葡	葡	pòuh
脯	脯	pòuh
匍	匍	pòuh
袍	袍	pòuh
抱	抱	póuh
泡	泡	póuh
胚	胚	puī
坯	坯	puī
霈	霈	pui
配	配	pui
