开放粤语字典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［广州拼音］
楂	楂	za1
咱	咱	za1
抓	抓	za1/zao2
榨	榨	za3
咤	咤	za3
炸	炸	za3
诈	詐	za3
咋	咋	za3
乍	乍	za3
蚱	蚱	za3/zag3
嵖	嵖	za6
膪	膪	za6
咂	咂	zab3
砸	砸	zab3
匝	匝	zab3
眨	眨	zab3
杂	雜	zab6
袭	襲	zab6
隰	隰	zab6
习	習	zab6
集	集	zab6
闸	閘	zab6
什	什	zab6
拶	拶	zad3
札	札	zad3
扎	扎	zad3
轧	軋	zad3
铡	鍘	zad3
紮	紮	zad3
责	責	zag3
窄	窄	zag3
啧	嘖	zag3
掷	擲	zag6
泽	澤	zag6
择	擇	zag6
宅	宅	zag6
谪	謫	zag6
踯	躑	zag6
摘	摘	zag6
斋	齋	zai1
赍	齎	zai1
债	債	zai3
寨	寨	zai6
眦	眥	zai6
崭	嶄	zam2
斩	斬	zam2
湛	湛	zam3
蘸	蘸	zam3
站	站	zam6
錾	鏨	zam6
暂	暫	zam6
攒	攢	zan2
盏	盞	zan2
趱	趲	zan2
赞	讚	zan3
赞	贊	zan3
绽	綻	zan6
栈	棧	zan6
赚	賺	zan6
馔	饌	zan6
撰	撰	zan6
挣	掙	zang6
嘲	嘲	zao1
找	找	zao2
爪	爪	zao2
罩	罩	zao3
汁	汁	zeb1
执	執	zeb1
质	質	zed1
疾	疾	zed6
蛰	蟄	zed6
侄	姪	zed6
桎	桎	zed6
蛭	蛭	zed6
嫉	嫉	zed6
窒	窒	zed6
仄	仄	zeg1
昃	昃	zeg1
侧	側	zeg1
则	則	zeg1
剂	劑	zei1
齑	齏	zei1
挤	擠	zei1
跻	躋	zei1
仔	仔	zei2
济	濟	zei2
霁	霽	zei3
际	際	zei3
制	制	zei3
掣	掣	zei3
祭	祭	zei3
济	濟	zei3
制	製	zei3
滞	滯	zei6
簪	簪	zem1
箴	箴	zem1
针	針	zem1
斟	斟	zem1
砧	砧	zem1
怎	怎	zem2
枕	枕	zem2
浸	浸	zem3
枕	枕	zem3
鸩	鴆	zem6
朕	朕	zem6
真	真	zen1
胗	胗	zen1
珍	珍	zen1
疹	疹	zen2
轸	軫	zen2/cen2
圳	圳	zen3
镇	鎮	zen3
震	震	zen3
振	振	zen3
赈	賑	zen3
阵	陣	zen6
增	增	zeng1
僧	僧	zeng1
曾	曾	zeng1
筝	箏	zeng1
峥	崢	zeng1
铮	錚	zeng1
憎	憎	zeng1
挣	掙	zeng1/zang1
睁	睜	zeng1/zang1
争	爭	zeng1/zang1
狰	猙	zeng1/zang1
赠	贈	zeng6
诌	謅	zeo1
邹	鄒	zeo1
洲	洲	zeo1
周	週	zeo1
揪	揪	zeo1
州	州	zeo1
周	周	zeo1
陬	陬	zeo1
辀	輈	zeo1
诹	諏	zeo1
舟	舟	zeo1
酒	酒	zeo2
帚	帚	zeo2
走	走	zeo2
肘	肘	zeo2
揍	揍	zeo3
奏	奏	zeo3
咒	咒	zeo3
皱	皺	zeo3
绉	縐	zeo3
昼	晝	zeo3
就	就	zeo6
鹫	鷲	zeo6
冑	冑	zeo6
宙	宙	zeo6
骤	驟	zeo6
岫	岫	zeo6
袖	袖	zeo6
纣	紂	zeo6
阻	阻	zo2
俎	俎	zo2
左	左	zo2
佐	佐	zo3
诅	詛	zo3/zo2
唑	唑	zo6
座	座	zo6
助	助	zo6
坐	坐	zo6
作	作	zog3
昨	昨	zog3/zog6
凿	鑿	zog6
擢	擢	zog6
栽	栽	zoi1
灾	災	zoi1
哉	哉	zoi1
宰	宰	zoi2
载	載	zoi2
崽	崽	zoi2
载	載	zoi3
再	再	zoi3
在	在	zoi6
庄	莊	zong1
妆	妝	zong1
桩	樁	zong1
赃	贓	zong1
装	裝	zong1
脏	髒	zong1
驵	駔	zong2
葬	葬	zong3
壮	壯	zong3
戆	戇	zong3/ngong6
撞	撞	zong6
脏	臟	zong6
状	狀	zong6
奘	奘	zong6
藏	藏	zong6
租	租	zou1
糟	糟	zou1
遭	遭	zou1
藻	藻	zou2
早	早	zou2
澡	澡	zou2
枣	棗	zou2
祖	祖	zou2
驵	駔	zou2
蚤	蚤	zou2
组	組	zou2
灶	灶	zou3
皂	皂	zou6
造	造	zou6
做	做	zou6
慥	慥	zou6/cou3
筑	築	zug1
瞩	矚	zug1
竺	竺	zug1
嘱	囑	zug1
烛	燭	zug1
捉	捉	zug1
粥	粥	zug1
祝	祝	zug1
竹	竹	zug1
足	足	zug1
逐	逐	zug6
镯	鐲	zug6
镞	鏃	zug6
躅	躅	zug6
俗	俗	zug6
妯	妯	zug6
续	續	zug6
轴	軸	zug6
浊	濁	zug6
族	族	zug6
宗	宗	zung1
盅	盅	zung1
终	終	zung1
枞	樅	zung1
纵	縱	zung1
钟	鐘	zung1
棕	棕	zung1
中	中	zung1
螽	螽	zung1
鬃	鬃	zung1
忠	忠	zung1
钟	鍾	zung1
踪	蹤	zung1
衷	衷	zung1/cung1
综	綜	zung1/zung3
种	種	zung2
肿	腫	zung2
总	總	zung2
众	眾	zung3
纵	縱	zung3
中	中	zung3
种	種	zung3
粽	粽	zung3/zung2
颂	頌	zung6
重	重	zung6
诵	誦	zung6
讼	訟	zung6
仲	仲	zung6
遮	遮	zé1
嗟	嗟	zé1
者	者	zé2
姐	姐	zé2
蔗	蔗	zé3
柘	柘	zé3
借	借	zé3
这	這	zé5/zé3
谢	謝	zé6
只	隻	zég3
郑	鄭	zéng6/jing6
卒	卒	zêd1
黜	黜	zêd1
怵	怵	zêd1
嚼	嚼	zêg3
着	著	zêg3
鹊	鵲	zêg3
斫	斫	zêg3
灼	灼	zêg3
雀	雀	zêg3
爵	爵	zêg3
酌	酌	zêg3
桌	桌	zêg3/cêg3
勺	勺	zêg3/cêg3
着	著	zêg6
著	著	zêg6
谆	諄	zên1
臻	臻	zên1
榛	榛	zên1
樽	樽	zên1
津	津	zên1
遵	遵	zên1/jun1
准	準	zên2
隼	隼	zên2
尽	儘	zên2
准	准	zên2
骏	駿	zên3
进	進	zên3
晋	晉	zên3
竣	竣	zên3
缙	縉	zên3
俊	俊	zên3
峻	峻	zên3
尽	盡	zên6
烬	燼	zên6
章	章	zêng1
漳	漳	zêng1
张	張	zêng1
浆	漿	zêng1
鄣	鄣	zêng1
将	將	zêng1
蟑	蟑	zêng1
嫜	嫜	zêng1
樟	樟	zêng1
彰	彰	zêng1
獐	獐	zêng1
璋	璋	zêng1
蒋	蔣	zêng2
桨	槳	zêng2
长	長	zêng2
奖	獎	zêng2
掌	掌	zêng2
涨	漲	zêng2/zêng3
将	將	zêng3
账	賬	zêng3
酱	醬	zêng3
瘴	瘴	zêng3
障	障	zêng3
仗	仗	zêng3
帐	帳	zêng3
幛	幛	zêng3
涨	漲	zêng3
嶂	嶂	zêng3
胀	脹	zêng3
仗	仗	zêng6
像	像	zêng6
象	象	zêng6
橡	橡	zêng6
杖	杖	zêng6
匠	匠	zêng6
丈	丈	zêng6
狙	狙	zêu1
追	追	zêu1
椎	椎	zêu1
锥	錐	zêu1
蛆	蛆	zêu1/cêu1
嘴	嘴	zêu2
沮	沮	zêu2
咀	咀	zêu2
龃	齟	zêu2
醉	醉	zêu3
惴	惴	zêu3
赘	贅	zêu3
最	最	zêu3
序	序	zêu6
罪	罪	zêu6
屿	嶼	zêu6
坠	墜	zêu6
溆	漵	zêu6
聚	聚	zêu6
叙	敘	zêu6
缀	綴	zêu6/zêu3
欸	欸	éi1
欸	欸	éi2
欸	欸	éi4
欸	欸	éi6
