开放粤语字典（黄锡凌调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［黄锡凌拼音］
慕	慕	_mou
募	募	_mou
墓	墓	_mou
瑁	瑁	_mou
戊	戊	_mou
婺	婺	_mou
暮	暮	_mou
鹜	鶩	_mou
耄	耄	_mou
骛	騖	_mou
冒	冒	_mou
昧	昧	_mui
妹	妹	_mui
闷	悶	_mun
焖	燜	_mun
殁	歿	_mut
末	末	_mut
没	沒	_mut
靺	靺	_mut
茉	茉	_mut
袂	袂	_mɐi
陌	陌	_mɐk
万	万	_mɐk
墨	墨	_mɐk
默	默	_mɐk
貘	貘	_mɐk
蓦	驀	_mɐk
麦	麥	_mɐk
脉	脈	_mɐk
汶	汶	_mɐn
紊	紊	_mɐn
问	問	_mɐn
宓	宓	_mɐt
嘧	嘧	_mɐt
密	密	_mɐt
勿	勿	_mɐt
蜜	蜜	_mɐt
物	物	_mɐt
袜	襪	_mɐt
谧	謐	_mɐt
贸	貿	_mɐu
谬	謬	_mɐu
茂	茂	_mɐu
漠	漠	_mɔk
寞	寞	_mɔk
莫	莫	_mɔk
膜	膜	_mɔk
幕	幕	_mɔk
望	望	_mɔŋ
命	命	_mɛŋ
命	命	_mɪŋ
沐	沐	_mʊk
睦	睦	_mʊk
牧	牧	_mʊk
穆	穆	_mʊk
仫	仫	_mʊk
木	木	_mʊk
钼	鉬	_mʊk
目	目	_mʊk
苜	苜	_mʊk
梦	夢	_mʊŋ
难	難	_nan
钠	鈉	_nap
纳	納	_nap
衲	衲	_nap
呐	吶	_nap
捺	捺	_nat
淖	淖	_nau
闹	鬧	_nau
腻	膩	_nei
饵	餌	_nei
廿	廿	_nim
念	念	_nim
念	唸	_nim
镊	鑷	_nip
涅	涅	_nip
颞	顳	_nip
蹑	躡	_nip
捏	捏	_nip
陧	隉	_nip
聂	聶	_nip
尿	尿	_niu
溺	溺	_niu
怒	怒	_nou
嫩	嫩	_nyn
讷	訥	_nœt/_nap
懦	懦	_nɔ
糯	糯	_nɔ
奈	奈	_nɔi
内	內	_nɔi
耐	耐	_nɔi
诺	諾	_nɔk
齉	齉	_nɔŋ
佞	佞	_nɪŋ
泞	濘	_nɪŋ
拧	擰	_nɪŋ
忸	忸	_nʊk/´nɐu
伺	伺	_si
视	視	_si
是	是	_si
侍	侍	_si
士	士	_si
事	事	_si
示	示	_si
仕	仕	_si
豉	豉	_si
氏	氏	_si
蚀	蝕	_sik
食	食	_sik
赡	贍	_sim
掸	撣	_sin
善	善	_sin
禅	禪	_sin
鄯	鄯	_sin
单	單	_sin
嬗	嬗	_sin
羡	羨	_sin
擅	擅	_sin
缮	繕	_sin
倩	倩	_sin
膳	膳	_sin
茜	茜	_sin/'sɐi
绍	紹	_siu
肇	肇	_siu
劭	劭	_siu
邵	邵	_siu
兆	兆	_siu
树	樹	_sy
竖	豎	_sy
篆	篆	_syn
顺	順	_sœn
沭	沭	_sœt
述	述	_sœt
术	術	_sœt
粹	粹	_sœy
祟	祟	_sœy
悴	悴	_sœy
遂	遂	_sœy
睡	睡	_sœy
燧	燧	_sœy
邃	邃	_sœy
萃	萃	_sœy
穗	穗	_sœy
瑞	瑞	_sœy
隧	隧	_sœy
瘁	瘁	_sœy/ˏsœy
尚	尚	_sœŋ
上	上	_sœŋ
誓	誓	_sɐi
噬	噬	_sɐi
逝	逝	_sɐi
筮	筮	_sɐi
葚	椹	_sɐm
什	什	_sɐm
甚	甚	_sɐm
慎	慎	_sɐn
蜃	蜃	_sɐn/ˏsɐn
拾	拾	_sɐp
十	十	_sɐp
实	實	_sɐt
绶	綬	_sɐu
授	授	_sɐu
受	受	_sɐu
寿	壽	_sɐu
售	售	_sɐu
射	射	_sɛ
麝	麝	_sɛ
硕	碩	_sɛk
石	石	_sɛk
盛	盛	_sɪŋ
剩	剩	_sɪŋ
嵊	嵊	_sɪŋ
赎	贖	_sʊk
淑	淑	_sʊk
属	屬	_sʊk
塾	塾	_sʊk
孰	孰	_sʊk
蜀	蜀	_sʊk
熟	熟	_sʊk
菽	菽	_sʊk
鲗	鰂	_tsak
贼	賊	_tsak
锃	鋥	_tsaŋ
华	華	_wa
话	話	_wa
桦	樺	_wa/ˌwa
坏	壞	_wai
惑	惑	_wak
划	劃	_wak
画	畫	_wak
或	或	_wak
幻	幻	_wan
宦	宦	_wan
患	患	_wan
滑	滑	_wat
猾	猾	_wat
横	橫	_waŋ
蜮	蜮	_wik
阈	閾	_wik
域	域	_wik
扈	扈	_wu
芋	芋	_wu
互	互	_wu
户	戶	_wu
沪	滬	_wu
护	護	_wu
怙	怙	_wu
祜	祜	_wu
瓠	瓠	_wu/ˌwu
会	會	_wui
汇	匯	_wui
烩	燴	_wui
汇	彙	_wui/_wɐi
会	會	_wui/´wui
奂	奐	_wun
缓	緩	_wun
玩	玩	_wun
焕	煥	_wun
换	換	_wun
唤	喚	_wun
痪	瘓	_wun
活	活	_wut
彗	彗	_wɐi
慧	慧	_wɐi
卫	衛	_wɐi
为	為	_wɐi
猬	蝟	_wɐi
胃	胃	_wɐi
渭	渭	_wɐi
蕙	蕙	_wɐi
谓	謂	_wɐi
惠	惠	_wɐi
位	位	_wɐi
混	混	_wɐn
运	運	_wɐn
诨	諢	_wɐn
郓	鄆	_wɐn
晕	暈	_wɐn
熨	熨	_wɐn
韵	韻	_wɐn/ˏwɐn
鹬	鷸	_wɐt
聿	聿	_wɐt/_lœt
祸	禍	_wɔ
获	穫	_wɔk
镬	鑊	_wɔk
获	獲	_wɔk
旺	旺	_wɔŋ
颍	潁	_wɪŋ
颖	穎	_wɪŋ
泳	泳	_wɪŋ
咏	詠	_wɪŋ
讶	訝	_ŋa
刈	刈	_ŋai
艾	艾	_ŋai
砹	砹	_ŋai
额	額	_ŋak
雁	雁	_ŋan
赝	贗	_ŋan
硬	硬	_ŋaŋ
啮	齧	_ŋit/_ŋat
傲	傲	_ŋou
艺	藝	_ŋɐi
呓	囈	_ŋɐi
睨	睨	_ŋɐi
毅	毅	_ŋɐi
伪	偽	_ŋɐi
魏	魏	_ŋɐi
羿	羿	_ŋɐi
诣	詣	_ŋɐi
兀	兀	_ŋɐt
屹	屹	_ŋɐt
杌	杌	_ŋɐt
圪	圪	_ŋɐt
迄	迄	_ŋɐt
卧	臥	_ŋɔ
饿	餓	_ŋɔ
外	外	_ŋɔi
碍	礙	_ŋɔi
噩	噩	_ŋɔk
颚	顎	_ŋɔk
岳	岳	_ŋɔk
乐	樂	_ŋɔk
鳄	鱷	_ŋɔk
鄂	鄂	_ŋɔk
岳	嶽	_ŋɔk
愕	愕	_ŋɔk
犴	犴	_ŋɔn
岸	岸	_ŋɔn
捂	摀	_ŋ̩
悟	悟	_ŋ̩
焐	焐	_ŋ̩
嗯	嗯	_ŋ̩
误	誤	_ŋ̩
晤	晤	_ŋ̩
哦	哦	_ɔ
氩	氬	¯a
亚	亞	¯a
啊	啊	¯a
阿	阿	¯a
娅	婭	¯a
隘	隘	¯ai
晏	晏	¯an
鸭	鴨	¯ap
押	押	¯at
遏	遏	¯at
压	壓	¯at
轧	軋	¯at
猰	猰	¯at
揠	揠	¯at
拗	拗	¯au
坳	坳	¯au/'au
霸	霸	¯ba
坝	壩	¯ba
拜	拜	¯bai
伯	伯	¯bak
百	百	¯bak
佰	佰	¯bak
扮	扮	¯ban
八	八	¯bat
捌	捌	¯bat
爆	爆	¯bau
臂	臂	¯bei
痹	痺	¯bei
秘	秘	¯bei
辔	轡	¯bei
泌	泌	¯bei
铋	鉍	¯bei
庇	庇	¯bei
变	變	¯bin
别	彆	¯bit
鳖	鱉	¯bit
憋	憋	¯bit
埔	埔	¯bou
布	布	¯bou
怖	怖	¯bou
报	報	¯bou
布	佈	¯bou
背	揹	¯bui
狈	狽	¯bui
辈	輩	¯bui
钡	鋇	¯bui
贝	貝	¯bui
半	半	¯bun
钵	缽	¯but
赑	贔	¯bɐi
蔽	蔽	¯bɐi
闭	閉	¯bɐi
摈	擯	¯bɐn
鬓	鬢	¯bɐn
殡	殯	¯bɐn
播	播	¯bɔ
簸	簸	¯bɔ
亳	亳	¯bɔk
膊	膊	¯bɔk
驳	駁	¯bɔk
博	博	¯bɔk
搏	搏	¯bɔk
缚	縛	¯bɔk/¯fɔk
柄	柄	¯bɛŋ/¯bɪŋ
迸	迸	¯bɪŋ
并	併	¯bɪŋ/¯pɪŋ
甭	甭	¯bʊŋ
带	帶	¯dai
戴	戴	¯dai
诞	誕	¯dan
旦	旦	¯dan
耷	耷	¯dap
搭	搭	¯dap
答	答	¯dap
瘩	瘩	¯dap
靼	靼	¯dat
妲	妲	¯dat/´tan
店	店	¯dim
踮	踮	¯dim
玷	玷	¯dim
惦	惦	¯dim
垫	墊	¯din
跌	跌	¯dit
吊	吊	¯diu
吊	弔	¯diu
钓	釣	¯diu
到	到	¯dou
妒	妒	¯dou
倒	倒	¯dou
蠹	蠹	¯dou
锻	鍛	¯dyn
煅	煅	¯dyn
诈	詐	¯dza
咤	咤	¯dza
榨	榨	¯dza
咋	咋	¯dza
乍	乍	¯dza
炸	炸	¯dza
蚱	蚱	¯dza/¯dzak
债	債	¯dzai
责	責	¯dzak
啧	嘖	¯dzak
窄	窄	¯dzak
湛	湛	¯dzam
蘸	蘸	¯dzam
赞	贊	¯dzan
赞	讚	¯dzan
咂	咂	¯dzap
匝	匝	¯dzap
砸	砸	¯dzap
眨	眨	¯dzap
扎	扎	¯dzat
轧	軋	¯dzat
铡	鍘	¯dzat
札	札	¯dzat
拶	拶	¯dzat
紮	紮	¯dzat
罩	罩	¯dzau
置	置	¯dzi
致	致	¯dzi
致	緻	¯dzi
志	誌	¯dzi
轾	輊	¯dzi
志	志	¯dzi
挚	摯	¯dzi
智	智	¯dzi
痣	痣	¯dzi
踬	躓	¯dzi
质	質	¯dzi
至	至	¯dzi
恣	恣	¯dzi/¯tsi
瘠	瘠	¯dzik
脊	脊	¯dzik/¯dzɛk
炙	炙	¯dzik/¯dzɛk
占	佔	¯dzim
饯	餞	¯dzin
战	戰	¯dzin
颤	顫	¯dzin
箭	箭	¯dzin
荐	薦	¯dzin
溅	濺	¯dzin
接	接	¯dzip
辄	輒	¯dzip
浃	浹	¯dzip
嗫	囁	¯dzip
折	摺	¯dzip
褶	褶	¯dzip
楫	楫	¯dzip
哲	哲	¯dzit
栉	櫛	¯dzit
蜇	蜇	¯dzit
婕	婕	¯dzit
折	折	¯dzit
浙	浙	¯dzit
节	節	¯dzit
疖	癤	¯dzit
照	照	¯dziu
诏	詔	¯dziu
灶	灶	¯dzou
注	注	¯dzy
炷	炷	¯dzy
驻	駐	¯dzy
著	著	¯dzy
注	註	¯dzy
著	著	¯dzy
蛀	蛀	¯dzy
钻	鑽	¯dzyn
转	轉	¯dzyn
钻	鑽	¯dzyn/'dzyn
拙	拙	¯dzyt
啜	啜	¯dzyt
掇	掇	¯dzyt
茁	茁	¯dzyt
辍	輟	¯dzyt
咄	咄	¯dzyt
嚼	嚼	¯dzœk
着	著	¯dzœk
灼	灼	¯dzœk
雀	雀	¯dzœk
鹊	鵲	¯dzœk
斫	斫	¯dzœk
酌	酌	¯dzœk
爵	爵	¯dzœk
桌	桌	¯dzœk/¯tsœk
勺	勺	¯dzœk/¯tsœk
俊	俊	¯dzœn
进	進	¯dzœn
竣	竣	¯dzœn
晋	晉	¯dzœn
缙	縉	¯dzœn
峻	峻	¯dzœn
骏	駿	¯dzœn
惴	惴	¯dzœy
赘	贅	¯dzœy
最	最	¯dzœy
醉	醉	¯dzœy
障	障	¯dzœŋ
仗	仗	¯dzœŋ
帐	帳	¯dzœŋ
瘴	瘴	¯dzœŋ
嶂	嶂	¯dzœŋ
将	將	¯dzœŋ
账	賬	¯dzœŋ
酱	醬	¯dzœŋ
涨	漲	¯dzœŋ
幛	幛	¯dzœŋ
胀	脹	¯dzœŋ
祭	祭	¯dzɐi
霁	霽	¯dzɐi
制	製	¯dzɐi
制	制	¯dzɐi
掣	掣	¯dzɐi
际	際	¯dzɐi
济	濟	¯dzɐi
枕	枕	¯dzɐm
浸	浸	¯dzɐm
震	震	¯dzɐn
圳	圳	¯dzɐn
赈	賑	¯dzɐn
振	振	¯dzɐn
镇	鎮	¯dzɐn
昼	晝	¯dzɐu
奏	奏	¯dzɐu
皱	皺	¯dzɐu
咒	咒	¯dzɐu
揍	揍	¯dzɐu
绉	縐	¯dzɐu
佐	佐	¯dzɔ
诅	詛	¯dzɔ/´dzɔ
载	載	¯dzɔi
再	再	¯dzɔi
作	作	¯dzɔk
昨	昨	¯dzɔk/_dzɔk
壮	壯	¯dzɔŋ
葬	葬	¯dzɔŋ
戆	戇	¯dzɔŋ/_ŋɔŋ
蔗	蔗	¯dzɛ
柘	柘	¯dzɛ
借	借	¯dzɛ
只	隻	¯dzɛk
证	證	¯dzɪŋ
症	症	¯dzɪŋ
政	政	¯dzɪŋ
正	正	¯dzɪŋ
纵	縱	¯dzʊŋ
中	中	¯dzʊŋ
种	種	¯dzʊŋ
众	眾	¯dzʊŋ
粽	粽	¯dzʊŋ/´dzʊŋ
斫	斲	¯dœk
琢	琢	¯dœk
啄	啄	¯dœk
涿	涿	¯dœk
对	對	¯dœy
碲	碲	¯dɐi
帝	帝	¯dɐi
谛	諦	¯dɐi
缔	締	¯dɐi
蒂	蒂	¯dɐi
斗	鬥	¯dɐu
磴	磴	¯dɐŋ
镫	鐙	¯dɐŋ
凳	凳	¯dɐŋ
当	當	¯dɔŋ
档	檔	¯dɔŋ
碇	碇	¯dɪŋ
锭	錠	¯dɪŋ/_dɪŋ
订	訂	¯dɪŋ/_dɪŋ
冻	凍	¯dʊŋ
栋	棟	¯dʊŋ
化	化	¯fa
块	塊	¯fai
傀	傀	¯fai
筷	筷	¯fai
快	快	¯fai
哙	噲	¯fai
泛	泛	¯fan/_fan
贩	販	¯fan/´fan
法	法	¯fat
珐	琺	¯fat
发	髮	¯fat
发	發	¯fat
裤	褲	¯fu
赋	賦	¯fu
富	富	¯fu
戽	戽	¯fu
库	庫	¯fu
绔	絝	¯fu
副	副	¯fu
晦	晦	¯fui
悔	悔	¯fui
诲	誨	¯fui
阔	闊	¯fut
肺	肺	¯fɐi
沸	沸	¯fɐi
废	廢	¯fɐi
费	費	¯fɐi
狒	狒	¯fɐi
训	訓	¯fɐn
粪	糞	¯fɐn
货	貨	¯fɔ
课	課	¯fɔ
霍	霍	¯fɔk
攫	攫	¯fɔk
况	況	¯fɔŋ
放	放	¯fɔŋ
讽	諷	¯fʊŋ
稼	稼	¯ga
嫁	嫁	¯ga
价	價	¯ga
咖	咖	¯ga
假	假	¯ga
架	架	¯ga
驾	駕	¯ga
诫	誡	¯gai
疥	疥	¯gai
芥	芥	¯gai
戒	戒	¯gai
界	界	¯gai
尬	尬	¯gai
届	屆	¯gai
介	介	¯gai
解	解	¯gai
嗝	嗝	¯gak
骼	骼	¯gak
膈	膈	¯gak
镉	鎘	¯gak
隔	隔	¯gak
革	革	¯gak
格	格	¯gak
胳	胳	¯gak
监	監	¯gam
鉴	鑑	¯gam
谏	諫	¯gan
涧	澗	¯gan
间	間	¯gan
胛	胛	¯gap
蛱	蛺	¯gap
钾	鉀	¯gap
颊	頰	¯gap
甲	甲	¯gap
饸	餄	¯gap
荚	莢	¯gap
夹	夾	¯gap
郏	郟	¯gap
岬	岬	¯gap
袷	袷	¯gap
轧	軋	¯gat
窖	窖	¯gau
较	較	¯gau
铰	鉸	¯gau
觉	覺	¯gau
教	教	¯gau
校	校	¯gau
酵	酵	¯gau/'hau
纪	紀	¯gei
觊	覬	¯gei
记	記	¯gei
寄	寄	¯gei
既	既	¯gei
剑	劍	¯gim
腱	腱	¯gin
见	見	¯gin
建	建	¯gin
劫	劫	¯gip
拮	拮	¯git
洁	潔	¯git
结	結	¯git
叫	叫	¯giu
郜	郜	¯gou
告	告	¯gou
锆	鋯	¯gou
故	故	¯gu
锢	錮	¯gu
顾	顧	¯gu
雇	僱	¯gu
固	固	¯gu
罐	罐	¯gun
盥	盥	¯gun
鹳	鸛	¯gun
贯	貫	¯gun
冠	冠	¯gun
灌	灌	¯gun
褂	褂	¯gwa
挂	掛	¯gwa
卦	卦	¯gwa
怪	怪	¯gwai
掴	摑	¯gwak
惯	慣	¯gwan
掼	摜	¯gwan
刮	颳	¯gwat
刮	刮	¯gwat
季	季	¯gwɐi
瑰	瑰	¯gwɐi
癸	癸	¯gwɐi
悸	悸	¯gwɐi
桂	桂	¯gwɐi
贵	貴	¯gwɐi
棍	棍	¯gwɐn
过	過	¯gwɔ
帼	幗	¯gwɔk
郭	郭	¯gwɔk
腘	膕	¯gwɔk
国	國	¯gwɔk
廓	廓	¯gwɔk/¯kwɔk
桄	桄	¯gwɔŋ
绢	絹	¯gyn
券	券	¯gyn
眷	眷	¯gyn
鄄	鄄	¯gyn
脚	腳	¯gœk
句	句	¯gœy
据	據	¯gœy
踞	踞	¯gœy
锯	鋸	¯gœy/¯gɛu
计	計	¯gɐi
髻	髻	¯gɐi
继	繼	¯gɐi
蓟	薊	¯gɐi
淦	淦	¯gɐm
赣	贛	¯gɐm
禁	禁	¯gɐm
噤	噤	¯gɐm
靳	靳	¯gɐn
艮	艮	¯gɐn
觐	覲	¯gɐn/´gɐn
鸽	鴿	¯gɐp
蛤	蛤	¯gɐp
嘎	嘎	¯gɐt
灸	灸	¯gɐu
垢	垢	¯gɐu
够	夠	¯gɐu
诟	詬	¯gɐu
救	救	¯gɐu
疚	疚	¯gɐu
究	究	¯gɐu
柩	柩	¯gɐu
厩	廄	¯gɐu
咎	咎	¯gɐu
更	更	¯gɐŋ
个	個	¯gɔ
盖	蓋	¯gɔi
各	各	¯gɔk
觉	覺	¯gɔk
搁	擱	¯gɔk
阁	閣	¯gɔk
角	角	¯gɔk
干	幹	¯gɔn
葛	葛	¯gɔt
割	割	¯gɔt
绛	絳	¯gɔŋ
钢	鋼	¯gɔŋ
杠	槓	¯gɔŋ
降	降	¯gɔŋ
镜	鏡	¯gɛŋ
径	徑	¯gɪŋ
径	逕	¯gɪŋ
敬	敬	¯gɪŋ
劲	勁	¯gɪŋ
供	供	¯gʊŋ
贡	貢	¯gʊŋ
吓	嚇	¯hak
客	客	¯hak
喊	喊	¯ham
嗑	嗑	¯hap
掐	掐	¯hap
呷	呷	¯hap
孝	孝	¯hau
器	器	¯hei
汽	汽	¯hei
戏	戲	¯hei
气	氣	¯hei
弃	棄	¯hei
憩	憩	¯hei
欠	欠	¯him
芡	芡	¯him
宪	憲	¯hin
献	獻	¯hin
歉	歉	¯hip
协	協	¯hip
怯	怯	¯hip
胁	脅	¯hip
挟	挾	¯hip/_hap
蝎	蠍	¯hit
歇	歇	¯hit
窍	竅	¯hiu/¯kiu
犒	犒	¯hou
耗	耗	¯hou
好	好	¯hou
劝	勸	¯hyn
券	券	¯hyn
绻	綣	¯hyn
绚	絢	¯hyn
血	血	¯hyt
去	去	¯hœy
向	嚮	¯hœŋ
向	向	¯hœŋ
磡	磡	¯hɐm
瞰	瞰	¯hɐm
崁	崁	¯hɐm
勘	勘	¯hɐm
嵌	嵌	¯hɐm/_hɐm
吼	吼	¯hɐu
壳	殼	¯hɔk
汉	漢	¯hɔn
看	看	¯hɔn
喝	喝	¯hɔt
褐	褐	¯hɔt
渴	渴	¯hɔt
鞨	鞨	¯hɔt
吃	吃	¯hɛk
磬	磬	¯hɪŋ
庆	慶	¯hɪŋ
罄	罄	¯hɪŋ
兴	興	¯hɪŋ
控	控	¯hʊŋ
汞	汞	¯hʊŋ
哄	哄	¯hʊŋ
烘	烘	¯hʊŋ/'hʊŋ
哄	鬨	¯hʊŋ/_hʊŋ
镱	鐿	¯ji
意	意	¯ji
懿	懿	¯ji
薏	薏	¯ji
癔	癔	¯ji
厌	厭	¯jim
餍	饜	¯jim
燕	燕	¯jin
咽	嚥	¯jin
宴	宴	¯jin
靥	靨	¯jip
咽	咽	¯jit
噎	噎	¯jit
谒	謁	¯jit
要	要	¯jiu
酗	酗	¯jy/´hœy/¯hœy
怨	怨	¯jyn
约	約	¯jœk
荫	蔭	¯jɐm
窨	窨	¯jɐm
印	印	¯jɐn
幼	幼	¯jɐu
应	應	¯jɪŋ
髂	髂	¯ka
揢	揢	¯kak
咯	咯	¯kak
靠	靠	¯kau
铐	銬	¯kau
冀	冀	¯kei
暨	暨	¯kei
骥	驥	¯kei
孑	孑	¯kit
颉	頡	¯kit
黠	黠	¯kit
揭	揭	¯kit
锲	鍥	¯kit
竭	竭	¯kit
羯	羯	¯kit
诘	詰	¯kit
撷	擷	¯kit/¯git
翘	翹	¯kiu/¯hiu
聒	聒	¯kut
蛞	蛞	¯kut
豁	豁	¯kut
括	括	¯kut
挎	挎	¯kwa
跨	跨	¯kwa
胯	胯	¯kwa
逛	逛	¯kwaŋ
困	困	¯kwɐn
困	睏	¯kwɐn
窘	窘	¯kwɐn
扩	擴	¯kwɔk
旷	曠	¯kwɔŋ
邝	鄺	¯kwɔŋ/¯kɔŋ
矿	礦	¯kwɔŋ/¯kɔŋ
撅	撅	¯kyt
厥	厥	¯kyt
蕨	蕨	¯kyt
阙	闕	¯kyt
缺	缺	¯kyt
决	決	¯kyt
蹶	蹶	¯kyt
孓	孓	¯kyt
抉	抉	¯kyt
诀	訣	¯kyt
獗	獗	¯kyt
橛	橛	¯kyt/_gyt
却	卻	¯kœk
契	契	¯kɐi
叩	叩	¯kɐu
寇	寇	¯kɐu
蔻	蔻	¯kɐu
扣	釦	¯kɐu
扣	扣	¯kɐu
购	購	¯kɐu/¯gɐu
构	構	¯kɐu/¯gɐu
媾	媾	¯kɐu/¯gɐu
欬	欬	¯kɔi
忾	愾	¯kɔi
丐	丐	¯kɔi
概	概	¯kɔi
盖	蓋	¯kɔi
溉	溉	¯kɔi
慨	慨	¯kɔi
钙	鈣	¯kɔi
恪	恪	¯kɔk
郝	郝	¯kɔk
悫	慤	¯kɔk
壑	壑	¯kɔk
涸	涸	¯kɔk
确	確	¯kɔk
榷	榷	¯kɔk
闶	閌	¯kɔŋ
炕	炕	¯kɔŋ
扩	擴	¯kɔŋ
伉	伉	¯kɔŋ
抗	抗	¯kɔŋ
亢	亢	¯kɔŋ
喇	喇	¯la
癞	癩	¯lai
捋	捋	¯lyt
劣	劣	¯lyt/_lyt
珞	珞	¯lɔk
酪	酪	¯lɔk
饹	餎	¯lɔk
铬	鉻	¯lɔk
络	絡	¯lɔk
烙	烙	¯lɔk
洛	洛	¯lɔk/_lɔk
骆	駱	¯lɔk/_lɔk
靓	靚	¯lɛŋ
嘛	嘛	¯ma
擘	擘	¯mak
沫	沫	¯mut
抹	抹	¯mut/¯mat
怕	怕	¯pa
派	派	¯pai
哌	哌	¯pai
湃	湃	¯pai/¯bai
魄	魄	¯pak
帕	帕	¯pak
柏	柏	¯pak
拍	拍	¯pak
珀	珀	¯pak
袢	袢	¯pan
盼	盼	¯pan
泡	泡	¯pau
疱	疱	¯pau
豹	豹	¯pau
炮	炮	¯pau
譬	譬	¯pei
濞	濞	¯pei
屁	屁	¯pei
媲	媲	¯pei/´bei
片	片	¯pin
遍	遍	¯pin
骗	騙	¯pin
瞥	瞥	¯pit
撇	撇	¯pit
漂	漂	¯piu
票	票	¯piu
剽	剽	¯piu/ˏpiu
铺	舖	¯pou
沛	沛	¯pui
佩	佩	¯pui
霈	霈	¯pui
配	配	¯pui
珮	珮	¯pui
判	判	¯pun
拚	拚	¯pun
泼	潑	¯put
喷	噴	¯pɐn
破	破	¯pɔ
璞	璞	¯pɔk
噗	噗	¯pɔk
扑	撲	¯pɔk
朴	樸	¯pɔk
钋	釙	¯pɔk
粕	粕	¯pɔk/¯pak
谤	謗	¯pɔŋ
劈	劈	¯pɛk
聘	聘	¯pɪŋ
碰	碰	¯pʊŋ
晒	曬	¯sai
索	索	¯sak/¯sɔk
三	三	¯sam
讪	訕	¯san
篡	篡	¯san
散	散	¯san
伞	傘	¯san
涮	涮	¯san
疝	疝	¯san
汕	汕	¯san
飒	颯	¯sap
圾	圾	¯sap
铩	鎩	¯sat
萨	薩	¯sat
撒	撒	¯sat
刹	剎	¯sat
杀	殺	¯sat
煞	煞	¯sat
哨	哨	¯sau
四	四	¯sei
使	使	¯si
泗	泗	¯si
弑	弒	¯si
试	試	¯si
嗜	嗜	¯si
谥	諡	¯si
驷	駟	¯si
肆	肆	¯si
腺	腺	¯sin
扇	扇	¯sin
煽	煽	¯sin
霰	霰	¯sin
线	線	¯sin
骟	騸	¯sin
摄	攝	¯sip
涉	涉	¯sip
歙	歙	¯sip
慑	懾	¯sip/¯dzip
屑	屑	¯sit
窃	竊	¯sit
绁	絏	¯sit
亵	褻	¯sit
舌	舌	¯sit
泄	洩	¯sit
楔	楔	¯sit
薛	薛	¯sit
揳	揳	¯sit/¯sip
啸	嘯	¯siu
笑	笑	¯siu
少	少	¯siu
数	數	¯sou
溯	溯	¯sou
素	素	¯sou
扫	掃	¯sou
臊	臊	¯sou
塑	塑	¯sou
诉	訴	¯sou
愫	愫	¯sou
庶	庶	¯sy
恕	恕	¯sy
戍	戍	¯sy
蒜	蒜	¯syn
算	算	¯syn
渲	渲	¯syn/'hyn
雪	雪	¯syt
鳕	鱈	¯syt
说	說	¯syt
烁	爍	¯sœk
铄	鑠	¯sœk
削	削	¯sœk
舜	舜	¯sœn
瞬	瞬	¯sœn
逊	遜	¯sœn
汛	汛	¯sœn
信	信	¯sœn
浚	浚	¯sœn
巽	巽	¯sœn
讯	訊	¯sœn
迅	迅	¯sœn
囟	囟	¯sœn/´sœn
税	稅	¯sœy
说	說	¯sœy
碎	碎	¯sœy
帅	帥	¯sœy
岁	歲	¯sœy
相	相	¯sœŋ
世	世	¯sɐi
势	勢	¯sɐi
细	細	¯sɐi
婿	婿	¯sɐi
沁	沁	¯sɐm
渗	滲	¯sɐm
霎	霎	¯sɐp
秀	秀	¯sɐu
嗽	嗽	¯sɐu
锈	鏽	¯sɐu
兽	獸	¯sɐu
瘦	瘦	¯sɐu
狩	狩	¯sɐu
琇	琇	¯sɐu
绣	繡	¯sɐu
宿	宿	¯sɐu
漱	漱	¯sɐu
蹭	蹭	¯sɐŋ
擤	擤	¯sɐŋ
朔	朔	¯sɔk
说	說	¯sɔk
索	索	¯sɔk
丧	喪	¯sɔŋ
猞	猞	¯sɛ
卸	卸	¯sɛ
赦	赦	¯sɛ
泻	瀉	¯sɛ
舍	舍	¯sɛ
锡	錫	¯sɛk
圣	聖	¯sɪŋ
性	性	¯sɪŋ
姓	姓	¯sɪŋ
胜	勝	¯sɪŋ
宋	宋	¯sʊŋ
送	送	¯sʊŋ
态	態	¯tai
肽	肽	¯tai
泰	泰	¯tai
太	太	¯tai
贷	貸	¯tai
汰	汰	¯tai
钛	鈦	¯tai
傣	傣	¯tai
探	探	¯tam
坛	罈	¯tam
碳	碳	¯tan
叹	歎	¯tan
炭	炭	¯tan
塔	塔	¯tap
榻	榻	¯tap
塌	塌	¯tap
漯	漯	¯tap
遢	遢	¯tap/¯tat
鞑	韃	¯tat
趿	趿	¯tat
挞	撻	¯tat
跶	躂	¯tat
闼	闥	¯tat
帖	帖	¯tip
贴	貼	¯tip
萜	萜	¯tip
铁	鐵	¯tit
餮	餮	¯tit
眺	眺	¯tiu
跳	跳	¯tiu
兔	兔	¯tou
套	套	¯tou
吐	吐	¯tou
姹	姹	¯tsa
衩	衩	¯tsa
诧	詫	¯tsa
杈	杈	¯tsa
岔	岔	¯tsa
虿	蠆	¯tsai
策	策	¯tsak
栅	柵	¯tsak
册	冊	¯tsak
拆	拆	¯tsak
忏	懺	¯tsam
杉	杉	¯tsam/'sam
