开放粤语字典（黄锡凌数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［黄锡凌拼音］
隰	隰	dzap9
集	集	dzap9
习	習	dzap9
杂	雜	dzap9
袭	襲	dzap9
什	什	dzap9
铡	鍘	dzat8
札	札	dzat8
扎	扎	dzat8
轧	軋	dzat8
拶	拶	dzat8
紮	紮	dzat8
嘲	嘲	dzau1
爪	爪	dzau2
找	找	dzau2
罩	罩	dzau3
挣	掙	dzaŋ6
姿	姿	dzi1
蜘	蜘	dzi1
脂	脂	dzi1
支	支	dzi1
枝	枝	dzi1
氏	氏	dzi1
咨	咨	dzi1
滋	滋	dzi1
孜	孜	dzi1
兹	茲	dzi1
吱	吱	dzi1
辎	輜	dzi1
肢	肢	dzi1
芝	芝	dzi1
淄	淄	dzi1
谘	諮	dzi1
之	之	dzi1
知	知	dzi1
赀	貲	dzi1
资	資	dzi1
鼒	鼒	dzi1
龇	齜	dzi1
秭	秭	dzi2
子	子	dzi2
止	止	dzi2
只	只	dzi2
指	指	dzi2
芷	芷	dzi2
旨	旨	dzi2
紫	紫	dzi2
址	址	dzi2
籽	籽	dzi2
滓	滓	dzi2
梓	梓	dzi2
咫	咫	dzi2
姊	姊	dzi2
仔	仔	dzi2
祉	祉	dzi2
酯	酯	dzi2
趾	趾	dzi2
纸	紙	dzi2
踬	躓	dzi3
致	致	dzi3
轾	輊	dzi3
至	至	dzi3
致	緻	dzi3
质	質	dzi3
痣	痣	dzi3
志	志	dzi3
置	置	dzi3
挚	摯	dzi3
智	智	dzi3
志	誌	dzi3
恣	恣	dzi3/tsi3
伺	伺	dzi6
祀	祀	dzi6
巳	巳	dzi6
雉	雉	dzi6
字	字	dzi6
耜	耜	dzi6
俟	俟	dzi6
治	治	dzi6
自	自	dzi6
稚	稚	dzi6
饲	飼	dzi6
嗣	嗣	dzi6
痔	痔	dzi6
豸	豸	dzi6/dzai6
寺	寺	dzi6/dzi2
峙	峙	dzi6/tsi5
稷	稷	dzik7
绩	績	dzik7
职	職	dzik7
即	即	dzik7
鲫	鯽	dzik7
迹	跡	dzik7
积	積	dzik7
织	織	dzik7
陟	陟	dzik7
渍	漬	dzik7/dzi3
瘠	瘠	dzik8
脊	脊	dzik8/dzɛk8
炙	炙	dzik8/dzɛk8
夕	夕	dzik9
殖	殖	dzik9
直	直	dzik9
藉	藉	dzik9
值	值	dzik9
席	席	dzik9
植	植	dzik9
汐	汐	dzik9
籍	籍	dzik9
寂	寂	dzik9
矽	矽	dzik9
借	借	dzik9/dzɛ3
借	藉	dzik9/dzɛ3
蓆	蓆	dzik9/dzɛk9
瞻	瞻	dzim1
詹	詹	dzim1
占	占	dzim1
谵	譫	dzim1
尖	尖	dzim1
沾	沾	dzim1
霑	霑	dzim1
占	佔	dzim3
渐	漸	dzim6
笺	箋	dzin1
膻	羶	dzin1
毡	氈	dzin1
煎	煎	dzin1
辗	輾	dzin2
翦	翦	dzin2
剪	剪	dzin2
展	展	dzin2
碾	碾	dzin2
阐	闡	dzin2/tsin2
溅	濺	dzin3
颤	顫	dzin3
箭	箭	dzin3
战	戰	dzin3
荐	薦	dzin3
饯	餞	dzin3
贱	賤	dzin6
接	接	dzip8
楫	楫	dzip8
折	摺	dzip8
褶	褶	dzip8
辄	輒	dzip8
浃	浹	dzip8
嗫	囁	dzip8
唧	唧	dzit7
栉	櫛	dzit8
疖	癤	dzit8
浙	浙	dzit8
节	節	dzit8
蜇	蜇	dzit8
折	折	dzit8
婕	婕	dzit8
哲	哲	dzit8
截	截	dzit9
睫	睫	dzit9
捷	捷	dzit9
招	招	dziu1
蕉	蕉	dziu1
礁	礁	dziu1
椒	椒	dziu1
朝	朝	dziu1
焦	焦	dziu1
剿	剿	dziu2
沼	沼	dziu2
诏	詔	dziu3
照	照	dziu3
召	召	dziu6
赵	趙	dziu6
租	租	dzou1
遭	遭	dzou1
糟	糟	dzou1
枣	棗	dzou2
组	組	dzou2
藻	藻	dzou2
蚤	蚤	dzou2
早	早	dzou2
祖	祖	dzou2
澡	澡	dzou2
驵	駔	dzou2
灶	灶	dzou3
皂	皂	dzou6
造	造	dzou6
做	做	dzou6
慥	慥	dzou6/tsou3
诸	諸	dzy1
茱	茱	dzy1
诛	誅	dzy1
铢	銖	dzy1
朱	朱	dzy1
猪	豬	dzy1
侏	侏	dzy1
株	株	dzy1
蛛	蛛	dzy1
珠	珠	dzy1
主	主	dzy2
煮	煮	dzy2
注	注	dzy3
著	著	dzy3
著	著	dzy3
炷	炷	dzy3
驻	駐	dzy3
注	註	dzy3
蛀	蛀	dzy3
箸	箸	dzy6
住	住	dzy6
砖	磚	dzyn1
颛	顓	dzyn1
尊	尊	dzyn1
专	專	dzyn1
鳟	鱒	dzyn1/dzyn3
镌	鐫	dzyn1/dzœn3
转	轉	dzyn2
传	傳	dzyn2
纂	纂	dzyn2
转	轉	dzyn3
钻	鑽	dzyn3
钻	鑽	dzyn3/dzyn1
传	傳	dzyn6
掇	掇	dzyt8
咄	咄	dzyt8
拙	拙	dzyt8
辍	輟	dzyt8
茁	茁	dzyt8
啜	啜	dzyt8
绝	絕	dzyt9
着	著	dzœk8
鹊	鵲	dzœk8
嚼	嚼	dzœk8
斫	斫	dzœk8
爵	爵	dzœk8
雀	雀	dzœk8
酌	酌	dzœk8
灼	灼	dzœk8
桌	桌	dzœk8/tsœk8
勺	勺	dzœk8/tsœk8
著	著	dzœk9
着	著	dzœk9
榛	榛	dzœn1
津	津	dzœn1
臻	臻	dzœn1
谆	諄	dzœn1
樽	樽	dzœn1
遵	遵	dzœn1/dzyn1
尽	儘	dzœn2
准	准	dzœn2
准	準	dzœn2
隼	隼	dzœn2
骏	駿	dzœn3
晋	晉	dzœn3
进	進	dzœn3
竣	竣	dzœn3
峻	峻	dzœn3
俊	俊	dzœn3
缙	縉	dzœn3
尽	盡	dzœn6
烬	燼	dzœn6
怵	怵	dzœt7
卒	卒	dzœt7
黜	黜	dzœt7
追	追	dzœy1
狙	狙	dzœy1
锥	錐	dzœy1
椎	椎	dzœy1
蛆	蛆	dzœy1/tsœy1
嘴	嘴	dzœy2
沮	沮	dzœy2
龃	齟	dzœy2
咀	咀	dzœy2
惴	惴	dzœy3
醉	醉	dzœy3
赘	贅	dzœy3
最	最	dzœy3
聚	聚	dzœy6
坠	墜	dzœy6
屿	嶼	dzœy6
溆	漵	dzœy6
罪	罪	dzœy6
叙	敘	dzœy6
序	序	dzœy6
缀	綴	dzœy6/dzœy3
浆	漿	dzœŋ1
嫜	嫜	dzœŋ1
獐	獐	dzœŋ1
漳	漳	dzœŋ1
张	張	dzœŋ1
鄣	鄣	dzœŋ1
章	章	dzœŋ1
将	將	dzœŋ1
蟑	蟑	dzœŋ1
璋	璋	dzœŋ1
樟	樟	dzœŋ1
彰	彰	dzœŋ1
掌	掌	dzœŋ2
蒋	蔣	dzœŋ2
长	長	dzœŋ2
桨	槳	dzœŋ2
奖	獎	dzœŋ2
涨	漲	dzœŋ2/dzœŋ3
嶂	嶂	dzœŋ3
将	將	dzœŋ3
仗	仗	dzœŋ3
幛	幛	dzœŋ3
胀	脹	dzœŋ3
涨	漲	dzœŋ3
帐	帳	dzœŋ3
账	賬	dzœŋ3
障	障	dzœŋ3
瘴	瘴	dzœŋ3
酱	醬	dzœŋ3
橡	橡	dzœŋ6
象	象	dzœŋ6
丈	丈	dzœŋ6
像	像	dzœŋ6
杖	杖	dzœŋ6
仗	仗	dzœŋ6
匠	匠	dzœŋ6
剂	劑	dzɐi1
挤	擠	dzɐi1
齑	齏	dzɐi1
跻	躋	dzɐi1
济	濟	dzɐi2
仔	仔	dzɐi2
掣	掣	dzɐi3
祭	祭	dzɐi3
制	製	dzɐi3
霁	霽	dzɐi3
际	際	dzɐi3
制	制	dzɐi3
济	濟	dzɐi3
滞	滯	dzɐi6
则	則	dzɐk7
昃	昃	dzɐk7
仄	仄	dzɐk7
侧	側	dzɐk7
针	針	dzɐm1
箴	箴	dzɐm1
砧	砧	dzɐm1
簪	簪	dzɐm1
斟	斟	dzɐm1
枕	枕	dzɐm2
怎	怎	dzɐm2
枕	枕	dzɐm3
浸	浸	dzɐm3
朕	朕	dzɐm6
鸩	鴆	dzɐm6
真	真	dzɐn1
珍	珍	dzɐn1
胗	胗	dzɐn1
疹	疹	dzɐn2
轸	軫	dzɐn2/tsɐn2
圳	圳	dzɐn3
震	震	dzɐn3
镇	鎮	dzɐn3
振	振	dzɐn3
赈	賑	dzɐn3
阵	陣	dzɐn6
执	執	dzɐp7
汁	汁	dzɐp7
质	質	dzɐt7
侄	姪	dzɐt9
桎	桎	dzɐt9
蛭	蛭	dzɐt9
疾	疾	dzɐt9
嫉	嫉	dzɐt9
蛰	蟄	dzɐt9
窒	窒	dzɐt9
诹	諏	dzɐu1
陬	陬	dzɐu1
舟	舟	dzɐu1
周	周	dzɐu1
州	州	dzɐu1
揪	揪	dzɐu1
周	週	dzɐu1
洲	洲	dzɐu1
辀	輈	dzɐu1
邹	鄒	dzɐu1
诌	謅	dzɐu1
酒	酒	dzɐu2
走	走	dzɐu2
帚	帚	dzɐu2
肘	肘	dzɐu2
咒	咒	dzɐu3
奏	奏	dzɐu3
揍	揍	dzɐu3
昼	晝	dzɐu3
绉	縐	dzɐu3
皱	皺	dzɐu3
纣	紂	dzɐu6
岫	岫	dzɐu6
骤	驟	dzɐu6
宙	宙	dzɐu6
就	就	dzɐu6
袖	袖	dzɐu6
冑	冑	dzɐu6
鹫	鷲	dzɐu6
筝	箏	dzɐŋ1
憎	憎	dzɐŋ1
曾	曾	dzɐŋ1
僧	僧	dzɐŋ1
铮	錚	dzɐŋ1
增	增	dzɐŋ1
峥	崢	dzɐŋ1
挣	掙	dzɐŋ1/dzaŋ1
睁	睜	dzɐŋ1/dzaŋ1
争	爭	dzɐŋ1/dzaŋ1
狰	猙	dzɐŋ1/dzaŋ1
赠	贈	dzɐŋ6
阻	阻	dzɔ2
俎	俎	dzɔ2
左	左	dzɔ2
佐	佐	dzɔ3
诅	詛	dzɔ3/dzɔ2
坐	坐	dzɔ6
座	座	dzɔ6
唑	唑	dzɔ6
助	助	dzɔ6
栽	栽	dzɔi1
灾	災	dzɔi1
哉	哉	dzɔi1
崽	崽	dzɔi2
载	載	dzɔi2
宰	宰	dzɔi2
再	再	dzɔi3
载	載	dzɔi3
在	在	dzɔi6
作	作	dzɔk8
昨	昨	dzɔk8/dzɔk9
凿	鑿	dzɔk9
擢	擢	dzɔk9
装	裝	dzɔŋ1
脏	髒	dzɔŋ1
庄	莊	dzɔŋ1
赃	贓	dzɔŋ1
桩	樁	dzɔŋ1
妆	妝	dzɔŋ1
驵	駔	dzɔŋ2
葬	葬	dzɔŋ3
壮	壯	dzɔŋ3
戆	戇	dzɔŋ3/ŋɔŋ6
脏	臟	dzɔŋ6
撞	撞	dzɔŋ6
状	狀	dzɔŋ6
奘	奘	dzɔŋ6
藏	藏	dzɔŋ6
嗟	嗟	dzɛ1
遮	遮	dzɛ1
姐	姐	dzɛ2
者	者	dzɛ2
蔗	蔗	dzɛ3
柘	柘	dzɛ3
借	借	dzɛ3
这	這	dzɛ5/dzɛ3
谢	謝	dzɛ6
只	隻	dzɛk8
郑	鄭	dzɛŋ6/dzɪŋ6
征	征	dzɪŋ1
精	精	dzɪŋ1
晶	晶	dzɪŋ1
旌	旌	dzɪŋ1
正	正	dzɪŋ1
征	徵	dzɪŋ1
怔	怔	dzɪŋ1
祯	禎	dzɪŋ1
钲	鉦	dzɪŋ1
贞	貞	dzɪŋ1
症	癥	dzɪŋ1
菁	菁	dzɪŋ1
睛	睛	dzɪŋ1
蒸	蒸	dzɪŋ1
侦	偵	dzɪŋ1
烝	烝	dzɪŋ1
整	整	dzɪŋ2
井	井	dzɪŋ2/dzɛŋ2
症	症	dzɪŋ3
证	證	dzɪŋ3
政	政	dzɪŋ3
正	正	dzɪŋ3
静	靜	dzɪŋ6
净	淨	dzɪŋ6
靖	靖	dzɪŋ6
阱	阱	dzɪŋ6/dzɛŋ6
竺	竺	dzʊk7
捉	捉	dzʊk7
粥	粥	dzʊk7
足	足	dzʊk7
祝	祝	dzʊk7
烛	燭	dzʊk7
嘱	囑	dzʊk7
竹	竹	dzʊk7
筑	築	dzʊk7
瞩	矚	dzʊk7
逐	逐	dzʊk9
浊	濁	dzʊk9
族	族	dzʊk9
镯	鐲	dzʊk9
轴	軸	dzʊk9
续	續	dzʊk9
妯	妯	dzʊk9
躅	躅	dzʊk9
镞	鏃	dzʊk9
俗	俗	dzʊk9
忠	忠	dzʊŋ1
钟	鍾	dzʊŋ1
棕	棕	dzʊŋ1
宗	宗	dzʊŋ1
盅	盅	dzʊŋ1
鬃	鬃	dzʊŋ1
终	終	dzʊŋ1
中	中	dzʊŋ1
螽	螽	dzʊŋ1
踪	蹤	dzʊŋ1
