开放粤语字典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［国际音标］
韩	韓	hɔ:n˨˩
邯	邯	hɔ:n˨˩
旱	旱	hɔ:n˩˧
鞨	鞨	hɔ:t˧
褐	褐	hɔ:t˧
喝	喝	hɔ:t˧
渴	渴	hɔ:t˧
康	康	hɔ:ŋ˥
匡	匡	hɔ:ŋ˥
腔	腔	hɔ:ŋ˥
劻	劻	hɔ:ŋ˥
诓	誆	hɔ:ŋ˥
糠	糠	hɔ:ŋ˥
筐	筐	hɔ:ŋ˥/kʰwa:ŋ˥
眶	眶	hɔ:ŋ˥/kʰwa:ŋ˥
慷	慷	hɔ:ŋ˧˥/kʰɔ:ŋ˧˥
项	項	hɔ:ŋ˨
巷	巷	hɔ:ŋ˨/hɔ:ŋ˧˥
降	降	hɔ:ŋ˨˩
吭	吭	hɔ:ŋ˨˩
杭	杭	hɔ:ŋ˨˩
行	行	hɔ:ŋ˨˩
航	航	hɔ:ŋ˨˩
诃	訶	hɔ:˥
呵	呵	hɔ:˥
苛	苛	hɔ:˥
嗬	嗬	hɔ:˧˥
岢	岢	hɔ:˧˥
坷	坷	hɔ:˧˥
可	可	hɔ:˧˥
荷	荷	hɔ:˨
贺	賀	hɔ:˨
何	何	hɔ:˨˩
河	河	hɔ:˨˩
荷	荷	hɔ:˨˩
吃	吃	hɛ:k˧
靴	靴	hɛ:u˥
兄	兄	hɪŋ˥
氢	氫	hɪŋ˥
卿	卿	hɪŋ˥
兴	興	hɪŋ˥
馨	馨	hɪŋ˥
轻	輕	hɪŋ˥/hɛ:ŋ˥
兴	興	hɪŋ˧
庆	慶	hɪŋ˧
罄	罄	hɪŋ˧
磬	磬	hɪŋ˧
胫	脛	hɪŋ˩˧/kɪŋ˧
虚	虛	hɵy˥
嘘	噓	hɵy˥
吁	吁	hɵy˥
歔	歔	hɵy˥
墟	墟	hɵy˥
盱	盱	hɵy˥
去	去	hɵy˧
诩	詡	hɵy˧˥
许	許	hɵy˧˥
栩	栩	hɵy˧˥
煦	煦	hɵy˧˥/hɵy˧
哭	哭	hʊk˥
槲	槲	hʊk˨
酷	酷	hʊk˨
凶	凶	hʊŋ˥
匈	匈	hʊŋ˥
胸	胸	hʊŋ˥
凶	兇	hʊŋ˥
崆	崆	hʊŋ˥
空	空	hʊŋ˥
汹	洶	hʊŋ˥
箜	箜	hʊŋ˥
哄	哄	hʊŋ˧
控	控	hʊŋ˧
汞	汞	hʊŋ˧
烘	烘	hʊŋ˧/hʊŋ˥
哄	鬨	hʊŋ˧/hʊŋ˨
孔	孔	hʊŋ˧˥
恐	恐	hʊŋ˧˥
红	紅	hʊŋ˨˩
虹	虹	hʊŋ˨˩
熊	熊	hʊŋ˨˩
洪	洪	hʊŋ˨˩
雄	雄	hʊŋ˨˩
鸿	鴻	hʊŋ˨˩
讧	訌	hʊŋ˨˩/hʊŋ˧
也	也	ja:˩˧
奄	奄	ji:m˥
淹	淹	ji:m˥
恹	懨	ji:m˥
阉	閹	ji:m˥
腌	醃	ji:m˥/ji:p˧
餍	饜	ji:m˧
厌	厭	ji:m˧
魇	魘	ji:m˧˥
掩	掩	ji:m˧˥
焰	焰	ji:m˨
验	驗	ji:m˨
艳	艷	ji:m˨
阎	閻	ji:m˨˩
炎	炎	ji:m˨˩
闫	閆	ji:m˨˩
蚺	蚺	ji:m˨˩
嫌	嫌	ji:m˨˩
严	嚴	ji:m˨˩
髯	髯	ji:m˨˩
盐	鹽	ji:m˨˩
檐	簷	ji:m˨˩/si:m˨˩
染	染	ji:m˩˧
俨	儼	ji:m˩˧
苒	苒	ji:m˩˧
冉	冉	ji:m˩˧
蔫	蔫	ji:n˥
咽	咽	ji:n˥
阏	閼	ji:n˥
鄢	鄢	ji:n˥
嫣	嫣	ji:n˥
燕	燕	ji:n˥
湮	湮	ji:n˥
胭	胭	ji:n˥
焉	焉	ji:n˥
烟	菸	ji:n˥
烟	煙	ji:n˥
咽	嚥	ji:n˧
燕	燕	ji:n˧
宴	宴	ji:n˧
兖	兗	ji:n˧˥
堰	堰	ji:n˧˥
鼹	鼴	ji:n˧˥
演	演	ji:n˧˥
偃	偃	ji:n˧˥
衍	衍	ji:n˧˥/hi:n˧˥
彦	彥	ji:n˨
谳	讞	ji:n˨
谚	諺	ji:n˨
现	現	ji:n˨
砚	硯	ji:n˨
唁	唁	ji:n˨
苋	莧	ji:n˨
延	延	ji:n˨˩
燃	燃	ji:n˨˩
筵	筵	ji:n˨˩
妍	妍	ji:n˨˩
蜒	蜒	ji:n˨˩
焉	焉	ji:n˨˩
言	言	ji:n˨˩
涎	涎	ji:n˨˩
研	研	ji:n˨˩
贤	賢	ji:n˨˩
弦	弦	ji:n˨˩
舷	舷	ji:n˨˩
然	然	ji:n˨˩
靥	靨	ji:p˧
叶	葉	ji:p˨
烨	燁	ji:p˨
页	頁	ji:p˨
业	業	ji:p˨
谒	謁	ji:t˧
噎	噎	ji:t˧
咽	咽	ji:t˧
热	熱	ji:t˨
拽	拽	ji:t˨
孽	孽	ji:t˨
臬	臬	ji:t˨/ni:p˨
腰	腰	ji:u˥
幺	么	ji:u˥
妖	妖	ji:u˥
邀	邀	ji:u˥
吆	吆	ji:u˥
夭	夭	ji:u˥
要	要	ji:u˥
要	要	ji:u˧
窈	窈	ji:u˧˥
夭	夭	ji:u˧˥
扰	擾	ji:u˧˥
绕	繞	ji:u˧˥/ji:u˩˧
鹞	鷂	ji:u˨
耀	耀	ji:u˨
曜	曜	ji:u˨
飖	颻	ji:u˨˩
饶	饒	ji:u˨˩
鳐	鰩	ji:u˨˩
谣	謠	ji:u˨˩
姚	姚	ji:u˨˩
娆	嬈	ji:u˨˩
摇	搖	ji:u˨˩
瑶	瑤	ji:u˨˩
尧	堯	ji:u˨˩
窑	窯	ji:u˨˩
徭	徭	ji:u˨˩
洮	洮	ji:u˨˩
遥	遙	ji:u˨˩
舀	舀	ji:u˩˧
伊	伊	ji:˥
依	依	ji:˥
漪	漪	ji:˥
铱	銥	ji:˥
衣	衣	ji:˥
黟	黟	ji:˥
猗	猗	ji:˥
祎	禕	ji:˥
祎	禕	ji:˥
医	醫	ji:˥
