開放粵語字典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［廣州拼音］
汛	汛	sên3
訊	讯	sên3
遜	逊	sên3
囟	囟	sên3/sên2
淳	淳	sên4
醇	醇	sên4
純	纯	sên4
脣	唇	sên4
鶉	鹑	sên4/cên1
順	顺	sên6
傷	伤	sêng1
鸘	鹴	sêng1
箱	箱	sêng1
湘	湘	sêng1
觴	觞	sêng1
孀	孀	sêng1
殤	殇	sêng1
相	相	sêng1
廂	厢	sêng1
雙	双	sêng1
霜	霜	sêng1
鑲	镶	sêng1
襄	襄	sêng1
商	商	sêng1
想	想	sêng2
賞	赏	sêng2
鯗	鲞	sêng2
相	相	sêng3
嫦	嫦	sêng4
嚐	尝	sêng4
徜	徜	sêng4
常	常	sêng4
償	偿	sêng4
裳	裳	sêng4
嘗	尝	sêng4
上	上	sêng5
尚	尚	sêng6
上	上	sêng6
綏	绥	sêu1
需	需	sêu1
睢	睢	sêu1
荽	荽	sêu1
須	须	sêu1
胥	胥	sêu1
雖	虽	sêu1
濉	濉	sêu1
衰	衰	sêu1
水	水	sêu2
稅	税	sêu3
帥	帅	sêu3
歲	岁	sêu3
碎	碎	sêu3
說	说	sêu3
垂	垂	sêu4
誰	谁	sêu4
髓	髓	sêu5
墅	墅	sêu5
緒	绪	sêu5
絮	絮	sêu5/sêu6
萃	萃	sêu6
隧	隧	sêu6
穗	穗	sêu6
邃	邃	sêu6
燧	燧	sêu6
睡	睡	sêu6
粹	粹	sêu6
遂	遂	sêu6
悴	悴	sêu6
祟	祟	sêu6
瑞	瑞	sêu6
瘁	瘁	sêu6/sêu5
它	它	ta1
牠	它	ta1
他	他	ta1
她	她	ta1
鉈	铊	ta1
祂	他	ta1
塔	塔	tab3
塌	塌	tab3
榻	榻	tab3
漯	漯	tab3
遢	遢	tab3/tad3
闥	闼	tad3
撻	挞	tad3
躂	跶	tad3
韃	鞑	tad3
趿	趿	tad3
太	太	tai3
泰	泰	tai3
傣	傣	tai3
態	态	tai3
貸	贷	tai3
肽	肽	tai3
鈦	钛	tai3
汰	汰	tai3
貪	贪	tam1
毯	毯	tam2
探	探	tam3
罈	坛	tam3
痰	痰	tam4
談	谈	tam4
曇	昙	tam4
潭	潭	tam4
譚	谭	tam4
郯	郯	tam4
澹	澹	tam4
覃	覃	tam4
淡	淡	tam5
攤	摊	tan1
坍	坍	tan1
灘	滩	tan1
癱	瘫	tan1
亶	亶	tan2
忐	忐	tan2
鉭	钽	tan2
疸	疸	tan2
坦	坦	tan2
袒	袒	tan2
歎	叹	tan3
炭	炭	tan3
碳	碳	tan3
彈	弹	tan4
檀	檀	tan4
壇	坛	tan4
銻	锑	tei1
梯	梯	tei1
體	体	tei2
涕	涕	tei3
剃	剃	tei3
屜	屉	tei3
替	替	tei3
嚏	嚏	tei3
堤	堤	tei4
啼	啼	tei4
鵜	鹈	tei4
題	题	tei4
緹	缇	tei4
提	提	tei4
醍	醍	tei4
蹄	蹄	tei4
飩	饨	ten1
吞	吞	ten1
褪	褪	ten3
騰	腾	teng4
謄	誊	teng4
藤	藤	teng4
滕	滕	teng4
疼	疼	teng4
偷	偷	teo1
透	透	teo3
頭	头	teo4
投	投	teo4
骰	骰	teo4/xig1
貼	贴	tib3
萜	萜	tib3
帖	帖	tib3
鐵	铁	tid3
餮	餮	tid3
惕	惕	tig1
鋱	铽	tig1
剔	剔	tig1
倜	倜	tig1
忒	忒	tig1
忑	忑	tig1
添	添	tim1
舔	舔	tim2
甜	甜	tim4
恬	恬	tim4
天	天	tin1
腆	腆	tin2
鈿	钿	tin4
填	填	tin4
田	田	tin4
闐	阗	tin4
滇	滇	tin4/din1
鈿	钿	tin4/din6
殄	殄	tin5/tim5
烴	烃	ting1
汀	汀	ting1
聽	听	ting1/téng1
廳	厅	ting1/téng1
聽	听	ting3
蜓	蜓	ting4
庭	庭	ting4
霆	霆	ting4
婷	婷	ting4
停	停	ting4
亭	亭	ting4
廷	廷	ting4
鋌	铤	ting5
挺	挺	ting5
艇	艇	ting5/téng5
挑	挑	tiu1
眺	眺	tiu3
跳	跳	tiu3
調	调	tiu4
髫	髫	tiu4
迢	迢	tiu4
齠	龆	tiu4
條	条	tiu4
笤	笤	tiu4
窕	窕	tiu5
挑	挑	tiu5
拖	拖	to1
橢	椭	to2
妥	妥	to2
唾	唾	to3/tê3
馱	驮	to4
舵	舵	to4
陀	陀	to4
佗	佗	to4
駝	驼	to4
鴕	鸵	to4
沱	沱	to4
橐	橐	tog3
拓	拓	tog3
庹	庹	tog3
托	托	tog3
託	托	tog3
胎	胎	toi1
苔	苔	toi1
薹	薹	toi4
颱	台	toi4
苔	苔	toi4
抬	抬	toi4
跆	跆	toi4
台	台	toi4
枱	台	toi4
湯	汤	tong1
淌	淌	tong2
儻	傥	tong2
帑	帑	tong2
倘	倘	tong2
躺	躺	tong2
熨	熨	tong3
趟	趟	tong3
蹚	蹚	tong3
燙	烫	tong3
螳	螳	tong4
塘	塘	tong4
膛	膛	tong4
幢	幢	tong4
醣	醣	tong4
溏	溏	tong4
唐	唐	tong4
棠	棠	tong4
堂	堂	tong4
糖	糖	tong4/tong2
搪	搪	tong4/tong5
饕	饕	tou1
韜	韬	tou1
滔	滔	tou1
叨	叨	tou1
釷	钍	tou2
討	讨	tou2
土	土	tou2
禱	祷	tou2
吐	吐	tou3
兔	兔	tou3
套	套	tou3
萄	萄	tou4
逃	逃	tou4
塗	涂	tou4
圖	图	tou4
鼗	鼗	tou4
掏	掏	tou4
涂	涂	tou4
濤	涛	tou4
桃	桃	tou4
徒	徒	tou4
淘	淘	tou4
荼	荼	tou4
途	途	tou4
洮	洮	tou4
陶	陶	tou4
屠	屠	tou4
檮	梼	tou4
啕	啕	tou4
肚	肚	tou5
禿	秃	tug1
通	通	tung1
統	统	tung2
捅	捅	tung2
桶	桶	tung2
筒	筒	tung2/tung4
痛	痛	tung3
酮	酮	tung4
童	童	tung4
銅	铜	tung4
衕	同	tung4
潼	潼	tung4
桐	桐	tung4
瞳	瞳	tung4
彤	彤	tung4
峒	峒	tung4
同	同	tung4
僮	僮	tung4
佟	佟	tung4
踢	踢	tég3
湍	湍	tên1/jun1
彖	彖	tên3
盾	盾	tên5
推	推	têu1
腿	腿	têu2
蛻	蜕	têu3
退	退	têu3
頹	颓	têu4
脫	脱	tüd3
囤	囤	tün4
臀	臀	tün4
豚	豚	tün4
團	团	tün4
糰	团	tün4
屯	屯	tün4
斷	断	tün5
屋	屋	ug1
甕	瓮	ung3
齆	齆	ung3
娃	娃	wa1
窪	洼	wa1
哇	哇	wa1
蛙	蛙	wa1
凹	凹	wa1
譁	哗	wa1
嘩	哗	wa1
話	话	wa2
剮	剐	wa2
畫	画	wa2/wa6
華	华	wa4
驊	骅	wa4
划	划	wa4/wa1
踝	踝	wa5
話	话	wa6
華	华	wa6
樺	桦	wa6/wa4
挖	挖	wad3
斡	斡	wad3
猾	猾	wad6
滑	滑	wad6
或	或	wag6
惑	惑	wag6
畫	画	wag6
劃	划	wag6
歪	歪	wai1
淮	淮	wai4
槐	槐	wai4
懷	怀	wai4
壞	坏	wai6
灣	湾	wan1
彎	弯	wan1
玩	玩	wan2
綰	绾	wan2
環	环	wan4
還	还	wan4
鬟	鬟	wan4
頑	顽	wan4
玩	玩	wan4
寰	寰	wan4
輓	挽	wan5
挽	挽	wan5
患	患	wan6
宦	宦	wan6
幻	幻	wan6
橫	横	wang4
橫	横	wang6
鬱	郁	wed1
屈	屈	wed1
鷸	鹬	wed6
聿	聿	wed6/lêd6
崴	崴	wei1
威	威	wei1
委	委	wei1
逶	逶	wei1
葳	葳	wei1
痿	痿	wei2
萎	萎	wei2
喟	喟	wei2
毀	毁	wei2
卉	卉	wei2
猥	猥	wei2
委	委	wei2
蔚	蔚	wei3
尉	尉	wei3
餵	喂	wei3
畏	畏	wei3
喂	喂	wei3
慰	慰	wei3
穢	秽	wei3
薈	荟	wei3/wui6
闈	闱	wei4
維	维	wei4
違	违	wei4
唯	唯	wei4
桅	桅	wei4
帷	帷	wei4
為	为	wei4
惟	惟	wei4
圍	围	wei4
濰	潍	wei4
遺	遗	wei4
諱	讳	wei5
韋	韦	wei5
韙	韪	wei5
偉	伟	wei5
瑋	玮	wei5
葦	苇	wei5
緯	纬	wei5
蝟	猬	wei6
蕙	蕙	wei6
位	位	wei6
惠	惠	wei6
謂	谓	wei6
衛	卫	wei6
胃	胃	wei6
彗	彗	wei6
為	为	wei6
渭	渭	wei6
慧	慧	wei6
溫	温	wen1
瘟	瘟	wen1
氳	氲	wen1
穩	稳	wen2
醞	酝	wen3
搵	揾	wen3
慍	愠	wen3
蘊	蕴	wen3
魂	魂	wen4
雲	云	wen4
蕓	芸	wen4
云	云	wen4
筠	筠	wen4
暈	晕	wen4
耘	耘	wen4
妘	妘	wen4
勻	匀	wen4
渾	浑	wen4
餛	馄	wen4
鋆	鋆	wen4
芸	芸	wen4
紜	纭	wen4
琿	珲	wen4
昀	昀	wen4
殞	殒	wen5
隕	陨	wen5
尹	尹	wen5
允	允	wen5
狁	狁	wen5
諢	诨	wen6
鄆	郓	wen6
混	混	wen6
熨	熨	wen6
暈	晕	wen6
運	运	wen6
韻	韵	wen6/wen5
弘	弘	weng4
宏	宏	weng4
閎	闳	weng4
域	域	wig6
蜮	蜮	wig6
閾	阈	wig6
扔	扔	wing1
嶸	嵘	wing4
榮	荣	wing4
永	永	wing5
潁	颍	wing6
泳	泳	wing6
詠	咏	wing6
穎	颖	wing6
撾	挝	wo1
媧	娲	wo1
倭	倭	wo1
渦	涡	wo1
鍋	锅	wo1
蝸	蜗	wo1
萵	莴	wo1
窩	窝	wo1
窠	窠	wo1/fo1
禾	禾	wo4
和	和	wo4
禍	祸	wo6
鑊	镬	wog6
獲	获	wog6
穫	获	wog6
汪	汪	wong1
枉	枉	wong2
煌	煌	wong4
遑	遑	wong4
蝗	蝗	wong4
王	王	wong4
黃	黄	wong4
皇	皇	wong4
磺	磺	wong4
惶	惶	wong4
潢	潢	wong4
凰	凰	wong4
徨	徨	wong4
簧	簧	wong4
蟥	蟥	wong4
隍	隍	wong4
往	往	wong5
旺	旺	wong6
污	污	wu1
鎢	钨	wu1
烏	乌	wu1
鄔	邬	wu1
嗚	呜	wu1
惡	恶	wu1
滸	浒	wu2
塢	坞	wu2
惡	恶	wu3
糊	糊	wu4
葫	葫	wu4
壺	壶	wu4
湖	湖	wu4
狐	狐	wu4
蝴	蝴	wu4
瑚	瑚	wu4
猢	猢	wu4
鬍	胡	wu4
醐	醐	wu4
胡	胡	wu4
弧	弧	wu4
衚	胡	wu4
餬	糊	wu4
鶘	鹕	wu4
煳	煳	wu4
祜	祜	wu6
戶	户	wu6
互	互	wu6
芋	芋	wu6
滬	沪	wu6
扈	扈	wu6
怙	怙	wu6
護	护	wu6
瓠	瓠	wu6/wu4
活	活	wud6
偎	偎	wui1
蛔	蛔	wui4
徊	徊	wui4
回	回	wui4
迴	回	wui4
洄	洄	wui4
會	会	wui5
會	会	wui6
燴	烩	wui6
匯	汇	wui6
彙	汇	wui6/wei6
會	会	wui6/wui2
剜	剜	wun1
腕	腕	wun2
碗	碗	wun2
莞	莞	wun2
豌	豌	wun2/wun1
玩	玩	wun2/wun6
惋	惋	wun2/yun2
垣	垣	wun4
桓	桓	wun4
援	援	wun4/yun4
皖	皖	wun5
浣	浣	wun5
奐	奂	wun6
喚	唤	wun6
煥	焕	wun6
玩	玩	wun6
緩	缓	wun6
瘓	痪	wun6
換	换	wun6
獅	狮	xi1
詩	诗	xi1
尸	尸	xi1
絲	丝	xi1
私	私	xi1
施	施	xi1
撕	撕	xi1
蓍	蓍	xi1
斯	斯	xi1
司	司	xi1
屍	尸	xi1
廝	厮	xi1
師	师	xi1
思	思	xi1
史	史	xi2
屎	屎	xi2
使	使	xi2
嗜	嗜	xi3
使	使	xi3
泗	泗	xi3
試	试	xi3
弒	弑	xi3
肆	肆	xi3
諡	谥	xi3
駟	驷	xi3
蒔	莳	xi4
時	时	xi4
匙	匙	xi4
鰣	鲥	xi4
市	市	xi5
士	士	xi6
仕	仕	xi6
事	事	xi6
侍	侍	xi6
示	示	xi6
伺	伺	xi6
視	视	xi6
氏	氏	xi6
豉	豉	xi6
是	是	xi6
攝	摄	xib3
涉	涉	xib3
歙	歙	xib3
懾	慑	xib3/jib3
薛	薛	xid3
舌	舌	xid3
褻	亵	xid3
竊	窃	xid3
絏	绁	xid3
屑	屑	xid3
楔	楔	xid3
洩	泄	xid3
揳	揳	xid3/xib3
銫	铯	xig1
飾	饰	xig1
晰	晰	xig1
析	析	xig1
色	色	xig1
適	适	xig1
式	式	xig1
嗇	啬	xig1
釋	释	xig1
淅	淅	xig1
蟋	蟋	xig1
悉	悉	xig1
螫	螫	xig1
熄	熄	xig1
軾	轼	xig1
昔	昔	xig1
皙	皙	xig1
息	息	xig1
拭	拭	xig1
蜥	蜥	xig1
識	识	xig1
惜	惜	xig1
媳	媳	xig1
蝕	蚀	xig6
食	食	xig6
閃	闪	xim2
陝	陕	xim2
禪	禅	xim4
單	单	xim4
蟾	蟾	xim4
贍	赡	xim6
先	先	xin1
酰	酰	xin1
仙	仙	xin1
鮮	鲜	xin1
氙	氙	xin1/san1
跣	跣	xin2
鮮	鲜	xin2
冼	冼	xin2
癬	癣	xin2
騸	骟	xin3
腺	腺	xin3
線	线	xin3
扇	扇	xin3
霰	霰	xin3
煽	煽	xin3
蟬	蝉	xin4
鱔	鳝	xin5
擅	擅	xin6
嬗	嬗	xin6
善	善	xin6
膳	膳	xin6
倩	倩	xin6
撣	掸	xin6
禪	禅	xin6
繕	缮	xin6
鄯	鄯	xin6
單	单	xin6
羨	羡	xin6
茜	茜	xin6/sei1
勝	胜	xing1
陞	升	xing1
惺	惺	xing1
星	星	xing1
昇	升	xing1
升	升	xing1
猩	猩	xing1
聲	声	xing1/séng1
腥	腥	xing1/séng1
省	省	xing2
醒	醒	xing2/séng2
姓	姓	xing3
聖	圣	xing3
性	性	xing3
勝	胜	xing3
城	城	xing4
丞	丞	xing4
成	成	xing4
承	承	xing4
盛	盛	xing4
繩	绳	xing4
誠	诚	xing4
澠	渑	xing4
乘	乘	xing4
剩	剩	xing6
嵊	嵊	xing6
盛	盛	xing6
霄	霄	xiu1
魈	魈	xiu1
宵	宵	xiu1
消	消	xiu1
簫	箫	xiu1
逍	逍	xiu1
硝	硝	xiu1
蕭	萧	xiu1
瀟	潇	xiu1
銷	销	xiu1
韶	韶	xiu1
燒	烧	xiu1
少	少	xiu2
小	小	xiu2
筱	筱	xiu2
嘯	啸	xiu3
笑	笑	xiu3
少	少	xiu3
紹	绍	xiu6
邵	邵	xiu6
肇	肇	xiu6
劭	劭	xiu6
兆	兆	xiu6
舒	舒	xu1
書	书	xu1
樞	枢	xu1
輸	输	xu1
紓	纾	xu1
抒	抒	xu1
暑	暑	xu2
鼠	鼠	xu2
黍	黍	xu2
戍	戍	xu3
庶	庶	xu3
恕	恕	xu3
殊	殊	xu4
薯	薯	xu4
豎	竖	xu6
樹	树	xu6
鱈	鳕	xud3
說	说	xud3
雪	雪	xud3
宣	宣	xun1
酸	酸	xun1
狻	狻	xun1
猻	狲	xun1
飧	飧	xun1
悛	悛	xun1
蓀	荪	xun1
瑄	瑄	xun1
孫	孙	xun1
選	选	xun2
損	损	xun2
蒜	蒜	xun3
算	算	xun3
渲	渲	xun3/hün1
璇	璇	xun4
旋	旋	xun4
漩	漩	xun4
船	船	xun4
雋	隽	xun5
吮	吮	xun5
篆	篆	xun6
也	也	ya5
揖	揖	yeb1
悒	悒	yeb1
挹	挹	yeb1
泣	泣	yeb1
翕	翕	yeb1
邑	邑	yeb1
熠	熠	yeb1
入	入	yeb6
一	一	yed1
壹	壹	yed1
溢	溢	yed6
日	日	yed6
逸	逸	yed6
軼	轶	yed6
跩	跩	yei6
曳	曳	yei6
欽	钦	yem1
歆	歆	yem1
音	音	yem1
鑫	鑫	yem1
陰	阴	yem1
飲	饮	yem2
蔭	荫	yem3
窨	窨	yem3
霪	霪	yem4
任	任	yem4
淫	淫	yem4
吟	吟	yem4
壬	壬	yem4
荏	荏	yem5/yem6
任	任	yem6
飪	饪	yem6
衽	衽	yem6
任	任	yem6
賃	赁	yem6
妊	妊	yem6
氤	氤	yen1
恩	恩	yen1
忻	忻	yen1
殷	殷	yen1
欣	欣	yen1
昕	昕	yen1
甄	甄	yen1
因	因	yen1
堙	堙	yen1
茵	茵	yen1
姻	姻	yen1
隱	隐	yen2
癮	瘾	yen2
忍	忍	yen2
印	印	yen3
人	人	yen4
仁	仁	yen4
夤	夤	yen4
寅	寅	yen4
蚓	蚓	yen5
引	引	yen5
釁	衅	yen6
刃	刃	yen6
紉	纫	yen6
胤	胤	yen6
孕	孕	yen6
韌	韧	yen6/ngeng6
咻	咻	yeo1
休	休	yeo1
幽	幽	yeo1
髹	髹	yeo1
憂	忧	yeo1
鵂	鸺	yeo1
貅	貅	yeo1
蚯	蚯	yeo1
優	优	yeo1
邱	邱	yeo1
丘	丘	yeo1
黝	黝	yeo2
柚	柚	yeo2
幼	幼	yeo3
鈾	铀	yeo4
疣	疣	yeo4
郵	邮	yeo4
柔	柔	yeo4
攸	攸	yeo4
油	油	yeo4
揉	揉	yeo4
遊	游	yeo4
魷	鱿	yeo4
酋	酋	yeo4
游	游	yeo4
悠	悠	yeo4
由	由	yeo4
尤	尤	yeo4
蹂	蹂	yeo4
蚰	蚰	yeo4
猶	犹	yeo4
友	友	yeo5
誘	诱	yeo5
有	有	yeo5
酉	酉	yeo5
釉	釉	yeo6
又	又	yeo6
囿	囿	yeo6
宥	宥	yeo6
侑	侑	yeo6
佑	佑	yeo6
右	右	yeo6
鼬	鼬	yeo6
狖	狖	yeo6
依	依	yi1
衣	衣	yi1
銥	铱	yi1
漪	漪	yi1
醫	医	yi1
黟	黟	yi1
猗	猗	yi1
禕	祎	yi1
禕	祎	yi1
伊	伊	yi1
椅	椅	yi2
旖	旖	yi2
綺	绮	yi2
倚	倚	yi2
齮	齮	yi2
懿	懿	yi3
鐿	镱	yi3
薏	薏	yi3
癔	癔	yi3
意	意	yi3
迤	迤	yi4
詒	诒	yi4
怡	怡	yi4
而	而	yi4
誼	谊	yi4
頤	颐	yi4
痍	痍	yi4
儀	仪	yi4
姨	姨	yi4
宜	宜	yi4
夷	夷	yi4
疑	疑	yi4
貽	贻	yi4
兒	儿	yi4
蛇	蛇	yi4
胰	胰	yi4
移	移	yi4
飴	饴	yi4
咦	咦	yi4
彞	彝	yi4
沂	沂	yi4
眙	眙	yi4
擬	拟	yi5
議	议	yi5
矣	矣	yi5
以	以	yi5
邇	迩	yi5
耳	耳	yi5
已	已	yi5
洱	洱	yi5
迤	迤	yi5
爾	尔	yi5
二	二	yi6
劓	劓	yi6
義	义	yi6
肄	肄	yi6
異	异	yi6
貳	贰	yi6
易	易	yi6
靨	靥	yib3
燁	烨	yib6
業	业	yib6
葉	叶	yib6
頁	页	yib6
咽	咽	yid3
謁	谒	yid3
噎	噎	yid3
熱	热	yid6
拽	拽	yid6
孽	孽	yid6
臬	臬	yid6/nib6
鬩	阋	yig1
益	益	yig1
臆	臆	yig1
億	亿	yig1
抑	抑	yig1
憶	忆	yig1
腋	腋	yig6
疫	疫	yig6
譯	译	yig6
繹	绎	yig6
亦	亦	yig6
掖	掖	yig6
弋	弋	yig6
易	易	yig6
翌	翌	yig6
驛	驿	yig6
蜴	蜴	yig6
弈	弈	yig6
翼	翼	yig6
液	液	yig6
翊	翊	yig6
役	役	yig6
奕	奕	yig6
逆	逆	yig6/ngag6
淹	淹	yim1
懨	恹	yim1
閹	阉	yim1
奄	奄	yim1
醃	腌	yim1/yib3
掩	掩	yim2
魘	魇	yim2
饜	餍	yim3
厭	厌	yim3
髯	髯	yim4
嚴	严	yim4
炎	炎	yim4
蚺	蚺	yim4
嫌	嫌	yim4
閻	阎	yim4
閆	闫	yim4
鹽	盐	yim4
簷	檐	yim4/xim4
苒	苒	yim5
冉	冉	yim5
染	染	yim5
儼	俨	yim5
艷	艳	yim6
驗	验	yim6
焰	焰	yim6
胭	胭	yin1
咽	咽	yin1
嫣	嫣	yin1
閼	阏	yin1
蔫	蔫	yin1
煙	烟	yin1
燕	燕	yin1
焉	焉	yin1
菸	烟	yin1
鄢	鄢	yin1
湮	湮	yin1
鼴	鼹	yin2
偃	偃	yin2
兗	兖	yin2
演	演	yin2
堰	堰	yin2
衍	衍	yin2/hin2
宴	宴	yin3
燕	燕	yin3
嚥	咽	yin3
賢	贤	yin4
研	研	yin4
然	然	yin4
舷	舷	yin4
弦	弦	yin4
延	延	yin4
燃	燃	yin4
筵	筵	yin4
蜒	蜒	yin4
焉	焉	yin4
涎	涎	yin4
言	言	yin4
妍	妍	yin4
彥	彦	yin6
唁	唁	yin6
諺	谚	yin6
讞	谳	yin6
莧	苋	yin6
硯	砚	yin6
現	现	yin6
應	应	ying1
鸚	鹦	ying1
嬰	婴	ying1
英	英	ying1
櫻	樱	ying1
瑛	瑛	ying1
膺	膺	ying1
鷹	鹰	ying1
纓	缨	ying1
映	映	ying2
影	影	ying2
應	应	ying3
瀠	潆	ying4
形	形	ying4
刑	刑	ying4
蠅	蝇	ying4
鎣	蓥	ying4
滎	荥	ying4
陘	陉	ying4
熒	荧	ying4
型	型	ying4
營	营	ying4
仍	仍	ying4
瑩	莹	ying4
盈	盈	ying4
迎	迎	ying4
楹	楹	ying4
贏	赢	ying4
邢	邢	ying4
螢	萤	ying4
縈	萦	ying4
瀛	瀛	ying4
凝	凝	ying4
嬴	嬴	ying4
瀅	滢	ying4/ying6
郢	郢	ying5
認	认	ying6
邀	邀	yiu1
要	要	yiu1
么	幺	yiu1
吆	吆	yiu1
腰	腰	yiu1
妖	妖	yiu1
夭	夭	yiu1
擾	扰	yiu2
夭	夭	yiu2
窈	窈	yiu2
繞	绕	yiu2/yiu5
要	要	yiu3
鰩	鳐	yiu4
饒	饶	yiu4
謠	谣	yiu4
姚	姚	yiu4
颻	飖	yiu4
搖	摇	yiu4
瑤	瑶	yiu4
堯	尧	yiu4
窯	窑	yiu4
嬈	娆	yiu4
洮	洮	yiu4
徭	徭	yiu4
遙	遥	yiu4
舀	舀	yiu5
耀	耀	yiu6
鷂	鹞	yiu6
曜	曜	yiu6
喲	哟	yo1
唷	唷	yo1
迂	迂	yu1
淤	淤	yu1
於	于	yu1
傴	伛	yu2
瘀	瘀	yu2
嫗	妪	yu2
酗	酗	yu3/hêu2/hêu3
娛	娱	yu4
臾	臾	yu4
逾	逾	yu4
禺	禺	yu4
餘	余	yu4
榆	榆	yu4
蝓	蝓	yu4
于	于	yu4
蠕	蠕	yu4
余	余	yu4
歟	欤	yu4
魚	鱼	yu4
盂	盂	yu4
漁	渔	yu4
竽	竽	yu4
嚅	嚅	yu4
狳	狳	yu4
茹	茹	yu4
渝	渝	yu4
濡	濡	yu4
愚	愚	yu4
妤	妤	yu4
愉	愉	yu4
瑜	瑜	yu4
踰	逾	yu4
儒	儒	yu4
覦	觎	yu4
予	予	yu4
隅	隅	yu4
萸	萸	yu4
虞	虞	yu4
俞	俞	yu4
如	如	yu4
揄	揄	yu4
輿	舆	yu4
諛	谀	yu4
孺	孺	yu4/yu6
羽	羽	yu5
語	语	yu5
禹	禹	yu5
雨	雨	yu5
圄	圄	yu5
瑀	瑀	yu5
齬	龉	yu5
予	予	yu5
乳	乳	yu5
與	与	yu5
宇	宇	yu5
汝	汝	yu5
敔	敔	yu5
貐	貐	yu5
豫	豫	yu6
蕷	蓣	yu6
遇	遇	yu6
預	预	yu6
癒	愈	yu6
與	与	yu6
愈	愈	yu6
御	御	yu6
裕	裕	yu6
寓	寓	yu6
諭	谕	yu6
語	语	yu6
禦	御	yu6
喻	喻	yu6
籲	吁	yu6
譽	誉	yu6
馭	驭	yu6
閱	阅	yud6
穴	穴	yud6
越	越	yud6
釔	钇	yud6
鉞	钺	yud6
曰	曰	yud6
月	月	yud6
粵	粤	yud6
悅	悦	yud6
乙	乙	yud6/yud3
沃	沃	yug1
煜	煜	yug1
毓	毓	yug1
郁	郁	yug1
昱	昱	yug1
旭	旭	yug1
頊	顼	yug1
彧	彧	yug1
鬻	鬻	yug6
肉	肉	yug6
鈺	钰	yug6
褥	褥	yug6
蓐	蓐	yug6
浴	浴	yug6
辱	辱	yug6
育	育	yug6
獄	狱	yug6
縟	缛	yug6
玉	玉	yug6
欲	欲	yug6
慾	欲	yug6
峪	峪	yug6/yu6
淵	渊	yun1
鴛	鸳	yun1
蜿	蜿	yun1
冤	冤	yun1
鳶	鸢	yun1
婉	婉	yun2
琬	琬	yun2
菀	菀	yun2
宛	宛	yun2
苑	苑	yun2
怨	怨	yun3
玄	玄	yun4
緣	缘	yun4
園	园	yun4
源	源	yun4
芫	芫	yun4
員	员	yun4
元	元	yun4
轅	辕	yun4
圓	圆	yun4
鉛	铅	yun4
烷	烷	yun4
紈	纨	yun4
沅	沅	yun4
眩	眩	yun4
完	完	yun4
猿	猿	yun4
原	原	yun4
懸	悬	yun4
沿	沿	yun4
袁	袁	yun4
丸	丸	yun4/yun2
軟	软	yun5
阮	阮	yun5
遠	远	yun5
願	愿	yun6
院	院	yun6
媛	媛	yun6
縣	县	yun6
炫	炫	yun6/yun4
遠	远	yun6/yun5
嗡	嗡	yung1
邕	邕	yung1
廱	廱	yung1
雍	雍	yung1
饔	饔	yung1
翁	翁	yung1
佣	佣	yung2
踴	踊	yung2
俑	俑	yung2
慂	恿	yung2
湧	涌	yung2
蛹	蛹	yung2
臃	臃	yung2
冗	冗	yung2
擁	拥	yung2
溶	溶	yung4
榕	榕	yung4
蓉	蓉	yung4
傭	佣	yung4
庸	庸	yung4
熔	熔	yung4
鏞	镛	yung4
茸	茸	yung4
融	融	yung4
戎	戎	yung4
慵	慵	yung4
鱅	鳙	yung4
容	容	yung4
絨	绒	yung4/yung2
勇	勇	yung5
用	用	yung6
爺	爷	yé4
椰	椰	yé4
邪	邪	yé4
揶	揶	yé4
耶	耶	yé4
惹	惹	yé5
冶	冶	yé5
野	野	yé5
夜	夜	yé6
偌	偌	yé6
贏	赢	yéng4
約	约	yêg3
龠	龠	yêg6
藥	药	yêg6
若	若	yêg6
虐	虐	yêg6
謔	谑	yêg6
躍	跃	yêg6
瘧	疟	yêg6
蒻	蒻	yêg6
弱	弱	yêg6
籥	籥	yêg6
鑰	钥	yêg6
潤	润	yên6
閏	闰	yên6
秧	秧	yêng1
鴦	鸯	yêng1
殃	殃	yêng1
央	央	yêng1
鞅	鞅	yêng2
羊	羊	yêng4
暘	旸	yêng4
佯	佯	yêng4
陽	阳	yêng4
洋	洋	yêng4
颺	飏	yêng4
瘍	疡	yêng4
烊	烊	yêng4
蘘	蘘	yêng4
穰	穰	yêng4
禳	禳	yêng4
瀼	瀼	yêng4
徉	徉	yêng4
楊	杨	yêng4
揚	扬	yêng4
仰	仰	yêng5
癢	痒	yêng5
氧	氧	yêng5
養	养	yêng5
攘	攘	yêng5
嚷	嚷	yêng5/yêng6
樣	样	yêng6
恙	恙	yêng6
釀	酿	yêng6
讓	让	yêng6
壤	壤	yêng6
漾	漾	yêng6
蕤	蕤	yêu4
蕊	蕊	yêu5
睿	睿	yêu6
芮	芮	yêu6
銳	锐	yêu6
裔	裔	yêu6
渣	渣	za1
糌	糌	za1
吒	吒	za1
齇	齇	za1
楂	楂	za1
咱	咱	za1
抓	抓	za1/zao2
榨	榨	za3
咤	咤	za3
炸	炸	za3
詐	诈	za3
咋	咋	za3
乍	乍	za3
蚱	蚱	za3/zag3
