開放粵語字典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［廣州拼音］
動	动	dung6
慟	恸	dung6
胴	胴	dung6
恫	恫	dung6
洞	洞	dung6
侗	侗	dung6
爹	爹	dé1
嗲	嗲	dé2
笛	笛	dég6
糴	籴	dég6
地	地	déi6
咄	咄	dêd1
涿	涿	dêg3
啄	啄	dêg3
斲	斫	dêg3
琢	琢	dêg3
敦	敦	dên1
蹲	蹲	dên1
墩	墩	dên1
惇	惇	dên1
噸	吨	dên6
盹	盹	dên6
沌	沌	dên6
鈍	钝	dên6
遁	遁	dên6
頓	顿	dên6
堆	堆	dêu1
對	对	dêu3
兌	兑	dêu6
隊	队	dêu6
奪	夺	düd6
端	端	dün1
短	短	dün2
鍛	锻	dün3
煅	煅	dün3
斷	断	dün6
緞	缎	dün6
段	段	dün6
斷	断	dün6/dün3
扼	扼	eg1/ag1
幄	幄	eg1/ag1
厄	厄	eg1/ag1
齷	龌	eg1/ag1
握	握	eg1/ag1
渥	渥	eg1/ag1
哎	哎	ei1
唉	唉	ei1
矮	矮	ei2
縊	缢	ei3
唉	唉	ei3
屭	屃	ei3
鵪	鹌	em1
庵	庵	em1
諳	谙	em1
揞	揞	em2
黯	黯	em2
暗	暗	em3
鶯	莺	eng1
罌	罂	eng1
歐	欧	eo1
鷗	鸥	eo1
甌	瓯	eo1
嘔	呕	eo2
毆	殴	eo2/eo1
慪	怄	eo3
凹	凹	eo3/neb1
花	花	fa1
化	化	fa3
髮	发	fad3
發	发	fad3
法	法	fad3
琺	珐	fad3
噲	哙	fai3
快	快	fai3
塊	块	fai3
傀	傀	fai3
筷	筷	fai3
翻	翻	fan1
番	番	fan1
幡	幡	fan1
旛	旛	fan1
返	返	fan2
反	反	fan2
犯	犯	fan2
販	贩	fan3/fan2
泛	泛	fan3/fan6
藩	藩	fan4
繁	繁	fan4
釩	钒	fan4
帆	帆	fan4
樊	樊	fan4
礬	矾	fan4
蕃	蕃	fan4
凡	凡	fan4
煩	烦	fan4
梵	梵	fan4/fan6
飯	饭	fan6
範	范	fan6
犯	犯	fan6
瓣	瓣	fan6
范	范	fan6
拂	拂	fed1
笏	笏	fed1
彿	佛	fed1
氟	氟	fed1
惚	惚	fed1
窟	窟	fed1
忽	忽	fed1
囫	囫	fed1
弗	弗	fed1
筏	筏	fed6
伐	伐	fed6
乏	乏	fed6
閥	阀	fed6
佛	佛	fed6
罰	罚	fed6
揮	挥	fei1
暉	晖	fei1
撝	撝	fei1
徽	徽	fei1
輝	辉	fei1
廢	废	fei3
沸	沸	fei3
肺	肺	fei3
費	费	fei3
狒	狒	fei3
吠	吠	fei6
分	分	fen1
薰	薰	fen1
氛	氛	fen1
紛	纷	fen1
婚	婚	fen1
熏	熏	fen1
燻	熏	fen1
醺	醺	fen1
葷	荤	fen1
酚	酚	fen1
芬	芬	fen1
吩	吩	fen1
勳	勋	fen1
昏	昏	fen1
粉	粉	fen2
訓	训	fen3
糞	粪	fen3
焚	焚	fen4
墳	坟	fen4
汾	汾	fen4
忿	忿	fen5
憤	愤	fen5
奮	奋	fen5
分	分	fen6
份	份	fen6
否	否	feo2
浮	浮	feo4
阜	阜	feo6
蝌	蝌	fo1
科	科	fo1
伙	伙	fo2
顆	颗	fo2
火	火	fo2
夥	伙	fo2
課	课	fo3
貨	货	fo3
霍	霍	fog3
攫	攫	fog3
方	方	fong1
芳	芳	fong1
荒	荒	fong1
邡	邡	fong1
慌	慌	fong1
肪	肪	fong1
謊	谎	fong1
坊	坊	fong1
仿	仿	fong2
恍	恍	fong2
幌	幌	fong2
紡	纺	fong2
晃	晃	fong2
彷	仿	fong2
訪	访	fong2
況	况	fong3
放	放	fong3
房	房	fong4
防	防	fong4
妨	妨	fong4
俘	俘	fu1
骷	骷	fu1
夫	夫	fu1
枯	枯	fu1
呼	呼	fu1
麩	麸	fu1
孵	孵	fu1
膚	肤	fu1
孚	孚	fu1
軤	轷	fu1
敷	敷	fu1
撫	抚	fu2
釜	釜	fu2
拊	拊	fu2
琥	琥	fu2
俯	俯	fu2
甫	甫	fu2
斧	斧	fu2
府	府	fu2
虎	虎	fu2
苦	苦	fu2
腑	腑	fu2
唬	唬	fu2
庫	库	fu3
副	副	fu3
褲	裤	fu3
絝	绔	fu3
戽	戽	fu3
富	富	fu3
賦	赋	fu3
扶	扶	fu4
符	符	fu4
芙	芙	fu4
乎	乎	fu4
婦	妇	fu5
訃	讣	fu6
負	负	fu6
附	附	fu6
輔	辅	fu6
父	父	fu6
赴	赴	fu6
咐	咐	fu6
腐	腐	fu6
駙	驸	fu6
付	付	fu6
傅	傅	fu6
鮒	鲋	fu6
仆	仆	fu6
闊	阔	fud3
馥	馥	fug1
蝠	蝠	fug1
蝮	蝮	fug1
腹	腹	fug1
複	复	fug1
福	福	fug1
覆	覆	fug1
輻	辐	fug1
幅	幅	fug1
袱	袱	fug6
復	复	fug6
宓	宓	fug6
茯	茯	fug6
伏	伏	fug6
服	服	fug6
詼	诙	fui1
魁	魁	fui1
恢	恢	fui1
灰	灰	fui1
奎	奎	fui1/kwei1
鮪	鲔	fui2
晦	晦	fui3
悔	悔	fui3
誨	诲	fui3
貛	獾	fun1
寬	宽	fun1
歡	欢	fun1
髖	髋	fun1
款	款	fun2
楓	枫	fung1
風	风	fung1
烽	烽	fung1
丰	丰	fung1
瘋	疯	fung1
峰	峰	fung1
豐	丰	fung1
蜂	蜂	fung1
封	封	fung1
鋒	锋	fung1
諷	讽	fung3
縫	缝	fung4
馮	冯	fung4
逢	逢	fung4
縫	缝	fung4/fung6
奉	奉	fung6
鳳	凤	fung6
俸	俸	fung6/fung2
啡	啡	fé1
飛	飞	féi1
緋	绯	féi1
菲	菲	féi1
妃	妃	féi1
鯡	鲱	féi1
霏	霏	féi1
扉	扉	féi1
蜚	蜚	féi1
非	非	féi1
斐	斐	féi2
誹	诽	féi2
榧	榧	féi2
悱	悱	féi2
匪	匪	féi2
翡	翡	féi2
肥	肥	féi4
腓	腓	féi4
家	家	ga1
加	加	ga1
珈	珈	ga1
迦	迦	ga1
伽	伽	ga1
枷	枷	ga1
袈	袈	ga1
噶	噶	ga1
嘉	嘉	ga1
痂	痂	ga1
鎵	镓	ga1
傢	家	ga1
賈	贾	ga2
架	架	ga2
尕	尕	ga2
假	假	ga2
斝	斝	ga2
檟	槚	ga2
假	假	ga3
價	价	ga3
架	架	ga3
稼	稼	ga3
嫁	嫁	ga3
駕	驾	ga3
咖	咖	ga3
甲	甲	gab3
頰	颊	gab3
莢	荚	gab3
夾	夹	gab3
胛	胛	gab3
郟	郏	gab3
鉀	钾	gab3
岬	岬	gab3
袷	袷	gab3
餄	饸	gab3
蛺	蛱	gab3
軋	轧	gad3
胳	胳	gag3
隔	隔	gag3
嗝	嗝	gag3
鎘	镉	gag3
骼	骼	gag3
膈	膈	gag3
革	革	gag3
格	格	gag3
秸	秸	gai1
偕	偕	gai1
階	阶	gai1
街	街	gai1
皆	皆	gai1
佳	佳	gai1
解	解	gai2
蚧	蚧	gai2/gwai2
界	界	gai3
尬	尬	gai3
戒	戒	gai3
芥	芥	gai3
屆	届	gai3
介	介	gai3
解	解	gai3
疥	疥	gai3
誡	诫	gai3
監	监	gam1
緘	缄	gam1
尷	尴	gam1/gam3
減	减	gam2
監	监	gam3
鑑	鉴	gam3
艱	艰	gan1
奸	奸	gan1
間	间	gan1
姦	奸	gan1
鐧	锏	gan2
鹼	碱	gan2
簡	简	gan2
繭	茧	gan2
柬	柬	gan2
揀	拣	gan2
諫	谏	gan3
澗	涧	gan3
間	间	gan3
更	更	gang1
耕	耕	gang1
郊	郊	gao1
膠	胶	gao1
蛟	蛟	gao1
交	交	gao1
茭	茭	gao1
跤	跤	gao1
佼	佼	gao2
鉸	铰	gao2
絞	绞	gao2
攪	搅	gao2
姣	姣	gao2
狡	狡	gao2
皎	皎	gao2
搞	搞	gao2
餃	饺	gao2
鉸	铰	gao3
窖	窖	gao3
覺	觉	gao3
較	较	gao3
校	校	gao3
教	教	gao3
酵	酵	gao3/hao1
急	急	geb1
鴿	鸽	geb3
蛤	蛤	geb3
吉	吉	ged1
桔	桔	ged1
紇	纥	ged1
訖	讫	ged1
嘎	嘎	ged3
疙	疙	ged6
雞	鸡	gei1
繼	继	gei3
計	计	gei3
薊	蓟	gei3
髻	髻	gei3
柑	柑	gem1
今	今	gem1
泔	泔	gem1
苷	苷	gem1
金	金	gem1
禁	禁	gem1
甘	甘	gem1
感	感	gem2
敢	敢	gem2
橄	橄	gem2
錦	锦	gem2
禁	禁	gem3
贛	赣	gem3
淦	淦	gem3
噤	噤	gem3
根	根	gen1
巾	巾	gen1
筋	筋	gen1
哏	哏	gen1
斤	斤	gen1
跟	跟	gen1
緊	紧	gen2
堇	堇	gen2
饉	馑	gen2
瑾	瑾	gen2
謹	谨	gen2
僅	仅	gen2
靳	靳	gen3
艮	艮	gen3
覲	觐	gen3/gen2
近	近	gen6
庚	庚	geng1
更	更	geng1
羹	羹	geng1
梗	梗	geng2
耿	耿	geng2
亙	亘	geng2
埂	埂	geng2
哽	哽	geng2
鯁	鲠	geng2/keng2
更	更	geng3
鉤	钩	geo1
佝	佝	geo1
鬮	阄	geo1
鳩	鸠	geo1/keo1
韭	韭	geo2
枸	枸	geo2
苟	苟	geo2
狗	狗	geo2
久	久	geo2
九	九	geo2
玖	玖	geo2
糾	纠	geo2/deo2
柩	柩	geo3
灸	灸	geo3
夠	够	geo3
咎	咎	geo3
廄	厩	geo3
究	究	geo3
垢	垢	geo3
救	救	geo3
詬	诟	geo3
疚	疚	geo3
舊	旧	geo6
劫	劫	gib3
結	结	gid3
潔	洁	gid3
拮	拮	gid3
桀	桀	gid6
傑	杰	gid6
擊	击	gig1
戟	戟	gig1
殛	殛	gig1
亟	亟	gig1
棘	棘	gig1
激	激	gig1
極	极	gig6
鶼	鹣	gim1
搛	搛	gim1
兼	兼	gim1
撿	捡	gim2
檢	检	gim2
瞼	睑	gim2
劍	剑	gim3
儉	俭	gim6
犍	犍	gin1
肩	肩	gin1
堅	坚	gin1
建	建	gin3
見	见	gin3
腱	腱	gin3
健	健	gin6
鍵	键	gin6
件	件	gin6
涇	泾	ging1
經	经	ging1
京	京	ging1
矜	矜	ging1
荊	荆	ging1
驚	惊	ging1
兢	兢	ging1
警	警	ging2
璟	璟	ging2
境	境	ging2
竟	竟	ging2
儆	儆	ging2
景	景	ging2
憬	憬	ging2
逕	径	ging3
勁	劲	ging3
敬	敬	ging3
徑	径	ging3
競	竞	ging6
勁	劲	ging6
痙	痉	ging6
驕	骄	giu1
嬌	娇	giu1
矯	矫	giu2
繳	缴	giu2
叫	叫	giu3
轎	轿	giu6
撬	撬	giu6
歌	歌	go1
仡	仡	go1
