开放粤语字典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［刘锡祥拼音］
拟	擬	yi5
迤	迤	yi5
议	議	yi5
迩	邇	yi5
劓	劓	yi6
义	義	yi6
肄	肄	yi6
异	異	yi6
贰	貳	yi6
二	二	yi6
易	易	yi6
亿	億	yik1
臆	臆	yik1
益	益	yik1
忆	憶	yik1
阋	鬩	yik1
抑	抑	yik1
翊	翊	yik6
蜴	蜴	yik6
弈	弈	yik6
腋	腋	yik6
翌	翌	yik6
易	易	yik6
弋	弋	yik6
掖	掖	yik6
疫	疫	yik6
译	譯	yik6
绎	繹	yik6
亦	亦	yik6
奕	奕	yik6
驿	驛	yik6
役	役	yik6
翼	翼	yik6
液	液	yik6
逆	逆	yik6/ngaak6
淹	淹	yim1
恹	懨	yim1
奄	奄	yim1
阉	閹	yim1
腌	醃	yim1/yip3
魇	魘	yim2
掩	掩	yim2
餍	饜	yim3
厌	厭	yim3
嫌	嫌	yim4
蚺	蚺	yim4
阎	閻	yim4
髯	髯	yim4
盐	鹽	yim4
炎	炎	yim4
严	嚴	yim4
闫	閆	yim4
檐	簷	yim4/sim4
染	染	yim5
冉	冉	yim5
俨	儼	yim5
苒	苒	yim5
焰	焰	yim6
验	驗	yim6
艳	艷	yim6
烟	煙	yin1
湮	湮	yin1
阏	閼	yin1
鄢	鄢	yin1
嫣	嫣	yin1
燕	燕	yin1
蔫	蔫	yin1
胭	胭	yin1
咽	咽	yin1
烟	菸	yin1
焉	焉	yin1
鼹	鼴	yin2
偃	偃	yin2
堰	堰	yin2
演	演	yin2
兖	兗	yin2
衍	衍	yin2/hin2
燕	燕	yin3
宴	宴	yin3
咽	嚥	yin3
燃	燃	yin4
言	言	yin4
然	然	yin4
贤	賢	yin4
研	研	yin4
涎	涎	yin4
舷	舷	yin4
焉	焉	yin4
延	延	yin4
弦	弦	yin4
蜒	蜒	yin4
妍	妍	yin4
筵	筵	yin4
苋	莧	yin6
砚	硯	yin6
现	現	yin6
彦	彥	yin6
谳	讞	yin6
谚	諺	yin6
唁	唁	yin6
膺	膺	ying1
缨	纓	ying1
婴	嬰	ying1
应	應	ying1
英	英	ying1
鹦	鸚	ying1
鹰	鷹	ying1
樱	櫻	ying1
瑛	瑛	ying1
映	映	ying2
影	影	ying2
应	應	ying3
潆	瀠	ying4
凝	凝	ying4
蓥	鎣	ying4
莹	瑩	ying4
盈	盈	ying4
型	型	ying4
陉	陘	ying4
荧	熒	ying4
营	營	ying4
荥	滎	ying4
迎	迎	ying4
刑	刑	ying4
蝇	蠅	ying4
仍	仍	ying4
嬴	嬴	ying4
瀛	瀛	ying4
萦	縈	ying4
萤	螢	ying4
邢	邢	ying4
赢	贏	ying4
楹	楹	ying4
形	形	ying4
滢	瀅	ying4/ying6
郢	郢	ying5
认	認	ying6
靥	靨	yip3
页	頁	yip6
叶	葉	yip6
烨	燁	yip6
业	業	yip6
咽	咽	yit3
谒	謁	yit3
噎	噎	yit3
拽	拽	yit6
热	熱	yit6
孽	孽	yit6
臬	臬	yit6/nip6
邀	邀	yiu1
吆	吆	yiu1
幺	么	yiu1
夭	夭	yiu1
妖	妖	yiu1
腰	腰	yiu1
要	要	yiu1
窈	窈	yiu2
扰	擾	yiu2
夭	夭	yiu2
绕	繞	yiu2/yiu5
要	要	yiu3
瑶	瑤	yiu4
摇	搖	yiu4
娆	嬈	yiu4
徭	徭	yiu4
洮	洮	yiu4
遥	遙	yiu4
窑	窯	yiu4
飖	颻	yiu4
姚	姚	yiu4
谣	謠	yiu4
鳐	鰩	yiu4
饶	饒	yiu4
尧	堯	yiu4
舀	舀	yiu5
耀	耀	yiu6
曜	曜	yiu6
鹞	鷂	yiu6
哟	喲	yoh1
唷	唷	yoh1
淤	淤	yue1
于	於	yue1
迂	迂	yue1
妪	嫗	yue2
伛	傴	yue2
瘀	瘀	yue2
酗	酗	yue3/hui2/hui3
俞	俞	yue4
予	予	yue4
愚	愚	yue4
妤	妤	yue4
愉	愉	yue4
瑜	瑜	yue4
逾	踰	yue4
臾	臾	yue4
渝	渝	yue4
舆	輿	yue4
揄	揄	yue4
如	如	yue4
濡	濡	yue4
逾	逾	yue4
萸	萸	yue4
隅	隅	yue4
竽	竽	yue4
觎	覦	yue4
儒	儒	yue4
谀	諛	yue4
茹	茹	yue4
狳	狳	yue4
嚅	嚅	yue4
娱	娛	yue4
渔	漁	yue4
盂	盂	yue4
鱼	魚	yue4
欤	歟	yue4
余	余	yue4
蠕	蠕	yue4
于	于	yue4
蝓	蝓	yue4
榆	榆	yue4
余	餘	yue4
禺	禺	yue4
虞	虞	yue4
孺	孺	yue4/yue6
敔	敔	yue5
汝	汝	yue5
宇	宇	yue5
与	與	yue5
乳	乳	yue5
貐	貐	yue5
予	予	yue5
羽	羽	yue5
语	語	yue5
禹	禹	yue5
雨	雨	yue5
龉	齬	yue5
圄	圄	yue5
瑀	瑀	yue5
誉	譽	yue6
与	與	yue6
豫	豫	yue6
语	語	yue6
御	禦	yue6
喻	喻	yue6
吁	籲	yue6
蓣	蕷	yue6
谕	諭	yue6
寓	寓	yue6
裕	裕	yue6
御	御	yue6
愈	愈	yue6
驭	馭	yue6
愈	癒	yue6
预	預	yue6
遇	遇	yue6
蜿	蜿	yuen1
渊	淵	yuen1
鸳	鴛	yuen1
冤	冤	yuen1
鸢	鳶	yuen1
婉	婉	yuen2
宛	宛	yuen2
苑	苑	yuen2
琬	琬	yuen2
菀	菀	yuen2
怨	怨	yuen3
源	源	yuen4
圆	圓	yuen4
辕	轅	yuen4
玄	玄	yuen4
员	員	yuen4
元	元	yuen4
缘	緣	yuen4
眩	眩	yuen4
猿	猿	yuen4
纨	紈	yuen4
沅	沅	yuen4
完	完	yuen4
袁	袁	yuen4
原	原	yuen4
悬	懸	yuen4
沿	沿	yuen4
烷	烷	yuen4
铅	鉛	yuen4
园	園	yuen4
芫	芫	yuen4
丸	丸	yuen4/yuen2
软	軟	yuen5
阮	阮	yuen5
远	遠	yuen5
愿	願	yuen6
院	院	yuen6
媛	媛	yuen6
县	縣	yuen6
炫	炫	yuen6/yuen4
远	遠	yuen6/yuen5
阅	閱	yuet6
穴	穴	yuet6
悦	悅	yuet6
粤	粵	yuet6
月	月	yuet6
曰	曰	yuet6
钺	鉞	yuet6
钇	釔	yuet6
越	越	yuet6
乙	乙	yuet6/yuet3
蕤	蕤	yui4
蕊	蕊	yui5
睿	睿	yui6
芮	芮	yui6
锐	銳	yui6
裔	裔	yui6
毓	毓	yuk1
煜	煜	yuk1
郁	郁	yuk1
沃	沃	yuk1
昱	昱	yuk1
彧	彧	yuk1
顼	頊	yuk1
旭	旭	yuk1
蓐	蓐	yuk6
褥	褥	yuk6
钰	鈺	yuk6
浴	浴	yuk6
辱	辱	yuk6
育	育	yuk6
鬻	鬻	yuk6
缛	縟	yuk6
肉	肉	yuk6
欲	欲	yuk6
玉	玉	yuk6
欲	慾	yuk6
狱	獄	yuk6
峪	峪	yuk6/yue6
润	潤	yun6
闰	閏	yun6
廱	廱	yung1
饔	饔	yung1
嗡	嗡	yung1
邕	邕	yung1
雍	雍	yung1
翁	翁	yung1
涌	湧	yung2
恿	慂	yung2
蛹	蛹	yung2
臃	臃	yung2
拥	擁	yung2
佣	佣	yung2
踊	踴	yung2
俑	俑	yung2
冗	冗	yung2
庸	庸	yung4
镛	鏞	yung4
容	容	yung4
熔	熔	yung4
戎	戎	yung4
茸	茸	yung4
佣	傭	yung4
蓉	蓉	yung4
鳙	鱅	yung4
融	融	yung4
溶	溶	yung4
慵	慵	yung4
榕	榕	yung4
绒	絨	yung4/yung2
勇	勇	yung5
用	用	yung6
