开放粤语字典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［刘锡祥拼音］
瞪	瞪	dang6/dang1
凸	凸	dat6
突	突	dat6
兜	兜	dau1
陡	陡	dau2
抖	抖	dau2
蚪	蚪	dau2
斗	斗	dau2
斗	鬥	dau3
痘	痘	dau6
逗	逗	dau6
窦	竇	dau6
豆	豆	dau6/dau2
爹	爹	de1
嗲	嗲	de2
地	地	dei6
笛	笛	dek6
籴	糴	dek6
涿	涿	deuk3
啄	啄	deuk3
琢	琢	deuk3
斫	斲	deuk3
的	的	dik1
滴	滴	dik1
嫡	嫡	dik1
狄	狄	dik6
翟	翟	dik6
涤	滌	dik6
迪	迪	dik6
敌	敵	dik6
掂	掂	dim1
点	點	dim2
店	店	dim3
玷	玷	dim3
踮	踮	dim3
惦	惦	dim3
巅	巔	din1
癫	癲	din1
碘	碘	din1
颠	顛	din1
垫	墊	din2
典	典	din2
碘	碘	din2
垫	墊	din3
电	電	din6
淀	澱	din6
垫	墊	din6
佃	佃	din6
殿	殿	din6
甸	甸	din6
靛	靛	din6
奠	奠	din6
汀	汀	ding1
仃	仃	ding1
町	町	ding1
丁	丁	ding1
盯	盯	ding1/deng1
钉	釘	ding1/deng1
叮	叮	ding1/deng1
鼎	鼎	ding2
顶	頂	ding2
酊	酊	ding2
碇	碇	ding3
订	訂	ding3/ding6
锭	錠	ding3/ding6
啶	啶	ding6
定	定	ding6
谍	諜	dip6
喋	喋	dip6
蝶	蝶	dip6
碟	碟	dip6
叠	疊	dip6
牒	牒	dip6
鲽	鰈	dip6
跌	跌	dit3
耋	耋	dit6
迭	迭	dit6
秩	秩	dit6
雕	雕	diu1
貂	貂	diu1
鲷	鯛	diu1
凋	凋	diu1
刁	刁	diu1
丢	丟	diu1
碉	碉	diu1
叼	叼	diu1
屌	屌	diu2
吊	吊	diu3
钓	釣	diu3
吊	弔	diu3
调	調	diu6
掉	掉	diu6
叨	叨	do1
都	都	do1
刀	刀	do1
嘟	嘟	do1
倒	倒	do2
捣	搗	do2
堵	堵	do2
赌	賭	do2
岛	島	do2
睹	睹	do2
倒	倒	do3
妒	妒	do3
蠹	蠹	do3
到	到	do3
道	道	do6
稻	稻	do6
盗	盜	do6
杜	杜	do6
镀	鍍	do6
度	度	do6
渡	渡	do6
悼	悼	do6
蹈	蹈	do6
导	導	do6
哆	哆	doh1
多	多	doh1
跺	跺	doh2
躲	躲	doh2
朵	朵	doh2/de2
剁	剁	doh2/deuk3
驮	馱	doh6
惰	惰	doh6
堕	墮	doh6
玳	玳	doi6
袋	袋	doi6
待	待	doi6
甙	甙	doi6
代	代	doi6
黛	黛	doi6
叇	靆	doi6
岱	岱	doi6
怠	怠	doi6/toi5
殆	殆	doi6/toi5
度	度	dok6
铎	鐸	dok6
踱	踱	dok6
裆	襠	dong1
当	噹	dong1
当	當	dong1
铛	鐺	dong1
党	黨	dong2
挡	擋	dong2
档	檔	dong3
当	當	dong3
砀	碭	dong6
宕	宕	dong6
荡	盪	dong6
荡	蕩	dong6
菪	菪	dong6
端	端	duen1
短	短	duen2
煅	煅	duen3
锻	鍛	duen3
段	段	duen6
断	斷	duen6
缎	緞	duen6
断	斷	duen6/duen3
夺	奪	duet6
堆	堆	dui1
对	對	dui3
兑	兌	dui6
队	隊	dui6
笃	篤	duk1
督	督	duk1
犊	犢	duk6
椟	櫝	duk6
毒	毒	duk6
渎	瀆	duk6
黩	黷	duk6
牍	牘	duk6
独	獨	duk6
读	讀	duk6
碡	碡	duk6
髑	髑	duk6
蹲	蹲	dun1
敦	敦	dun1
墩	墩	dun1
惇	惇	dun1
盹	盹	dun6
吨	噸	dun6
遁	遁	dun6
沌	沌	dun6
顿	頓	dun6
钝	鈍	dun6
氡	氡	dung1
冬	冬	dung1
东	東	dung1
咚	咚	dung1
董	董	dung2
懂	懂	dung2
踵	踵	dung2
栋	棟	dung3
冻	凍	dung3
侗	侗	dung6
恸	慟	dung6
胴	胴	dung6
洞	洞	dung6
动	動	dung6
恫	恫	dung6
咄	咄	dut1
欸	欸	ei1
欸	欸	ei2
欸	欸	ei4
欸	欸	ei6
花	花	fa1
化	化	fa3
傀	傀	faai3
快	快	faai3
筷	筷	faai3
块	塊	faai3
哙	噲	faai3
幡	幡	faan1
翻	翻	faan1
番	番	faan1
旛	旛	faan1
返	返	faan2
犯	犯	faan2
反	反	faan2
贩	販	faan3/faan2
泛	泛	faan3/faan6
钒	釩	faan4
凡	凡	faan4
烦	煩	faan4
帆	帆	faan4
藩	藩	faan4
樊	樊	faan4
繁	繁	faan4
蕃	蕃	faan4
矾	礬	faan4
梵	梵	faan4/faan6
瓣	瓣	faan6
饭	飯	faan6
犯	犯	faan6
范	范	faan6
范	範	faan6
发	髮	faat3
法	法	faat3
发	發	faat3
珐	琺	faat3
挥	揮	fai1
辉	輝	fai1
徽	徽	fai1
晖	暉	fai1
撝	撝	fai1
沸	沸	fai3
肺	肺	fai3
费	費	fai3
废	廢	fai3
狒	狒	fai3
吠	吠	fai6
婚	婚	fan1
氛	氛	fan1
纷	紛	fan1
分	分	fan1
熏	熏	fan1
熏	燻	fan1
醺	醺	fan1
荤	葷	fan1
昏	昏	fan1
酚	酚	fan1
薰	薰	fan1
吩	吩	fan1
勋	勳	fan1
芬	芬	fan1
粉	粉	fan2
训	訓	fan3
粪	糞	fan3
焚	焚	fan4
汾	汾	fan4
坟	墳	fan4
忿	忿	fan5
奋	奮	fan5
愤	憤	fan5
分	分	fan6
份	份	fan6
惚	惚	fat1
囫	囫	fat1
弗	弗	fat1
拂	拂	fat1
窟	窟	fat1
